# J. THAKKAR and DOUGLAS C. CHAPMAN, 
# A new analytic approximation to atomic incoherent X-ray scattering intensities.
# Acta Cryst. (1975). A31, 391
#Atom Z a          b           c          d           err
He 2  7.2391e-01  -2.1464e-01  9.1019e+00 1.5566e+01  0.01
Li 3  2.6076e+01   6.8617e+00  2.6299e+01 8.8062e-01  5.15
Be 4  1.6966e+01   1.1177e+03  4.0948e+01 1.0399e+02  0.26
B  5  7.2997e+00   2.7281e+02  2.2693e+01 3.4403e+01  0.22
C  6  4.3353e+00   9.3125e+01  1.4656e+01 1.4628e+01  0.22
N  7  4.5051e+00   4.0965e+01  1.1061e+01 7.3225e+00  0.25
O  8  3.2434e+00   1.9377e+01  8.2735e+00 4.0087e+00  0.26
F  9  2.7771e+00   1.0031e+01  6.5952e+00 2.3142e+00  0.28
Ne 10 3.1880e+00   5.6531e+00  5.7748e+00 1.379e+00   0.32
Na 11 1.6285e+01   4.5169e+01  1.3167e+01 5.4569e+00  1.79
Mg 12 1.1598e+02   3.2270e+03  7.0762e+01 7.7161e+01  1.86
Al 13 1.0762e+02   2.7409e+03  6.7151e+01 5.9872e+01  1.57
Si 14 8.0719e+01   1.5084e+03  5.2054e+01 3.6898e+01  1.35
P  15 5.5933e+01   7.0348e+02  3.7402e+01 2.0872e+01  1.15
S  16 4.3695e+01   4.1647e+02  3.0100e+01 1.3430e+01  0.97
Cl 17 3.4592e+01   2.5266e+02  2.4481e+01 8.8480e+00  0.81
Ar 18 1.7153e+01   1.5048e+02  1.9697e+01 5.8774e+00  0.69
K  19 3.0545e+01   1.9371e+02  2.1865e+01 6.5615e+00  1.14
Ca 20 3.6545e+01   2.8998e+02  2.5950e+01 8.1578e+00  1.58
Sc 21 3.3212e+01   2.3259e+02  2.3472e+01 6.8604e+00  1.61
Ti 22 2.9486e+01   1.8205e+02  2.0962e+01 5.7117e+00  1.64
V  23 2.6193e+01   1.4317e+02  1.8683e+01 4.8164e+00  1.68
Cr 24 1.8929e+01   7.2508e+01  1.3819e+01 3.0415e+00  1.48
Mn 25 2.1292e+01   9.4848e+01  1.5188e+01 3.6204e+00  1.76
Fe 26 1.9276e+01   7.7511e+01  1.3788e+01 3.1076e+00  1.75
Co 27 1.7616e+01   6.4657e+01  1.2621e+01 2.7056e+00  1.74
Ni 28 1.6346e+01   5.5896e+01  1.1687e+01 2.4272e+00  1.74
Cu 29 1.2851e+01   3.3834e+01  9.3436e+00 1.7194e+00  1.53
Zn 30 1.4619e+01   4.5462e+01  1.0338e+01 2.0820e+00  1.74
Ga 31 1.7176e+01   6.4692e+01  1.1820e+01 2.5707e+00  1.82
Ge 32 1.9343e+01   8.3421e+01  1.3080e+01 2.9211e+00  1.80
As 33 1.9471e+01   8.4720e+01  1.3126e+01 2.8165e+00  1.68
Se 34 2.0359e+01   9.2997e+01  1.3650e+01 2.8488e+00  1.60
Br 35 2.0316e+01   9.2534e+01  1.3623e+00 2.7028e+00  1.50
Kr 36 1.8986e+01   8.0312e+01  1.2812e+01 2.3584e+00  1.38
Rb 37 2.1269e+01   1.0161e+02  1.4209e+01 2.6226e+00  1.54
SR 38 2.4497e+01   1.3593e+02  1.6192e+01 3.0174e+00  1.73
Y  39 2.4539e+01   1.3620e+02  1.6237e+01 2.9014e+00  1.73
Zr 40 2.3692e+01   1.2653e+02  1.5732e+01 2.6710e+00  1.72


