data_inicio,data_fim,ano_mes,valor,base_legal
2026-01-01,2026-12-31,2026-01,"38,42","Comunicado DICAR-88/25, de 17-12-2025"
2025-01-01,2025-12-31,2025-01,"37,02","Comunicado DICAR-88/24, de 17-12-2024"
2024-01-01,2024-12-31,2024-01,"35,36","Comunicado DICAR-93/23, de 19-12-2023"
2023-01-01,2023-12-31,2023-01,"34,26","Comunicado DICAR-90/22, de 19-12-2022"
2022-01-01,2022-12-31,2022-01,"31,97","Comunicado DICAR-89/21, de 17-12-2021"
2021-01-01,2021-12-31,2021-01,"29,09","Comunicado DICAR-86/20, de 17-12-2020"
2020-01-01,2020-12-31,2020-01,"27,61","Comunicado DICAR-83/19, de 18-12-2019"
2019-01-01,2019-12-31,2019-01,"26,53","Comunicado DA-89/18, de 18-12-2018"
2018-01-01,2018-12-31,2018-01,"25,7","Comunicado DA-96/17, de 20-12-2017"
2017-01-01,2017-12-31,2017-01,"25,07","Comunicado DA-98/16, de 19-12-2016"
2016-01-01,2016-12-31,2016-01,"23,55","Comunicado DA-98/15, de 17-12-2015"
2015-01-01,2015-12-31,2015-01,"21,25","Comunicado DA-80/14, de 16-12-2014"
2014-01-01,2014-12-31,2014-01,"20,14","Comunicado DA-75/13, de 18-12-2013"
2013-01-01,2013-12-31,2013-01,"19,37","Comunicado DA-90/12, de 18-12-2012"
2012-01-01,2012-12-31,2012-01,"18,44","Comunicado DA-87/11, de 19-12-2011"
2011-01-01,2011-12-31,2011-01,"17,45","Comunicado DA-88/10, de 17-12-2010"
2010-01-01,2010-12-31,2010-01,"16,42","Comunicado DA-55/09, de 17-12-2009"
2009-01-01,2009-12-31,2009-01,"15,85","Comunicado DA-52/08, de 17-12-2008"
2008-01-01,2008-12-31,2008-01,"14,88","Comunicado DA-53/07, de 19-12-2007"
2007-01-01,2007-12-31,2007-01,"14,23","Comunicado DA-51/06, de 20-12-2006"
2006-01-01,2006-12-31,2006-01,"13,93","Comunicado DA-57/05, de 20-12-2005"
2005-01-01,2005-12-31,2005-01,"13,3","Comunicado DA-50/04, de 20-12-2004"
2004-01-01,2004-12-31,2004-01,"12,49","Comunicado DA-39/03, de 18-12-2003"
2003-01-01,2003-12-31,2003-01,"11,49","Comunicado DA-32/02, de 18-12-2002"
2002-01-01,2002-12-31,2002-01,"10,52","Comunicado DA-27/01, de 26-12-2001"
2001-01-01,2001-12-31,2001-01,"9,83",
2000-01-01,2000-12-31,2000-01,"9,27",
1999-01-01,1999-12-31,1999-01,"8,51",
1998-01-01,1998-12-31,1998-01,"8,37",
1997-01-01,1997-12-31,1997-01,"7,93",
