from_,id,kind,to,type
Person-5,Person-Movie-4,edge,Movie-0,DIRECTED
Person-6,Person-Movie-5,edge,Movie-0,DIRECTED
Person-5,Person-Movie-12,edge,Movie-9,DIRECTED
Person-6,Person-Movie-13,edge,Movie-9,DIRECTED
Person-5,Person-Movie-19,edge,Movie-10,DIRECTED
Person-6,Person-Movie-20,edge,Movie-10,DIRECTED
Person-14,Person-Movie-25,edge,Movie-11,DIRECTED
Person-27,Person-Movie-38,edge,Movie-15,DIRECTED
Person-35,Person-Movie-46,edge,Movie-29,DIRECTED
Person-45,Person-Movie-57,edge,Movie-37,DIRECTED
Person-27,Person-Movie-67,edge,Movie-46,DIRECTED
Person-55,Person-Movie-72,edge,Movie-52,DIRECTED
Person-61,Person-Movie-78,edge,Movie-56,DIRECTED
Person-66,Person-Movie-83,edge,Movie-62,DIRECTED
Person-72,Person-Movie-90,edge,Movie-67,DIRECTED
Person-72,Person-Movie-97,edge,Movie-73,DIRECTED
Person-79,Person-Movie-101,edge,Movie-78,DIRECTED
Person-27,Person-Movie-106,edge,Movie-81,DIRECTED
Person-71,Person-Movie-113,edge,Movie-85,DIRECTED
Person-91,Person-Movie-118,edge,Movie-87,DIRECTED
Person-59,Person-Movie-123,edge,Movie-92,DIRECTED
Person-96,Person-Movie-127,edge,Movie-95,DIRECTED
Person-99,Person-Movie-131,edge,Movie-97,DIRECTED
Person-104,Person-Movie-136,edge,Movie-100,DIRECTED
Person-108,Person-Movie-141,edge,Movie-105,DIRECTED
Person-5,Person-Movie-142,edge,Movie-105,DIRECTED
Person-6,Person-Movie-143,edge,Movie-105,DIRECTED
Person-115,Person-Movie-150,edge,Movie-111,DIRECTED
Person-25,Person-Movie-156,edge,Movie-116,DIRECTED
Person-5,Person-Movie-169,edge,Movie-121,DIRECTED
Person-6,Person-Movie-170,edge,Movie-121,DIRECTED
Person-25,Person-Movie-178,edge,Movie-128,DIRECTED
Person-136,Person-Movie-190,edge,Movie-130,DIRECTED
Person-115,Person-Movie-196,edge,Movie-137,DIRECTED
Person-142,Person-Movie-201,edge,Movie-141,DIRECTED
Person-115,Person-Movie-207,edge,Movie-144,DIRECTED
Person-149,Person-Movie-212,edge,Movie-147,DIRECTED
Person-151,Person-Movie-215,edge,Movie-150,DIRECTED
Person-153,Person-Movie-218,edge,Movie-152,DIRECTED
Person-156,Person-Movie-222,edge,Movie-154,DIRECTED
Person-158,Person-Movie-227,edge,Movie-157,DIRECTED
Person-96,Person-Movie-231,edge,Movie-159,DIRECTED
Person-151,Person-Movie-233,edge,Movie-161,DIRECTED
Person-166,Person-Movie-240,edge,Movie-162,DIRECTED
