from,id,kind,to,type
Person-28,Person-Movie-39,edge,Movie-15,WROTE
Person-36,Person-Movie-47,edge,Movie-29,WROTE
Person-45,Person-Movie-59,edge,Movie-37,WROTE
Person-72,Person-Movie-109,edge,Movie-81,WROTE
Person-109,Person-Movie-144,edge,Movie-105,WROTE
Person-5,Person-Movie-160,edge,Movie-116,WROTE
Person-6,Person-Movie-161,edge,Movie-116,WROTE
Person-5,Person-Movie-171,edge,Movie-121,WROTE
Person-6,Person-Movie-172,edge,Movie-121,WROTE
Person-156,Person-Movie-224,edge,Movie-154,WROTE
