Name,RA_h,RA,DEC,hcam_us,hcam_gs,hcam_rs,hcam_is,hcam_zs,Type,SpecType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,1.8844167,33.291,13.158,13.531,14.023,14.426,14.742,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,5.3780417,-26.436517,15.252,14.083,13.621,13.431,13.391,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,10.341625,55.835667,14.014,13.980,14.106,14.280,14.442,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,10.376958,-33.625564,13.783,11.279,9.973,9.275,9.060,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,12.29125,5.3886139,13.578,12.556,12.301,12.268,12.395,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,12.515333,-52.137667,14.172,14.059,14.422,14.741,15.036,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,13.322667,-32.999056,12.767,13.095,13.589,13.934,14.191,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,18.048542,-26.224358,12.695,12.883,13.355,13.724,14.025,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,21.351875,-26.012194,15.531,15.144,15.008,15.013,15.130,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,24.664125,69.63375,15.886,14.849,14.243,13.983,13.865,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,25.834083,4.3216583,13.931,11.815,10.445,9.286,8.799,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
LTT1020,01:54:50.27,28.709458,-27.476594,12.542,11.736,11.361,11.226,11.215,Primary,G,V2.SPSS039.ascii,5024640977840398848,Constant
LP885-23,02:07:06.33,31.776375,-30.406361,17.474,14.894,13.549,12.138,11.558,Secondary,M0,V2.SPSS352.ascii,5020116556211470848,Constant
EG21,03:10:31.02,47.62925,-68.600942,11.468,11.258,11.563,11.855,12.151,Primary,DA3,V2.SPSS005.ascii,4646535078125821568,Constant
HG7-15,03:48:11.86,57.049417,7.1462417,14.059,11.513,10.274,9.710,9.426,Secondary,M1,V2.SPSS328.ascii,3277270538903180160,Constant
LTT1788,03:48:22.67,57.094458,-39.143667,14.013,13.327,13.025,12.907,12.902,Primary,F,V2.SPSS040.ascii,4855735169813450624,Constant
GD50,03:48:50.20,57.209167,-0.97533333,13.401,13.797,14.290,14.683,15.040,Primary,DA2,V2.SPSS006.ascii,3251244858154433536,
HZ2,04:12:43.55,63.181458,11.863611,13.719,13.709,14.076,14.410,14.688,Primary,DA3,V2.SPSS007.ascii,3304090857318319232,
WD0455-282,04:57:13.90,74.307917,-28.131667,13.262,13.649,14.181,14.581,14.887,Secondary,DA1,V2.SPSS168.ascii,4880286371109059712,
WD0501-289,05:03:55.51,75.981292,-28.909603,13.086,13.583,14.122,14.559,14.899,Secondary,DO,V2.SPSS170.ascii,4876967941937370368,Constant
G191-B2B,05:05:30.61,76.377542,52.831097,11.069,11.492,12.010,12.427,12.778,Pillar,DA0,V2.SPSS001.ascii,266077145295627520,Constant
GD71,05:52:27.63,88.115125,15.887047,12.480,12.783,13.258,13.654,14.000,Pillar,DA1,V2.SPSS002.ascii,3348071631670500736,Constant
LTT2415,05:56:24.74,89.103083,-27.858986,13.045,12.348,12.115,12.032,12.041,Primary,G,V2.SPSS009.ascii,2910503176753011840,Constant
HD270477,05:59:33.36,89.889,-67.020478,11.392,10.501,10.316,10.306,10.354,Secondary,F8,V2.SPSS345.ascii,4659680529922228096,
