Name,RA_h,RA,DEC,ucam_us,ucam_gs,ucam_rs,ucam_is,ucam_zs,ucam_u,ucam_g,ucam_r,ucam_i,ucam_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
HD271747,05:59:58.62,89.99425,-66.102475,12.904,11.698,11.294,11.195,11.200,12.934,11.674,11.289,11.195,11.200,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
HD271759,06:00:41.34,90.17225,-66.053897,12.011,10.863,10.881,10.991,11.099,12.094,10.860,10.884,10.989,11.099,Secondary,A2,V2.SPSS347.ascii,5476400477145058816,Constant
HD271783,06:02:11.36,90.547333,-66.583092,13.310,12.157,11.775,11.698,11.760,13.350,12.134,11.770,11.696,11.760,Secondary,F5,V2.SPSS348.ascii,5284204302730217984,
WD0604-203,06:06:13.39,91.555792,-20.352,11.788,11.825,12.286,12.606,12.934,11.793,11.841,12.297,12.602,12.932,Secondary,DA,V2.SPSS109.ascii,2941993086693170176,Constant
WD0621-376,06:23:12.63,95.802625,-37.691114,11.341,11.783,12.344,12.739,13.107,11.331,11.806,12.357,12.735,13.106,Secondary,DA1,V2.SPSS110.ascii,5575007845317435648,Constant
HILT600,06:45:13.37,101.30571,2.1374167,10.820,10.458,10.456,10.535,10.649,10.845,10.455,10.458,10.534,10.649,Primary,B1,V2.SPSS024.ascii,3126052883671520896,Constant
WD0644+375,06:47:37.99,101.90829,37.515853,11.814,11.876,12.275,12.604,12.940,11.808,11.886,12.288,12.600,12.939,Secondary,DA2,V2.SPSS112.ascii,943770757800160384,
WD0646-253,06:48:56.09,102.23371,-25.396389,13.199,13.412,13.882,14.246,14.530,13.193,13.426,13.895,14.240,14.530,Secondary,DA2,V2.SPSS173.ascii,2921786919133198848,Constant
G193-26,07:03:26.29,105.85954,54.868333,14.019,13.231,12.802,12.637,12.575,14.043,13.207,12.795,12.638,12.575,Secondary,G,V2.SPSS174.ascii,987911506794398976,Constant
WD0721-276,07:23:20.10,110.83375,-27.789333,13.949,14.288,14.789,15.146,15.507,13.942,14.308,14.802,15.142,15.506,Secondary,DA1,V2.SPSS175.ascii,5612710511362093184,Constant
LTT3218,08:41:32.56,130.38567,-32.943028,12.274,11.875,11.908,12.024,12.201,12.283,11.870,11.912,12.022,12.201,Primary,DA,V2.SPSS008.ascii,5639391810273308416,Constant
G114-25,08:59:03.37,134.76404,-6.3961639,13.050,12.178,11.730,11.552,11.524,13.077,12.154,11.723,11.552,11.524,Secondary,F7,V2.SPSS115.ascii,5757389920689415040,Constant
WD0859-039,09:02:17.30,135.57208,-4.1154028,12.841,12.979,13.402,13.737,14.092,12.835,12.993,13.414,13.733,14.090,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,150.19737,-7.5584722,13.198,13.329,13.772,14.100,14.427,13.199,13.348,13.783,14.096,14.427,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,158.05667,-35.628278,13.229,12.365,12.026,11.915,11.898,13.263,12.347,12.021,11.915,11.898,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,158.42817,-11.693986,12.619,12.801,13.237,13.568,13.906,12.613,12.816,13.248,13.564,13.905,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,159.26587,-0.13869444,12.416,12.916,13.491,13.902,14.283,12.404,12.940,13.504,13.897,14.282,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,159.90308,43.102569,10.420,10.872,11.412,11.779,12.147,10.410,10.894,11.424,11.775,12.147,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,166.99979,-5.1571944,13.193,12.954,13.260,13.542,13.846,13.191,12.957,13.271,13.539,13.845,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,174.51092,57.489969,16.003,15.092,14.989,15.011,15.081,16.060,15.084,14.990,15.010,15.080,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,176.42883,-64.841517,11.778,11.518,11.479,11.556,11.707,11.789,11.514,11.480,11.555,11.707,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,181.69679,11.670178,11.179,10.867,11.207,11.495,11.738,11.221,10.879,11.217,11.491,11.738,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,183.54387,-17.238942,12.858,10.659,9.715,9.357,9.122,12.870,10.602,9.701,9.359,9.122,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,189.348,25.066631,9.901,10.228,10.751,11.136,11.501,9.892,10.249,10.763,11.131,11.500,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,190.422,-0.44061111,15.087,13.104,12.324,12.062,11.912,15.105,13.057,12.313,12.065,11.913,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,191.13942,-0.43102778,13.901,12.787,12.441,12.367,12.377,13.941,12.766,12.437,12.367,12.378,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,194.25971,22.031256,12.692,13.073,13.595,13.985,14.357,12.681,13.092,13.608,13.980,14.355,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,195.50658,-2.0892833,14.275,13.159,12.570,12.338,12.226,14.300,13.126,12.561,12.340,12.227,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,196.76796,20.810706,15.946,13.235,11.821,10.794,10.292,16.001,13.157,11.794,10.801,10.292,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,200.89692,36.133197,10.971,11.382,11.905,12.308,12.682,10.961,11.400,11.918,12.303,12.680,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,204.37642,-0.22149167,9.929,8.860,8.729,8.708,8.798,9.998,8.851,8.728,8.705,8.798,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,204.85042,46.186492,13.520,10.947,9.644,8.749,8.303,13.589,10.876,9.619,8.754,8.303,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,209.71321,-2.9145333,9.950,10.035,10.437,10.753,11.049,9.960,10.051,10.447,10.749,11.048,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,212.61229,32.143361,13.912,13.828,14.186,14.492,14.823,13.907,13.835,14.198,14.488,14.821,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,217.46275,39.473731,16.082,15.007,15.047,15.152,15.246,16.168,15.004,15.051,15.149,15.245,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,227.44175,-4.7518361,13.232,12.319,11.803,11.609,11.548,13.255,12.291,11.795,11.611,11.549,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,227.86525,32.071611,14.265,14.005,14.292,14.566,14.856,14.263,14.007,14.304,14.562,14.855,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,229.411,2.0404444,16.328,14.574,13.794,13.477,13.309,16.365,14.528,13.782,13.479,13.310,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,233.88146,27.850611,14.829,13.834,13.294,13.092,13.016,14.848,13.804,13.286,13.092,13.017,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,234.20042,-0.251975,10.339,9.157,8.970,8.946,8.986,10.408,9.144,8.968,8.944,8.986,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
LTT6248,15:38:59.66,234.74858,-28.593575,12.817,11.999,11.651,11.527,11.522,12.853,11.980,11.646,11.527,11.522,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,236.53438,39.237889,14.668,13.770,13.311,13.149,13.094,14.690,13.744,13.305,13.150,13.094,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,236.56117,62.444333,13.838,12.993,12.552,12.392,12.338,13.861,12.968,12.546,12.394,12.339,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,239.57758,2.0516972,12.069,11.051,10.605,10.441,10.379,12.108,11.026,10.598,10.443,10.380,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,239.80654,47.611639,14.991,13.733,13.270,13.134,13.113,15.012,13.705,13.264,13.134,13.112,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,242.0925,42.095333,14.173,13.756,13.973,14.201,14.462,14.176,13.754,13.983,14.197,14.461,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,244.48025,-15.59775,12.896,13.190,13.667,14.000,14.325,12.888,13.206,13.679,13.997,14.324,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,245.891,-39.229489,10.699,10.804,11.255,11.581,11.918,10.694,10.817,11.268,11.577,11.918,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,247.07029,44.6773,12.611,11.611,11.084,10.890,10.808,12.633,11.582,11.076,10.892,10.809,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
WD1626+368,16:28:25.03,247.10429,36.770944,13.993,13.807,13.862,13.995,14.190,13.983,13.809,13.866,13.992,14.189,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,263.17346,23.736567,10.198,9.200,8.717,8.530,8.459,10.240,9.174,8.709,8.531,8.460,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,265.76867,66.917111,14.698,13.560,13.535,13.606,13.670,14.779,13.553,13.538,13.604,13.669,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,268.81762,66.169917,15.601,13.746,12.989,12.740,12.595,15.614,13.699,12.978,12.741,12.596,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,269.30521,67.061361,13.021,11.845,11.819,11.905,11.978,13.105,11.838,11.821,11.903,11.977,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,269.65829,66.781167,16.930,14.537,13.579,13.236,13.022,16.957,14.478,13.565,13.238,13.022,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
BD+661071,18:02:10.92,270.5455,66.207331,11.700,10.694,10.471,10.450,10.489,11.745,10.679,10.470,10.450,10.488,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,271.372,64.464444,13.358,12.237,12.380,12.535,12.653,13.450,12.239,12.386,12.533,12.653,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,273.03987,63.495083,12.929,11.733,11.787,11.911,12.009,13.015,11.731,11.791,11.909,12.009,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,279.10813,-44.310261,11.560,10.481,10.068,9.925,9.954,11.587,10.457,10.063,9.925,9.954,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,280.12196,19.601847,15.661,14.465,13.831,13.609,13.483,15.677,14.426,13.822,13.610,13.483,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,281.91283,1.9598944,12.489,12.720,13.173,13.395,13.425,12.480,12.734,13.185,13.395,13.423,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,286.77317,20.888047,14.315,11.589,10.144,9.101,8.548,14.372,11.509,10.117,9.108,8.548,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,286.805,20.877011,14.311,11.587,10.145,9.089,8.535,14.365,11.506,10.118,9.095,8.534,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,289.68683,-59.776056,14.284,14.214,14.599,14.887,15.232,14.280,14.223,14.611,14.882,15.231,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,290.14554,-7.6666806,12.236,12.218,12.367,12.544,12.776,12.239,12.222,12.372,12.541,12.776,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,290.41833,14.678611,13.123,12.877,13.176,13.468,13.780,13.121,12.879,13.188,13.463,13.778,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,297.95671,5.6127333,12.242,11.070,10.486,10.269,10.162,12.274,11.038,10.478,10.270,10.163,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,302.27183,-60.428222,12.695,13.077,13.613,13.971,14.359,12.686,13.097,13.626,13.966,14.358,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,302.73687,-30.218511,12.389,12.122,12.435,12.697,13.008,12.387,12.125,12.446,12.693,13.007,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,308.59117,25.063811,11.332,11.340,11.740,12.077,12.418,11.326,11.350,11.752,12.072,12.417,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,309.57017,-53.073722,14.083,14.212,14.535,14.782,15.042,14.079,14.221,14.543,14.778,15.041,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,310.06708,0.55548333,11.756,10.814,10.397,10.268,10.213,11.786,10.789,10.392,10.268,10.213,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,311.08946,-68.08925,13.342,13.198,13.512,13.774,14.098,13.337,13.200,13.523,13.771,14.097,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,312.27788,37.470528,13.221,12.915,13.176,13.429,13.723,13.221,12.914,13.187,13.425,13.721,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,318.18354,50.104944,12.435,12.784,13.289,13.661,14.026,12.426,12.802,13.302,13.656,14.024,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,318.30792,-81.817778,14.004,13.659,13.742,13.881,14.081,14.005,13.654,13.748,13.879,14.082,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,319.73446,54.211458,12.532,12.245,12.542,12.827,13.120,12.531,12.247,12.553,12.822,13.119,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,324.15125,22.075833,14.442,14.325,14.667,14.965,15.262,14.436,14.331,14.678,14.961,15.260,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,325.67083,20.999511,13.445,13.247,13.253,13.355,13.497,13.452,13.243,13.255,13.352,13.497,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,328.10575,2.3887667,12.741,12.618,12.967,13.259,13.585,12.738,12.624,12.979,13.254,13.584,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,334.95146,-65.488364,14.606,14.485,14.596,14.741,14.938,14.597,14.490,14.601,14.738,14.938,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,343.17096,-20.592469,13.292,12.334,11.895,11.726,11.734,13.315,12.309,11.888,11.725,11.734,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,343.79167,-63.174167,14.041,13.963,14.344,14.613,14.934,14.039,13.972,14.355,14.608,14.935,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,348.09008,10.784514,12.356,12.804,13.342,13.732,14.118,12.343,12.825,13.355,13.727,14.116,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
Feige110,23:19:58.40,349.99333,-5.1656139,11.140,11.539,12.077,12.445,12.817,11.130,11.561,12.090,12.440,12.816,Primary,O,V2.SPSS023.ascii,2633603478379307904,Constant
WD2329+407,23:31:35.65,352.89854,41.025194,13.948,13.740,14.056,14.346,14.654,13.945,13.744,14.067,14.342,14.652,Secondary,DA3,V2.SPSS214.ascii,1923682286712356992,
WD2331-475,23:34:02.20,353.50917,-47.240694,12.730,13.140,13.681,14.040,14.342,12.719,13.161,13.693,14.036,14.341,Secondary,DA1,V2.SPSS215.ascii,6528109879126984960,
WD2352+401,23:54:56.25,358.73438,40.458361,15.260,14.992,14.917,14.978,15.134,15.271,14.987,14.918,14.975,15.133,Secondary,DQ6,V2.SPSS281.ascii,1921351390779081600,Constant
