Name,RA_h,RA,DEC,ucam_us,ucam_gs,ucam_rs,ucam_is,ucam_zs,ucam_u,ucam_g,ucam_r,ucam_i,ucam_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,1.8844167,33.291,13.125,13.523,14.042,14.425,14.777,13.113,13.543,14.055,14.420,14.775,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,5.3780417,-26.436517,15.302,14.093,13.610,13.432,13.386,15.319,14.065,13.603,13.432,13.386,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,10.341625,55.835667,14.019,13.980,14.113,14.280,14.468,14.021,13.982,14.119,14.277,14.467,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,10.376958,-33.625564,13.889,11.294,9.947,9.281,9.062,13.928,11.219,9.925,9.283,9.063,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,12.29125,5.3886139,13.574,12.566,12.298,12.269,12.406,13.573,12.546,12.296,12.266,12.406,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,12.515333,-52.137667,14.171,14.054,14.439,14.739,15.066,14.170,14.063,14.451,14.735,15.065,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,13.322667,-32.999056,12.742,13.087,13.607,13.933,14.219,12.733,13.106,13.620,13.929,14.218,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,18.048542,-26.224358,12.691,12.875,13.373,13.723,14.055,12.689,12.895,13.385,13.718,14.053,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,21.351875,-26.012194,15.580,15.149,15.006,15.014,15.143,15.597,15.138,15.005,15.010,15.144,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,24.664125,69.63375,15.953,14.859,14.228,13.984,13.865,15.978,14.825,14.218,13.986,13.867,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,25.834083,4.3216583,14.173,11.832,10.415,9.294,8.765,14.278,11.750,10.385,9.300,8.764,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
LTT1020,01:54:50.27,28.709458,-27.476594,12.614,11.744,11.353,11.226,11.217,12.641,11.722,11.347,11.226,11.216,Primary,G,V2.SPSS039.ascii,5024640977840398848,Constant
LP885-23,02:07:06.33,31.776375,-30.406361,17.620,14.912,13.513,12.148,11.521,17.676,14.837,13.478,12.155,11.520,Secondary,M0,V2.SPSS352.ascii,5020116556211470848,Constant
EG21,03:10:31.02,47.62925,-68.600942,11.467,11.254,11.579,11.853,12.176,11.466,11.257,11.591,11.848,12.176,Primary,DA3,V2.SPSS005.ascii,4646535078125821568,Constant
HG7-15,03:48:11.86,57.049417,7.1462417,14.134,11.527,10.249,9.715,9.411,14.162,11.455,10.230,9.718,9.411,Secondary,M1,V2.SPSS328.ascii,3277270538903180160,Constant
LTT1788,03:48:22.67,57.094458,-39.143667,14.098,13.333,13.017,12.909,12.908,14.129,13.315,13.013,12.908,12.908,Primary,F,V2.SPSS040.ascii,4855735169813450624,Constant
GD50,03:48:50.20,57.209167,-0.97533333,13.367,13.788,14.309,14.683,15.076,13.356,13.807,14.322,14.677,15.075,Primary,DA2,V2.SPSS006.ascii,3251244858154433536,
HZ2,04:12:43.55,63.181458,11.863611,13.706,13.704,14.092,14.409,14.711,13.701,13.713,14.104,14.404,14.710,Primary,DA3,V2.SPSS007.ascii,3304090857318319232,
WD0455-282,04:57:13.90,74.307917,-28.131667,13.237,13.641,14.200,14.579,14.925,13.229,13.662,14.213,14.574,14.925,Secondary,DA1,V2.SPSS168.ascii,4880286371109059712,
WD0501-289,05:03:55.51,75.981292,-28.909603,13.057,13.573,14.141,14.559,14.932,13.047,13.597,14.155,14.552,14.933,Secondary,DO,V2.SPSS170.ascii,4876967941937370368,Constant
G191-B2B,05:05:30.61,76.377542,52.831097,11.031,11.484,12.030,12.425,12.809,11.019,11.505,12.043,12.420,12.808,Pillar,DA0,V2.SPSS001.ascii,266077145295627520,Constant
GD71,05:52:27.63,88.115125,15.887047,12.451,12.775,13.277,13.652,14.030,12.442,12.794,13.290,13.647,14.028,Pillar,DA1,V2.SPSS002.ascii,3348071631670500736,Constant
LTT2415,05:56:24.74,89.103083,-27.858986,13.156,12.353,12.109,12.033,12.052,13.198,12.339,12.106,12.033,12.053,Primary,G,V2.SPSS009.ascii,2910503176753011840,Constant
HD270477,05:59:33.36,89.889,-67.020478,11.527,10.506,10.314,10.306,10.362,11.580,10.493,10.312,10.305,10.362,Secondary,F8,V2.SPSS345.ascii,4659680529922228096,
