Date,obs_g,obs_pie,obs_r
1948-01-01,0.01336379,0.01114708,0.00250313
1948-04-01,0.00085204,0.02021438,0.00262845
1948-07-01,0.00027869,0.0028547,0.00285407
1948-10-01,-0.01570947,-0.00514434,0.00292929
1949-01-01,-0.00522502,-0.01152751,0.00292929
1949-04-01,0.00847995,-0.00581397,0.00261174
1949-07-01,-0.01323692,0.0011655,0.0026953
1949-10-01,0.03762759,-0.0029163,0.00276214
1950-01-01,0.02681321,0.00408045,0.0028875
1950-04-01,0.03580385,0.02129577,0.00305466
1950-07-01,0.02030548,0.01861831,0.00334726
1950-10-01,0.01387931,0.03730548,0.00342252
1951-01-01,0.01866014,0.00590606,0.00373196
1951-04-01,0.01947234,0,0.00401639
1951-07-01,-0.00004888,0.01117925,0.00403312
1951-10-01,0.01042956,-0.00211977,0.00392436
1952-01-01,-0.00056183,0.00159025,0.00412516
1952-04-01,0.00310841,0.0121086,0.0044683
1952-07-01,0.02916893,0.00261301,0.00474457
1952-10-01,0.00915811,0.00052178,0.00496229
1953-01-01,0.00598619,0.00156372,0.00539788
1953-04-01,-0.00859108,0.00415801,0.00490367
1953-07-01,-0.01953233,0.00259,0.00369013
1953-10-01,-0.00845916,0.00361477,0.00265352
1954-01-01,-0.00128498,0.00051533,0.00197695
1954-04-01,0.00830207,0.00205867,0.00221078
1954-07-01,0.01647783,0.0025674,0.00255326
1954-10-01,0.02502591,0.00460477,0.00306302
1955-01-01,0.01217012,0.0040754,0.00371523
1955-04-01,0.0100644,0.0075969,0.00465247
1955-07-01,0.00252422,0.01004024,0.0058588
1955-10-01,-0.00697608,0.00994044,0.00583365
1956-01-01,0.00509203,0.00542541,0.00643734
1956-04-01,-0.00405858,0.01270789,0.00647928
1956-07-01,0.01344947,0.00387785,0.00761223
1956-10-01,0.003058,0.01393249,0.00777179
1957-01-01,-0.0051982,0.00665718,0.00788097
1957-04-01,0.00625478,0.00614224,0.00841867
1957-07-01,-0.01433049,0,0.00830943
1957-10-01,-0.03057817,0.01124134,0.00440134
1958-01-01,0.00318455,0.0037192,0.00239453
1958-04-01,0.01943145,0.00693644,0.00420884
1958-07-01,0.01842226,0.00551472,0.00674771
1958-10-01,0.01690546,0.00045819,0.00695748
1959-01-01,0.02210212,0,0.00752827
1959-04-01,-0.00399785,0.00228781,0.00888939
1959-07-01,0.00012336,0.00455997,0.01063131
1959-10-01,0.01515626,0.00453927,0.00973052
1960-01-01,-0.00776244,0.00316528,0.00751147
1960-04-01,-0.00134567,0.00360523,0.00591747
1960-07-01,-0.01647755,0.00314395,0.00578336
1960-10-01,0.0021206,0.00223964,0.00589233
1961-01-01,0.01532426,0.00223464,0.00577498
1961-04-01,0.01322352,0.00267499,0.00577498
1961-07-01,0.01861248,0.00311181,0.00616899
1961-10-01,0.01570247,0.00619471,0.00683162
1962-01-01,0.0070672,0.00176289,0.00681483
1962-04-01,0.00522187,0.00219925,0.00712532
1962-07-01,-0.00311421,0.00307085,0.00705818
1962-10-01,0.00686372,0.00349804,0.0072932
1963-01-01,0.0086171,0.00130862,0.00737714
1963-04-01,0.0148969,0.00174216,0.00826741
1963-07-01,0.00303216,0.00780238,0.0087801
1963-10-01,0.01785216,0.00258732,0.00886417
1964-01-01,0.00782722,0.00258065,0.00872966
1964-04-01,0.00908118,0.00385853,0.0087801
1964-07-01,-0.00178883,0.00512165,0.00925099
1964-10-01,0.02004084,0.00509555,0.0097726
1965-01-01,0.00935019,0.00422655,0.00973052
1965-04-01,0.01680925,0.00420876,0.00971369
1965-07-01,0.02027277,0.00669739,0.0104713
1965-10-01,0.0218226,0.00665283,0.01159193
1966-01-01,0.00097438,0.00784318,0.01153292
1966-04-01,0.00347832,0.01063405,0.01268849
1966-07-01,0.00569825,0.00850724,0.01311057
1966-10-01,0.00584348,0.00402577,0.01134747
1967-01-01,-0.00437666,0.00640771,0.00919212
1967-04-01,0.00229001,0.01032575,0.0108082
1967-07-01,0.00292147,0.01100208,0.0119545
1967-10-01,0.01624538,0.01126882,0.01270537
1968-01-01,0.01367078,0.00999624,0.01389611
