block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
BatteryUnitBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
BatteryUnitBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
BatteryUnitBlock,MinPower,Variable,Variable,double,-|TimeHorizon,MW,,optional,Minimum power output of the unit
BatteryUnitBlock,MaxPower,Variable,Variable,double,-|TimeHorizon,MW,,optional,Maximum power output of the unit
BatteryUnitBlock,InitialPower,Variable,Variable,double,-,MW,,optional,Initial power output of the unit
BatteryUnitBlock,DeltaRampUp,Variable,Variable,double,-|TimeHorizon,-,,optional,Ramp-up limit
BatteryUnitBlock,DeltaRampDown,Variable,Variable,double,-|TimeHorizon,-,,optional,Rump-down limit
BatteryUnitBlock,ExtractingBatteryRho,Variable,Variable,double,-|TimeHorizon,-,,optional,Discharge efficiency
BatteryUnitBlock,StoringBatteryRho,Variable,Variable,double,-|TimeHorizon,-,,optional,Charge efficiency
BatteryUnitBlock,Demand,Variable,Variable,double,-|TimeHorizon,-,,optional,Demand
BatteryUnitBlock,MinStorage,Variable,Variable,double,-|TimeHorizon,-,,required,Minimum storage level
BatteryUnitBlock,MaxStorage,Variable,Variable,double,-|TimeHorizon,-,,required,Maximum storage level
BatteryUnitBlock,MaxPrimaryPower,Variable,Variable,double,-|TimeHorizon,-,,optional,Maximum primary reserve power
BatteryUnitBlock,MaxSecondaryPower,Variable,Variable,double,-|TimeHorizon,-,,optional,Maximum secondary reserve power
BatteryUnitBlock,InitialStorage,Variable,Variable,double,-|TimeHorizon,-,,optional,Initial storage
BatteryUnitBlock,Cost,Variable,Variable,double,-|TimeHorizon,-,,optional,Initial primary power
BatteryUnitBlock,Kappa,Variable,Variable,double,-,-,,optional,Capacity expansion parameter
BatteryUnitBlock,BatteryInvestmentCost,Variable,Variable,double,-,-,,optional,Capacity expansion parameter
BatteryUnitBlock,ConverterInvestmentCost,Variable,Variable,double,-,-,,optional,Investment cost of the converter
BatteryUnitBlock,BatteryMaxCapacityDesign,Variable,Variable,double,-,-,,optional,Maximum capacity of the battery
BatteryUnitBlock,ConverterMaxCapacityDesign,Variable,Variable,double,-,-,,optional,Maximum capacity of theconverter
BatteryUnitBlock,BatteryMinCapacityDesign,Variable,Variable,double,-,-,,optional,Minimum capacity of the battery
BatteryUnitBlock,ConverterMinCapacityDesign,Variable,Variable,double,-,-,,optional,Minimum capacity of the Converter
