block_name,attribute,smspp_object,netcdf_component,netcdf_base_type,dimension,unit,default,status,description
IntermittentUnitBlock,block_type,Attribute,Attribute,str,-,-,,required,Type of the block
IntermittentUnitBlock,id,Attribute,Attribute,str,-,-,,optional,Id of the block
IntermittentUnitBlock,MinPower,Variable,Variable,double,-|TimeHorizon,MW,,optional,Minimum power output of the unit
IntermittentUnitBlock,MaxPower,Variable,Variable,double,-|TimeHorizon,MW,,optional,Maximum power output of the unit
IntermittentUnitBlock,ActivePowerCost,Variable,Variable,double,-|TimeHorizon,-,,required,Active power cost
IntermittentUnitBlock,InertiaPower,Variable,Variable,double,-,MW,,optional,Initial power output of the unit
IntermittentUnitBlock,Gamma,Variable,Variable,double,-,-,,optional,Uncertainty in output power
IntermittentUnitBlock,Kappa,Variable,Variable,double,-,-,,optional,Capacity expansion parameter
IntermittentUnitBlock,InvestmentCost,Variable,Variable,double,-,-,,optional,Investment cost of the unit
IntermittentUnitBlock,MaxCapacityDesign,Variable,Variable,double,-,-,,optional,Maximum installed capacity of the unit
IntermittentUnitBlock,MinCapacityDesign,Variable,Variable,double,-,-,,optional,Minimum installed capacity of the unit
