Name,HEX,RGB
White,#FFFFFF,"rgb(100,100,100)"
Silver,#C0C0C0,"rgb(75,75,75)"
Gray,#808080,"rgb(50,50,50)"
Black,#000000,"rgb(0,0,0)"
Red,#FF0000,"rgb(100,0,0)"
