# Caputi+ (2015) Table 1
# zmin zmax log_Mstar[msun] log_phi[1/Mpc^3/dex] log_err_up log_err_down
# note: in Salpeter
# note: first two data points for 3<z<4 and first three for 4<z<5 are lower limits
3.0 4.0 10.40 -3.56 +1.01 -0.0
3.0 4.0 10.60 -3.65 +1.11 -0.0
3.0 4.0 10.80 -3.82 +0.17 -0.16
3.0 4.0 11.00 -3.97 +0.19 -0.21
3.0 4.0 11.20 -4.25 +0.20 -0.25
3.0 4.0 11.40 -4.51 +0.25 -0.31
3.0 4.0 11.60 -4.94 +0.30 -0.53
3.0 4.0 11.80 -5.34 +0.30 -0.61

4.0 5.0 10.40 -4.44 +1.88 -0.0
4.0 5.0 10.60 -4.46 +1.90 -0.0
4.0 5.0 10.80 -4.52 +1.96 -0.0
4.0 5.0 11.00 -4.51 +0.17 -0.21
4.0 5.0 11.20 -4.65 +0.19 -0.25
4.0 5.0 11.40 -4.91 +0.20 -0.27
4.0 5.0 11.60 -5.20 +0.31 -0.47
4.0 5.0 11.80 -5.88 +0.35 -0.70
