Participant;Acceloremeters;Sample Numbers;Excel Hour
PMP1003;C;15547554;17:21:56
PMP1003;M;15554737;17:21:56
PMP1006;C;15506625;10:28:29
PMP1006;M;15519942;10:28:29
PMP1013;PI;15487012;13:57:45
PMP1013;M;15845712;14:10:00
PMP1017;C;15445516;16:55:10
PMP1017;PI;15439628;16:55:10
PMP1017;M;15462133;17:05:35
PMP1019;C;15465701;17:24:57
PMP1019;PI;15457507;17:15:07
PMP1019;M;15479367;17:24:57
PMP1020;C;13266625;10:05:10
PMP1020;PI;13261111;10:05:10
PMP1020;M;13283396;10:15:40
PMP1021;C;13917630;17:37:45
PMP1021;PI;13896975;17:37:45
PMP1021;M;13930100;17:50:00
PMP1024;C;15799825;13:01:30
PMP1024;PI;15778742;13:01:30
PMP1024;M;15804899;13:11:16
PMP1025;C;15502730;10:22:14
PMP1025;PI;14626462;10:22:14
PMP1025;M;15473433;10:32:34
PMP1026;C;13289339;08:59:37
PMP1026;PI;13269755;08:59:37
PMP1026;M;13308142;09:09:55
PMP1027;C;13115425;09:47:40
PMP1027;PI;13111608;09:47:40
PMP1027;M;13124118;09:57:17
PMP1029;C;14876392;18:25:48
PMP1029;PI;15643090;18:25:48
PMP1029;M;15662478;18:36:10
PMP1030;M;15473433;12:58:20
PMP1030;PI;15457985;12:48:00
PMP1031;M;15876310;13:50:45
PMP1032;C;14508097;10:18:27
PMP1032;PI;15503354;10:18:27
PMP1032;M;15507159;10:29:30
PMP1033;PI;16160140;17:40:00
PMP1033;C;16152180;17:40:00
PMP1034;C;15528200;17:26:23
PMP1034;PI;15523050;17:26:23
PMP1034;M;15532460;17:26:23
PMP1036;C;13399250;11:10:30
PMP1036;PI;13394460;11:10:30
PMP1036;M;13395964;11:10:30
PMP1038;C;15600100;12:18:00
PMP1038;PI;15544668;12:18:00
PMP1038;M;15617055;12:27:48
PMP1039;C;15556150;16:18:50
PMP1039;PI;15543542;16:18:50
PMP1039;M;15563426;16:18:50
PMP1043;C;15544246;11:35:52
PMP1043;PI;15541721;11:35:52
PMP1043;M;15566773;11:45:32
PMP1048;C;15526058;17:27:53
PMP1048;PI;15491902;17:27:53
PMP1048;M;15539305;17:38:18
PMP1050;PI;12012445;12:34:11
PMP1050;M;13378130;12:44:20
PMP1050;C;12591189;12:34:11
PMP1052;PI;15532715;18:09:30
PMP1052;M;15542200;18:09:30
PMP1052;C;15540840;18:09:30
PMP1063;C;15536775;10:34:25
PMP1063;PI;15532273;10:34:25
PMP1072;PI;15548963;10:38:35
PMP1072;M;15550451;10:49:35
PMP1072;C;15551948;10:38:35
PMP1075;PI;15574040;11:01:01
PMP1075;M;15526450;11:01:01
PMP1088;C;17912511;21:09:04
PMP1088;PI;17906881;21:09:04
PMP1093;C;15518424;16:37:47
PMP1093;PI;15522277;16:37:47
PMP1093;M;15544157;16:47:52
PMP1094;C;15547462;11:04:37
PMP1094;PI;15543226;11:04:37
PMP1094;M;15566808;11:16:02
