"channel","x","y"
40,10,10
38,20,10
26,30,10
24,40,10
12,50,10
10,60,10
45,5,20
39,15,20
32,25,20
25,35,20
18,45,20
11,55,20
4,65,20
43,10,30
33,20,30
30,30,30
19,40,30
16,50,30
5,60,30
44,5,40
36,15,40
31,25,40
22,35,40
17,45,40
8,55,40
3,65,40
37,10,50
34,20,50
23,30,50
20,40,50
9,50,50
6,60,50
42,5,60
35,15,60
28,25,60
21,35,60
14,45,60
7,55,60
1,65,60
41,10,70
29,20,70
27,30,70
15,40,70
13,50,70
2,60,70
