Variables ->,GDP,CPI_U,S,OBS_RS,GDP_RW,CPI_RW,OBS_RS_RW,OBS_D4L_CPI_TAR,CPI,OBS_L_CPI,L_CPI_RW,L_CPI_U,OBS_L_GDP,L_GDP_RW,OBS_L_S,L_Z,DLA_CPI,OBS_DLA_CPI_RW,DLA_CPI_U,DLA_GDP,DLA_GDP_RW,DLA_S,DLA_Z,D4L_CPI,D4L_CPI_RW,D4L_CPI_U,D4L_GDP,D4L_GDP_RW,D4L_S,D4L_Z,RR,RR_RW,RR_BAR,RR_GAP,L_Z_BAR,L_Z_GAP,RR_RW_BAR,RR_RW_GAP,DLA_Z_BAR,L_GDP_GAP,L_GDP_BAR,DLA_GDP_BAR,L_GDP_RW_BAR_PURE,L_GDP_RW_GAP_PURE,L_GDP_RW_BAR,OBS_L_GDP_RW_GAP
1996Q1,602673,55.85,34.96,10.86,1664137.8,84.1,5.63,8.91,55.6344579,401.880276,443.200657,402.266953,1330.913,1432.48177,355.420455,396.740836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,395.240663,1.50017324,NaN,NaN,NaN,1.21974124,1329.92784,NaN,1432.43918,0.0425921302,1432.44704,0.0347272463
1996Q2,608307,56.86,34.58,11.82,1676953.5,84.56,5.14,8.76,57.0809047,404.446964,443.746134,404.059211,1331.8435,1433.24893,354.327548,393.626718,10.2667549,2.18190983,7.16903228,3.72197106,3.06864116,-4.37162821,-12.4564733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,394.107381,-0.480662841,NaN,NaN,-4.53312895,1.52177006,1330.27164,1.37520445,1433.12944,0.119493243,1433.13675,0.112180814
1996Q3,610673,57.93,33.87,12.69,1686235.4,84.78,5,8.6,57.773346,405.652753,444.005967,405.923539,1332.23169,1433.8009,352.252967,390.606181,4.82315362,1.03932975,7.45731155,1.55277558,2.20788635,-8.29832537,-12.0821492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,392.975036,-2.36885552,NaN,NaN,-4.52937852,1.54062083,1330.59345,1.28723312,1433.81972,-0.0188209683,1433.82648,-0.0255760259
1996Q4,610665,58.67,34.25,12.69,1691089.6,85.15,4.59,8.45,58.8318707,407.468373,444.441441,407.192852,1332.23038,1434.08836,353.368656,390.341724,7.26248006,1.74189647,5.07725513,-0.00524015465,1.14983387,4.46275915,-1.05782443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,391.844266,-1.5025418,NaN,NaN,-4.52307931,1.17892567,1330.8942,1.20300369,1434.51014,-0.421776222,1434.51632,-0.427959507
1997Q1,606417,59.84,33.93,12.39,1697250.9,85.57,4.44,8.3,59.6146156,408.790077,444.933475,409.167433,1331.53231,1434.45204,352.429958,388.573356,5.28681809,1.96813893,7.89832429,-2.79226363,1.45470782,-3.75479436,-7.07347352,6.90980166,1.73281875,6.90048082,0.619310716,1.9702673,-2.9904972,-8.16748012,5.48019834,2.70718125,7.29476058,-1.81456225,390.714228,-2.14087182,3.07306703,-0.365885773,-4.52015346,0.49664855,1331.1754,1.1248327,1435.20077,-0.748730451,1435.20635,-0.754313855
1997Q2,604199,60.61,36.59,19.67,1718563.9,85.67,4.33,8.14,60.8251088,410.800268,445.050271,410.44599,1331.16589,1435.69996,359.977498,394.227501,8.04076169,0.467180618,5.11422492,-1.46570175,4.9916703,30.1901601,22.616579,6.35330336,1.30413644,6.38677897,-0.677607487,2.45102458,5.64994988,0.600782957,13.3166966,3.02586356,6.90685761,6.40983903,389.583139,4.64436227,2.98970363,0.036159929,-4.52435733,-0.31270941,1331.4392,1.0551911,1435.89144,-0.191487456,1435.89638,-0.196425297
1997Q3,599998,63.65,36.62,15.48,1729803.5,86.1,4.32,7.97,63.4843063,415.079273,445.550941,415.339933,1330.46816,1436.35184,360.059454,390.531122,17.1160217,2.00268218,19.5757716,-2.7909168,2.60752721,0.327824086,-14.7855154,9.42652038,1.54497455,9.41639399,-1.76353058,2.5509348,7.80648724,-0.0750585863,6.05347962,2.77502545,6.51782054,-0.464340915,388.447878,2.08324419,2.90611155,-0.131086104,-4.5410431,-1.02130971,1331.68837,0.996653746,1436.58152,-0.229681598,1436.58574,-0.233907133
1997Q4,600172,64.61,38.03,16.46,1746937.7,86.47,4.43,7.8,64.8083524,417.143449,445.979753,416.83692,1330.49716,1437.33749,363.837532,392.673836,8.25670379,1.71524862,5.98794903,0.11598357,3.94262046,15.1123131,8.5708579,9.67507631,1.53831259,9.64406746,-1.73322465,3.24913145,10.4688757,2.332112,6.78492369,2.89168741,6.13052141,0.654402278,387.308228,5.36560863,2.82208472,0.069602695,-4.55859986,-1.4821924,1331.92633,0.951840941,1437.27023,0.0672579085,1437.27366,0.0638355713
1998Q1,600749,67.8,36.33,16.01,1757481.5,86.55,4.2,7.62,67.5432329,421.276788,446.072228,421.656219,1330.59325,1437.93924,359.264385,384.059825,16.5333558,0.36989946,19.277199,0.384371691,2.40697958,-18.2925903,-34.4560466,12.4867107,1.13875272,12.4887861,-0.939065821,3.48719939,6.83442674,-4.51353127,3.52328927,3.06124728,5.74754206,-2.2242528,386.165273,-2.10544814,2.73733512,0.323912161,-4.5718195,-1.69157575,1332.15716,0.923353134,1437.95668,-0.0174472081,1437.95919,-0.0199486674
1998Q2,601588,68.3,36.53,15.61,1765141,86.82,4.06,7.42,68.5138154,422.703541,446.383701,422.390977,1330.73281,1438.37411,359.813384,383.493544,5.70701185,1.2458913,2.93902865,0.55824624,1.73950222,2.19599783,-2.26512272,11.9032733,1.33343039,11.9449871,-0.433078824,2.67415737,-0.164113822,-10.7339567,3.70672673,2.72656961,5.37187334,-1.66514661,385.023451,-1.52990682,2.65161825,0.07495136,-4.567288,-1.76200232,1332.38559,0.913700406,1438.64001,-0.265892848,1438.64144,-0.267326821
