# Rupke+2019 Makani (email 1 Dec 2020)
# Radius(kpc)      logSB(erg/s/cm^2/arcsec^2)      -err      +err
         1.0000                      -15.9197    0.0316    0.0294
         3.0000                      -16.2078    0.0467    0.0422
         5.0000                      -16.6077    0.0544    0.0484
         7.0000                      -16.8575    0.0472    0.0426
         9.0000                      -17.0470    0.0572    0.0505
        11.0000                      -17.1589    0.0522    0.0466
        13.0000                      -17.2941    0.0421    0.0384
        15.0000                      -17.3843    0.0396    0.0363
        17.0000                      -17.3055    0.0312    0.0291
        19.0000                      -17.3331    0.0348    0.0322
        21.0000                      -17.3549    0.0381    0.0351
        23.0000                      -17.5315    0.0510    0.0456
        25.0000                      -17.6786    0.0533    0.0475
        27.0000                      -17.6086    0.0477    0.0429
        29.0000                      -17.4991    0.0422    0.0385
        31.0000                      -17.4809    0.0448    0.0406
        33.0000                      -17.6067    0.0438    0.0398
        35.0000                      -17.5673    0.0374    0.0344
        37.0000                      -17.5658    0.0411    0.0376
        39.0000                      -17.5821    0.0351    0.0325
        41.0000                      -17.6119    0.0366    0.0337
        43.0000                      -17.6335    0.0410    0.0374
        45.0000                      -17.6154    0.0431    0.0392
        47.0000                      -17.5426    0.0408    0.0373
        49.0000                      -17.5146    0.0490    0.0441
        51.0000                      -17.6669    0.0478    0.0430
        53.0000                      -17.6032    0.0415    0.0378
        55.0000                      -17.5167    0.0376    0.0346
        57.0000                      -17.5607    0.0635    0.0554
        59.0000                      -17.6118    0.0687    0.0593
        61.0000                      -17.8076    0.0710    0.0610
        63.0000                      -17.6834    0.0830    0.0697
        65.0000                      -17.6573    0.0846    0.0708
        67.0000                      -17.7012    0.1010    0.0819
        69.0000                      -17.6268    0.1144    0.0904
        71.0000                      -17.8618    0.1813    0.1275
        73.0000                      -17.9606    0.3043    0.1772
        75.0000                      -18.2673    0.7677    0.2623
