# Bekeraite+ (2016) - CALIFA and HIPASS velocity function
# Table 2 / Figure 3
# v_circ(km/s), phi (1/Mpc^3/dex) * 1e-3, phi_err * 1e-3 where dex=log10(v_circ)
294.6, 5.2, 1.6
257.7, 10.9, 3.0
225.4, 13.7, 3.3
197.1, 24.7, 5.5
172.4, 22.5, 6.1
147.9, 24.9, 5.0
125.9, 36.7, 5.1
106.2, 36.6, 4.1
89.5, 62.7, 10.1
75.3, 68.2, 19.1
63.0, 56.1, 12.2
