sp_id,Cu_Ka1_center,Al_Ka1_center
0,8.055626501995869,1.482087512522239
1,8.056489838398102,1.4919008132790799
2,8.054242650194656,1.4874217958791938
3,8.05271506789489,1.485775560644883
4,8.05448289036705,1.4880105342540577
5,8.055989963911662,1.4888211042048112
6,8.056770338037277,1.4901145405137288
7,8.054772134616284,1.491509194747742
8,8.053431007541342,1.4879446044703843
9,8.05405047540598,1.4854804933040033
mean,8.05485708683631,1.4879066153820122
std,0.0013332983137288518,0.0029661072711812783
