Component;M;Tb;Tc;Pc;w;s;A;B;C;UnitAnt;ActivityK1;ActivityK2;ActivityK3
N2;28,014;77,35;126,1;33,94;0,0403;0;0;0;0;;;;
CO2;44,01;194,67;304,19;73,8;0,2276;0;7,5788;863,35;273,15;mmhg;;;
C1;16;111,6;190,6;46;0,01;-0,16;0;0;0;;;;
C2;30;184,55;305,32;48,72;0,099;0;0;0;0;;;;
C3;44;231,11;369,83;42,48;0,152;0;0;0;0;;;;
iC4;58,12;261,43;425,16;37,97;0,19;-0,07;0;0;0;;;;
nC4;58,12;272,65;425,12;37,96;0,2002;0;0;0;0;;;;
iC5;72,15;300,99;460,43;33,81;0,2275;0;0;0;0;;;;
nC5;72,15;309,22;469,7;33,7;0,2515;0;0;0;0;;;;
nC6;86,177;341,88;507,6;30,25;0,3013;0;0;0;0;;;;
nC7;100,204;371,58;540,2;27,4;0,3495;0;0;0;0;;;;
C10;134;439;627;24,81;0,39;0;0;0;0;;;;
H2O;18;373,2;647,3;221,2;0,3434;0;5,40221;1838,67;241,413;bara;0,06;13,3637;
HNO3;63;356;647;221;0,205;0;17,46;12299,99;760,7;mmhg;-0,00336;3,03329;
H2SO4;98;610;608;68;0,495;0;19,91931657;25613,64883;1032,910443;bara;-0.0169965157984805;5,524436152;-580,0817824
