# Toba+ (2017) - Tables 1,2
# ID, name, RA, DEC, plate, fiberID, MJD, z, type, m_i [AB mag], L_IR [log lsun], L_bol [log erg/s], has_OIII_broadcomp, v_OIII [km/s], +/-, sigma_OIII [km/s], +/-
# L_Hbeta [log erg/s], Mgas [log msun], vout [log km/s], rout [log pc], Mdot [log msun/yr], dEdt [log erg/s], dPdt [log dyne], dPdt/(L_IR*c) [linear]
1  SDSS_J0045+1339 00:45:29.1 +13:39:08.6 419  137 51879 0.295  2 7.11 10.70 44.58 1 16.8    20.8  99.3   3.5   41.7 8.2 2.3 3.8 1.2 41.3 34.3 3.0
2  SDSS_J0048-0046 00:48:46.4 -00:46:11.9 3590 256 55201 0.939  2 7.55 12.45 46.26 1 -1427.8 191.5 1125.4 80.2  41.3 7.8 3.6 4.1 1.8 44.4 36.1 3.7
3  SDSS_J0749+3353 07:49:34.6 +33:53:08.6 3751 813 55234 0.620  2 7.14 12.39 46.07 1 -151.3  107.3 316.7  136.9 41.4 7.9 2.8 3.5 1.7 42.9 35.3 0.7
4  SDSS_J0751+2958 07:51:20.5 +29:58:47.1 3752 435 55236 0.437  2 7.14 12.14 45.94 1 43.8    27.6  230.6  6.7   41.2 7.7 2.7 3.6 1.2 42.1 34.7 0.3
5  SDSS_J0756+4432 07:56:09.9 +44:32:22.8 6376 806 56269 0.510  2 7.18 12.39 46.22 1 -555.0  88.9  978.6  63.4  41.7 8.1 3.4 3.9 2.0 44.2 36.2 5.0
6  SDSS_J0819+4417 08:19:47.3 +44:17:22.8 6379 933 56340 0.578  2 7.28 12.38 46.22 1 -717.2  130.8 777.2  70.9  41.3 7.8 3.3 3.7 1.9 44.1 36.1 3.8
7  SDSS_J0832+4606 08:32:48.2 +46:06:02.6 5160 330 55895 0.721  2 7.10 11.90 45.73 0 -229.3  500.1 801.5  45.0  41.7 8.2 3.2 3.7 2.2 44.1 36.2 16.1
8  SDSS_J0833+4508 08:33:38.5 +45:08:33.5 7326 452 56710 0.925  2 7.05 12.15 46.04 1 -252.6  38.0  360.9  81.9  42.9 9.4 2.9 4.1 2.7 44.1 36.4 14.9
9  SDSS_J0847+4740 08:47:15.0 +47:40:14.0 7320 160 56722 0.713  2 7.39 12.10 45.88 1 -56.9   36.3  290.5  62.2  42.2 8.7 2.8 3.9 2.0 43.0 35.5 2.1
10 SDSS_J0919+5914 09:19:45.0 +59:14:30.9 5712 229 56602 0.829  2 7.22 12.68 46.34 1 -184.0  199.2 536.3  43.0  42.0 8.5 3.1 4.0 2.0 43.6 35.9 1.2
11 SDSS_J1009+4935 10:09:41.3 +49:35:26.5 7381 548 56717 0.308  2 7.19 11.23 44.90 0 5.6     24.2  76.7   0.6   41.5 7.9 2.2 3.6 1.0 40.9 34.0 0.4
12 SDSS_J1010+3725 10:10:34.2 +37:25:14.7 1426 110 52993 0.282  1 7.23 12.07 45.89 1 -613.6  29.5  971.1  6.7   -1   -1  -1  -1  -1  -1   -1   -1
13 SDSS_J1028+5011 10:28:01.5 +50:11:02.5 6694 430 56386 0.776  1 7.20 11.97 45.84 1 -11.9   259.3 476.0  45.4  -1   -1  -1  -1  -1  -1   -1   -1
14 SDSS_J1029+0501 10:29:05.9 +05:01:32.4 4772 617 55654 0.493  2 7.11 12.16 45.96 0 -1485.0 207.7 986.9  146.6 41.1 7.6 3.6 3.7 1.8 44.4 36.2 8.6
15 SDSS_J1042+2451 10:42:41.1 +24:51:07.0 6417 509 56308 1.026  2 7.02 12.40 46.29 1 -414.8  311.8 489.2  147.6 42.4 8.8 3.1 3.9 2.5 44.2 36.4 8.1
16 SDSS_J1057+3609 10:57:14.5 +36:09:03.3 4626 442 55647 0.885  2 7.06 12.28 46.06 0 761.0   570.1 371.1  271.4 40.5 6.9 3.2 3.6 1.1 43.0 35.1 0.5
17 SDSS_J1159+1100 11:59:15.3 +11:00:42.8 5388 398 55983 0.351  2 7.01 11.90 45.57 0 -255.5  57.4  578.0  46.0  40.6 7.1 3.1 3.3 1.4 43.1 35.3 1.9
18 SDSS_J1210+6105 12:10:56.9 +61:05:51.5 6972 272 56426 0.926  2 7.63 12.54 46.34 1 195.1   133.3 583.4  10.2  42.6 9.1 3.1 4.2 2.5 44.2 36.4 5.3
19 SDSS_J1212+1916 12:12:36.5 +19:16:23.7 5848 737 56029 0.620  2 7.37 12.37 46.19 1 -1.0    48.8  695.9  19.5  42.3 8.8 3.1 4.1 2.3 44.1 36.3 6.3
20 SDSS_J1235+4827 12:35:44.9 +48:27:15.4 6670 254 56389 1.023  2 7.50 13.06 46.70 1 -26.1   150.3 834.7  37.6  42.4 8.9 3.2 4.3 2.3 44.3 36.3 1.5
21 SDSS_J1248+4242 12:48:36.1 +42:42:59.3 4703 632 55617 0.682  2 7.11 11.85 45.66 1 -12.8   130.5 632.1  45.4  41.6 8.0 3.1 3.9 1.7 43.4 35.6 4.9
22 SDSS_J1309+2157 13:09:56.3 +21:57:00.8 2650 23  54505 0.609  1 7.49 12.06 45.88 0 -518.0  348.2 485.5  104.2 -1   -1  -1  -1  -1  -1   -1   -1
23 SDSS_J1315+2618 13:15:14.0 +26:18:41.3 2243 171 53794 0.305  2 8.03 10.93 44.77 1 12.4    20.9  82.1   2.6   41.8 8.2 2.2 3.7 1.2 41.1 34.2 1.4
24 SDSS_J1324+4501 13:24:40.1 +45:01:33.8 6625 124 56386 0.774  2 7.78 12.38 46.20 1 -118.1  234.9 1009.2 103.6 42.1 8.5 3.3 4.0 2.3 44.4 36.4 8.0
25 SDSS_J1353+4134 13:53:34.6 +41:34:39.0 6631 212 56364 0.686  2 7.43 12.29 45.93 1 67.2    93.3  214.1  44.9  41.6 8.0 2.7 3.5 1.7 42.5 35.2 0.6
26 SDSS_J1407+3601 14:07:44.0 +36:01:09.5 3854 24  55247 0.783  1 7.17 12.58 46.36 0 -257.5  56.4  754.9  43.4  -1   -1  -1  -1  -1  -1   -1   -1
27 SDSS_J1431+2557 14:31:36.4 +25:57:06.8 2135 482 53827 0.481  2 7.26 11.92 45.72 1 -63.2   22.5  340.1  4.3   42.2 8.6 2.8 4.0 2.0 43.1 35.6 3.8
28 SDSS_J1435+2807 14:35:40.3 +28:07:25.5 6018 975 56067 0.346  2 7.28 11.76 45.56 1 -208.7  102.0 854.6  92.2  41.0 7.5 3.2 3.4 1.8 43.8 35.8 9.1
29 SDSS_J1513+0402 15:13:33.8 +04:02:22.8 4776 25  55652 0.597  2 7.23 12.54 46.38 1 -121.1  24.7  481.8  6.2   42.4 8.9 3.0 4.1 2.2 43.7 36.0 2.4
30 SDSS_J1513+1451 15:13:54.4 +14:51:25.2 5486 200 56030 0.882  2 7.33 12.49 46.30 1 -539.3  186.3 902.4  141.3 42.2 8.7 3.3 4.1 2.4 44.6 36.5 8.6
31 SDSS_J1525+1234 15:25:04.7 +12:34:01.7 5492 818 56010 0.851  2 7.19 12.18 46.01 1 10.5    45.9  562.5  19.9  42.4 8.8 3.1 4.2 2.2 43.8 36.0 5.5
32 SDSS_J1531+4533 15:31:05.1 +45:33:03.4 6735 246 56397 0.871  2 7.47 12.20 46.05 1 -1009.2 387.8 855.6  152.5 41.3 7.7 3.4 3.8 1.8 44.2 36.0 5.4
33 SDSS_J1635+3040 16:35:59.3 +30:40:32.8 5202 322 55824 0.578  2 7.09 12.37 46.02 1 -515.7  224.2 932.1  100.7 42.0 8.5 3.3 3.7 2.5 44.7 36.7 15.3
