person_id,string,abr,era_prefix_only
4520,武成,True,True
3679,哀平,True,True
3821,宣武,True,True
3825,孝明,True,True
4051,太武,True,True
311,道武,True,True
4487,孝宣,True,True
3901,文桓,True,True
4362,武昭,True,True
7866,景明,True,True
15273,天皇大帝,True,True
4326,宣昭,True,True
288,昭文,True,True
3672,惠愍,True,True
3673,昭武,True,True
3703,成武,True,True
290,惠懿,True,True
292,昭成,True,True
3819,孝文,True,True
3740,孝莊,True,True
316,獻文,True,True
315,文成,True,True
15261,明道崇德文宣,True,True
15293,孝和,True,True
15292,神武,True,True
15283,神武聖文,True,True
15347,睿聖文孝,True,True
15345,仁惠宣孝,True,True
15351,光聖仁孝,True,True
15350,翼獻莊和,True,True
15344,欽明廣孝,True,True
15346,聖文欽孝,True,True
15343,聖德神功文武,True,True
4519,文宣,True,True
4521,孝昭,True,True
7809,孝靜,True,True
312,明元,True,True
291,文成,True,True
3998,景昭,True,True
3635,文明,True,True
3654,孝桓,True,True
3837,孝靈,True,True
3854,孝明,True,True
3040,昭文,True,True
3710,昭烈,True,True
3729,孝懷,True,True
262,更始,True,True
4356,簡文,True,True
3662,孝懷,True,True
3877,孝惠,True,True
3871,簡文,True,True
3872,孝武,True,True
3833,前廢,True,True
3860,孝武,True,True
3682,孝閔,True,True
3917,孝宣,True,True
3656,孝獻,True,True
3653,孝質,True,True
3630,孝惠,True,True
3652,孝沖,True,True
3631,孝文,True,True
3632,孝景,True,True
3633,孝昭,True,True
3634,孝宣,True,True
3708,孝元,True,True
3723,孝成,True,True
3724,孝哀,True,True
3725,孝平,True,True
3839,孝武,True,True
266,昭武,True,True
3643,光武,True,True
3644,孝章,True,True
3645,孝和,True,True
3646,孝安,True,True
3647,孝順,True,True
15260,光文肅武孝高,True,True
264,光文,True,True
15327,聖宗,True,True
15297,孝武惠文,True,True
15375,法天隆運至誠,True,True
15373,合天弘運文武,True,True
15379,繼天開運受中,True,True
15378,協天翊運執中,True,True
15380,同天崇運大中,True,True
15377,效天符運立中,True,True
15370,承天廣運聖德,True,True
15371,應天興國弘德,True,True
15376,受天興運敷化,True,True
15372,體天隆運定統,True,True
15374,敬天昌運建中,True,True
15359,法天立道仁明,True,True
15365,契天隆道淵懿,True,True
15366,範天合道哲肅,True,True
15368,達天闡道敦孝,True,True
15298,孝和莊憲,True,True
15296,大聖大明神烈,True,True
15356,啓天弘道高明,True,True
15300,孝成康靖,True,True
15326,聖文,True,True
318,孝武,True,True
3741,前廢,True,True
3741,節閔,True,True
7178,孝靖,True,True
7175,孝明,True,True
4358,孝元,True,True
3733,後廢,True,True
16957,紹武,True,True
15335,德宗,True,True
15333,武元,True,True
15334,文烈,True,True
15303,仁聖大孝,True,True
15301,文武大聖廣孝,True,True
15299,孝安敬正,True,True
15363,承天達道英肅,True,True
15302,神聖孝章,True,True
15361,繼天凝道顯中,True,True
15306,至仁應道神功,True,True
15307,應符稽古成功,True,True
15318,建道備德大功,True,True
15312,體神合道開德,True,True
15319,端文明武景孝,True,True
15317,法天備道純德,True,True
15315,紹統同道冠德,True,True
15305,啓運立極英武,True,True
15316,循道憲仁明功,True,True
15309,體乾應曆隆功,True,True
15308,體天法道極功,True,True
15330,英文,True,True
15324,昭英,True,True
15328,昭簡,True,True
15323,武烈,True,True
15369,紹天繹道剛明,True,True
15325,康靖,True,True
15310,紹天法古運德,True,True
15311,憲天敦化寧文,True,True
15314,受命中興全功,True,True
15285,武成英烈昭肅,True,True
15358,憲天崇道英明,True,True
15362,達天明道純誠,True,True
15254,睿武孝文,True,True
15354,開天行道肇紀,True,True
15367,崇天契道英睿,True,True
15360,恭仁康定景,True,True
15364,欽天履道英毅,True,True
15357,敬天體道純誠,True,True
15253,聖神恭肅文武,True,True
15243,神武元聖孝,True,True
15249,聖文章武明德,True,True
15245,光聖神閔孝,True,True
15246,聖德和武欽孝,True,True
15251,睿文聖武昭肅,True,True
16643,朱聿鍵,,False
15383,朱友珪,,False
15381,愛新覺羅溥儀,,False
15382,錢弘倧,,False
16641,朱友貞,,False
16649,耶律夷列,,False
16640,趙旉,,False
16642,朱由崧,,False
15379,愛新覺羅載淳,,False
16647,耶律大石,,False
15380,愛新覺羅載湉,,False
15373,愛新覺羅玄燁,,False
15378,愛新覺羅奕詝,,False
15377,愛新覺羅旻寧,,False
15376,愛新覺羅顒琰,,False
15375,愛新覺羅弘曆,,False
15374,愛新覺羅胤禛,,False
15372,愛新覺羅福臨,,False
15371,愛新覺羅皇太極,,False
15370,愛新覺羅努爾哈赤,,False
16651,耶律直魯古,,False
15368,朱由校,,False
15369,朱由檢,,False
16650,耶律普速完,,False
290,高子雨,,False
16652,高繼沖,,False
286,李士如,,False
3004,李玄通,,False
15366,朱翊鈞,,False
3001,李玄休,,False
2030,劉休遠,,False
1571,張安遜,,False
1345,元宣德,,False
511,張士彥,,False
291,馮文起,,False
290,慕容子雨,,False
289,慕容祖明,,False
275,張純嘏,,False
16950,慕容詳,,False
274,張元安,,False
273,張元舒,,False
272,張泰臨,,False
266,劉玄門,,False
265,劉玄泰,,False
263,曹元仲,,False
262,劉聖公,,False
16957,朱聿鐭,,False
16953,張大豫,,False
16951,慕容麟,,False
15367,朱常洛,,False
15329,李安全,,False
15365,朱載垕,,False
15327,李仁孝,,False
15338,完顏璟,,False
15337,完顏雍,,False
15336,完顏亮,,False
15335,完顏亶,,False
15334,完顏吳乞買,,False
15333,完顏阿骨打,,False
15332,李睍,,False
15331,李德旺,,False
15330,李遵頊,,False
15328,李純祐,,False
15326,李乾順,,False
15364,朱厚熜,,False
15325,李秉常,,False
15324,李諒祚,,False
15323,李元昊,,False
15322,趙昺,,False
15321,趙昰,,False
15320,趙㬎,,False
15319,趙禥,,False
15318,趙昀,,False
15317,趙擴,,False
3631,劉長龍,,False
15339,完顏永濟,,False
15340,完顏珣,,False
15341,完顏守緒,,False
15342,完顏承麟,,False
15363,朱厚照,,False
15362,朱祐樘,,False
15361,朱見深,,False
15360,朱祁鈺,,False
15359,朱祁鎮,,False
15358,朱瞻基,,False
15357,朱高熾,,False
15356,朱棣,,False
15355,朱允炆,,False
15354,朱元璋,,False
15353,孛兒只斤妥懽帖睦爾,,False
15352,孛兒只斤懿璘質班,,False
15351,孛兒只斤和世㻋,,False
15350,孛兒只斤圖帖睦爾,,False
15349,孛兒只斤阿速吉八,,False
15348,孛兒只斤也孫鐵木兒,,False
15347,孛兒只斤碩德八剌,,False
15346,孛兒只斤愛育黎拔力八達,,False
15345,孛兒只斤海山,,False
15344,孛兒只斤鐵穆耳,,False
15343,孛兒只斤忽必烈,,False
3009,李仲儁,,False
7153,蕭理孫,,False
3635,慕容元真,,False
4479,陳奉業,,False
6004,蕭世詢,,False
5692,楊仁謹,,False
