#RESOURCE=yCat_22470025
#Name: J/ApJS/247/25
#Title: The SPTpol Extended Cluster Survey (Bleem+, 2020)
#Table	J_ApJS_247_25_cand:
#Name: J/ApJS/247/25/cand
#Title: Galaxy cluster candidates in the SPTpol Extended Cluster Survey (Tables 8 and 9)
#Column	SPT-CL	(A10)	SPT candidate name (JHHMM+DDMM)	[ucd=meta.id;meta.main]
#Column	Xi	(F5.2)	[4/24] SPT detection significance, {xi} (1)	[ucd=stat.likelihood;obs]
#Column	Thetac	(F5.2)	[0.25/3] Filter scale that maximizes detection significance ({theta}_c_)	[ucd=instr.scale]
#Column	z	(F6.3)	[0.04/1.4]? Redshift for confirmed systems	[ucd=src.redshift]
#Column	e_z	(F6.3)	[0.004/0.2]? z uncertainty	[ucd=stat.error;src.redshift]
#Column	M500c	(F5.2)	[2.8/14.5]? Mass; in 10^+14^h_70_^-1^M_{sun}_ (2)	[ucd=phys.mass]
#Column	E_M500c	(F5.2)	[0.4/1.5]? Plus 1 sigma in M500c	[ucd=stat.error;stat.max]
#Column	e_M500c	(F5.2)	[0.6/1.7]? Minus 1 sigma in M500c	[ucd=stat.error]
#Column	lambda	(I3)	[19/204]? Richness (3) [NULL integer written as an empty string]	[ucd=src.class.richness]
#Column	e_lambda	(I2)	[2/47]? Richness uncertainty [NULL integer written as an empty string]	[ucd=stat.error]
#SPT-CL	Xi	Thetac	z	e_z	M500c	E_M500c	e_M500c	lambda	e_lambda
# 	 	arcmin	 	 	 	 	 	 	
#----------	-----	-----	------	------	-----	-----	-----	---	--
J0000-2518	 5.07	 1.50	      	      	     	     	     	   	
J0005-3751	 6.34	 0.75	 0.483	 0.007	 5.42	 0.89	 0.89	 86	 5
J0005-3443	 5.51	 2.00	 0.114	      	 5.32	 0.90	 1.00	105	 5
J0012-3537	 5.26	 2.25	 0.690	 0.020	 4.38	 0.80	 0.89	 73	 5
J0012-3346	 6.70	 1.00	 0.680	 0.010	 5.37	 0.82	 0.85	101	 6
J0014-3022	18.29	 1.50	 0.307	      	11.39	 1.15	 1.38	   	
J0014-2024	 5.64	 1.00	 0.317	      	 5.62	 0.98	 0.98	   	
J0020-2543	 7.14	 1.50	 0.141	      	 7.04	 0.97	 1.08	101	18
J0028-2649	 7.03	 0.50	 0.750	 0.010	 5.93	 0.84	 0.95	 77	 5
J0035-2015	 8.40	 1.25	 0.352	      	 7.48	 0.95	 1.08	   	
J0042-2831	 8.12	 1.75	 0.109	      	 7.76	 0.96	 1.10	 71	 3
J0042-3809	 6.62	 1.25	 0.220	      	 6.01	 0.87	 0.98	 75	 3
J0043-2037	 8.87	 1.75	 0.292	      	 7.86	 0.96	 1.10	202	35
J0046-3911	 9.17	 0.75	 0.594	 0.007	 6.88	 0.78	 0.94	 98	 4
J0049-2440	 7.44	 0.50	 0.527	 0.006	 6.59	 0.86	 0.98	111	 6
J0055-3739	 5.06	 1.50	      	      	     	     	     	   	
J0059-3137	 5.20	 0.75	      	      	     	     	     	   	
J0101-3109	 5.19	 0.25	      	      	     	     	     	   	
J0101-3840	 6.01	 0.50	 0.258	 0.005	 5.50	 0.95	 0.94	 54	 3
J0105-2439	10.12	 2.00	 0.229	 0.004	 8.70	 1.02	 1.19	123	 9
J0105-3004	 5.01	 1.50	      	      	     	     	     	   	
J0114-2820	 7.07	 0.50	 0.431	 0.010	 6.52	 0.88	 1.00	121	 4
J0118-2658	 6.05	 1.50	 0.228	      	 6.11	 0.94	 1.05	100	 6
J0140-3410	 6.77	 0.50	 0.400	 0.010	 5.84	 0.84	 0.95	 56	 3
J0151-2859	 7.28	 0.25	 0.392	 0.010	 6.72	 0.89	 1.04	140	 5
J0152-2853	 7.58	 0.50	 0.413	      	 6.87	 0.91	 1.02	125	 4
J0152-3524	 6.16	 1.00	 0.940	 0.020	 4.66	 0.72	 0.83	 64	 5
J0159-3413	13.83	 1.50	 0.413	      	 9.34	 0.96	 1.17	136	 5
J0159-3331	 8.19	 1.00	 0.400	 0.010	 5.73	 0.70	 0.85	 90	15
J0200-2454	10.29	 1.00	 0.720	 0.010	 6.66	 0.77	 0.90	142	 5
J0200-3106	 6.92	 0.75	 0.990	 0.030	 4.29	 0.64	 0.70	 71	 6
J0201-2325	 5.12	 0.25	      	      	     	     	     	   	
J0202-3027	 6.46	 0.75	 0.484	 0.007	 4.71	 0.70	 0.80	 92	 4
J0203-2017	 9.24	 0.25	 0.440	 0.009	 6.69	 0.81	 0.92	126	 4
J0204-2904	 5.17	 0.50	      	      	     	     	     	   	
J0205-2834	 7.61	 0.75	 0.880	 0.050	 5.21	 0.70	 0.79	   	
J0206-3424	 5.85	 0.25	 0.630	 0.010	 4.16	 0.72	 0.73	 56	 4
J0214-2724	 5.25	 0.25	 0.810	 0.010	 3.91	 0.77	 0.80	 48	 4
J0216-2609	 6.43	 0.25	 0.790	 0.010	 4.70	 0.72	 0.80	 58	 5
J0217-2749	 6.26	 0.75	 1.000	 0.030	 4.31	 0.67	 0.77	 35	 6
J0217-3200	 5.14	 0.50	 0.354	 0.009	 4.05	 0.72	 0.83	 49	 3
J0218-3142	 8.66	 0.75	 0.275	 0.005	 6.15	 0.71	 0.88	125	 4
J0219-3208	 5.28	 0.25	 0.607	 0.009	 3.85	 0.70	 0.79	 83	12
J0220-2825	 5.14	 0.75	      	      	     	     	     	   	
J0224-3921	 7.05	 0.50	 0.491	 0.008	 5.02	 0.72	 0.79	 39	 3
J0236-3901	 5.38	 0.25	 0.940	 0.020	 3.53	 0.67	 0.70	 48	 6
J0237-2807	 5.94	 0.75	 0.500	 0.007	 4.77	 0.82	 0.81	 92	 4
J0237-3743	 5.09	 0.25	 0.511	 0.007	 3.83	 0.70	 0.81	 79	 3
J0238-2615	 5.15	 2.00	 0.446	 0.009	 4.32	 0.77	 0.88	 62	 4
J0238-3416	 5.60	 1.25	 0.650	 0.040	 3.98	 0.68	 0.78	   	
J0241-3916	 8.84	 0.25	 1.030	 0.080	 5.11	 0.63	 0.72	 56	 6
J0241-2839	 6.61	 1.75	 0.238	      	 5.57	 0.80	 0.91	113	 5
