SFC_Potteric_Carr_P_Q,,,,,,,,,,,,,
Degree,Radians,17.5 kV_P,17.5 kV_Q,19.0 kV_P,19.0 kV_Q,22.0 kV_P,22.0 kV_Q,25.0 kV_P,25.0 kV_Q,27.5 kV_P,27.5 kV_Q,29.0 kV_P,29.0 kV_Q
1,0.017453293,32.54504248,0.56807583,35.33461755,0.616768043,40.91376769,0.714152471,46.49291782,0.811536899,46.5,-0.593955488,46.5,-15.587576
2,0.034906585,32.53017142,1.135978618,35.31847183,1.233348213,40.89507264,1.428087405,46.47167346,1.622826597,46.5,-0.588259828,46.5,-15.58132933
3,0.052359878,32.50539136,1.703535376,35.29156776,1.849552694,40.86392056,2.141587329,46.43627337,2.433621965,46.5,-0.57877323,46.5,-15.57092506
4,0.06981317,32.47070984,2.27057322,35.25391354,2.465193782,40.82032094,2.854434906,46.38672834,3.243676029,46.5,-0.565504942,46.5,-15.55637341
5,0.087266463,32.42613742,2.836919426,35.20552063,3.080083949,40.76428705,3.566412993,46.32305346,4.052742038,46.5,-0.548467896,46.5,-15.53768871
6,0.104719755,32.37168769,3.402401479,35.14640378,3.694035892,40.69583596,4.277304717,46.24526813,4.860573542,46.5,-0.527678694,46.5,-15.51488933
7,0.122173048,32.30737724,3.966847128,35.076581,4.306862596,40.61498853,4.986893532,46.15339605,5.666924468,46.5,-0.503157586,46.5,-15.48799771
8,0.13962634,32.23322564,4.530084436,34.99607355,4.918377388,40.52176937,5.694963291,46.0474652,6.471549195,46.5,-0.474928451,46.5,-15.45704028
9,0.157079633,32.14925549,5.091941837,34.90490596,5.528393995,40.4162069,6.401298309,45.92750784,7.274202624,46.5,-0.443018769,46.5,-15.42204747
10,0.174532925,32.05549236,5.652248183,34.80310599,6.136726599,40.29833325,7.10568343,45.79356052,8.074640262,46.5,-0.407459587,46.5,-15.38305366
11,0.191986218,31.95196482,6.2108328,34.69070466,6.743189897,40.16818435,7.807904091,45.64566403,8.872618285,46.5,-0.368285486,46.5,-15.34009713
12,0.20943951,31.8387044,6.767525536,34.56773621,7.347599153,40.02579982,8.507746388,45.48386343,9.667893623,46.5,-0.325534541,46.5,-15.29322004
13,0.226892803,31.71574561,7.322156819,34.43423809,7.949770261,39.87122305,9.204997144,45.30820801,10.46022403,46.5,-0.279248277,46.5,-15.24246836
14,0.244346095,31.58312589,7.874557702,34.29025097,8.54951979,39.70450112,9.899443968,45.11875127,11.24936815,46.5,-0.229471622,46.5,-15.18789185
15,0.261799388,31.44088565,8.424559918,34.1358187,9.146665054,39.52568481,10.59087533,44.91555092,12.0350856,46.5,-0.176252855,46.5,-15.12954394
16,0.27925268,31.2890682,8.971995932,33.97098833,9.741024155,39.3348286,11.2790806,44.69866886,12.81713705,46.5,-0.119643554,46.5,-15.06748176
17,0.296705973,31.12771981,9.516698989,33.79581008,10.33241604,39.13199061,11.96385016,44.46817115,13.59528427,46.5,-0.059698532,46.5,-15.00176597
18,0.314159265,30.95688961,10.05850317,33.61033729,10.92066058,38.91723265,12.64497541,44.22412801,14.36929024,46.5,0.003524221,46.5,-14.93246078
19,0.331612558,30.77662964,10.59724343,33.41462646,11.50557858,38.69062011,13.32224888,43.96661377,15.13891918,46.5,0.069963606,46.5,-14.85963384
