Name,RA_h,RA,DEC,sdss_u,sdss_g,sdss_r,sdss_i,sdss_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,1.8844167,33.291,13.089,13.514,14.023,14.389,14.723,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,5.3780417,-26.436517,15.370,14.114,13.622,13.442,13.394,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,10.341625,55.835667,14.027,13.978,14.105,14.263,14.432,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,10.376958,-33.625564,14.020,11.369,9.972,9.330,9.069,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,12.29125,5.3886139,13.613,12.583,12.301,12.263,12.384,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,12.515333,-52.137667,14.156,14.056,14.424,14.710,15.017,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,13.322667,-32.999056,12.710,13.078,13.589,13.905,14.179,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,18.048542,-26.224358,12.663,12.868,13.354,13.691,14.005,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,21.351875,-26.012194,15.617,15.153,15.008,15.002,15.126,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,24.664125,69.63375,16.035,14.886,14.245,13.999,13.873,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,25.834083,4.3216583,14.308,11.927,10.441,9.385,8.818,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
LTT1020,01:54:50.27,28.709458,-27.476594,12.681,11.761,11.363,11.230,11.220,Primary,G,V2.SPSS039.ascii,5024640977840398848,Constant
LP885-23,02:07:06.33,31.776375,-30.406361,17.764,15.006,13.545,12.256,11.582,Secondary,M0,V2.SPSS352.ascii,5020116556211470848,Constant
EG21,03:10:31.02,47.62925,-68.600942,11.454,11.259,11.565,11.824,12.132,Primary,DA3,V2.SPSS005.ascii,4646535078125821568,Constant
HG7-15,03:48:11.86,57.049417,7.1462417,14.209,11.594,10.273,9.755,9.447,Secondary,M1,V2.SPSS328.ascii,3277270538903180160,Constant
LTT1788,03:48:22.67,57.094458,-39.143667,14.150,13.346,13.026,12.911,12.905,Primary,F,V2.SPSS040.ascii,4855735169813450624,Constant
GD50,03:48:50.20,57.209167,-0.97533333,13.331,13.780,14.290,14.646,15.015,Primary,DA2,V2.SPSS006.ascii,3251244858154433536,
HZ2,04:12:43.55,63.181458,11.863611,13.684,13.705,14.077,14.377,14.670,Primary,DA3,V2.SPSS007.ascii,3304090857318319232,
WD0455-282,04:57:13.90,74.307917,-28.131667,13.203,13.630,14.181,14.543,14.868,Secondary,DA1,V2.SPSS168.ascii,4880286371109059712,
WD0501-289,05:03:55.51,75.981292,-28.909603,13.018,13.559,14.121,14.513,14.884,Secondary,DO,V2.SPSS170.ascii,4876967941937370368,Constant
G191-B2B,05:05:30.61,76.377542,52.831097,10.993,11.473,12.009,12.389,12.753,Pillar,DA0,V2.SPSS001.ascii,266077145295627520,Constant
