Name,RA_h,RA,DEC,sdss_u,sdss_g,sdss_r,sdss_i,sdss_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
GD71,05:52:27.63,88.115125,15.887047,12.418,12.769,13.258,13.617,13.975,Pillar,DA1,V2.SPSS002.ascii,3348071631670500736,Constant
LTT2415,05:56:24.74,89.103083,-27.858986,13.205,12.365,12.116,12.035,12.040,Primary,G,V2.SPSS009.ascii,2910503176753011840,Constant
HD270477,05:59:33.36,89.889,-67.020478,11.586,10.518,10.318,10.301,10.353,Secondary,F8,V2.SPSS345.ascii,4659680529922228096,
HD271747,05:59:58.62,89.99425,-66.102475,12.975,11.718,11.304,11.196,11.197,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
HD271759,06:00:41.34,90.17225,-66.053897,12.056,10.871,10.879,10.975,11.091,Secondary,A2,V2.SPSS347.ascii,5476400477145058816,Constant
HD271783,06:02:11.36,90.547333,-66.583092,13.374,12.175,11.783,11.694,11.754,Secondary,F5,V2.SPSS348.ascii,5284204302730217984,
WD0604-203,06:06:13.39,91.555792,-20.352,11.772,11.818,12.269,12.575,12.884,Secondary,DA,V2.SPSS109.ascii,2941993086693170176,Constant
WD0621-376,06:23:12.63,95.802625,-37.691114,11.300,11.772,12.324,12.703,13.046,Secondary,DA1,V2.SPSS110.ascii,5575007845317435648,Constant
HILT600,06:45:13.37,101.30571,2.1374167,10.831,10.462,10.453,10.525,10.625,Primary,B1,V2.SPSS024.ascii,3126052883671520896,Constant
WD0644+375,06:47:37.99,101.90829,37.515853,11.791,11.876,12.259,12.573,12.885,Secondary,DA2,V2.SPSS112.ascii,943770757800160384,
WD0646-253,06:48:56.09,102.23371,-25.396389,13.176,13.407,13.863,14.210,14.499,Secondary,DA2,V2.SPSS173.ascii,2921786919133198848,Constant
G193-26,07:03:26.29,105.85954,54.868333,14.086,13.247,12.814,12.646,12.571,Secondary,G,V2.SPSS174.ascii,987911506794398976,Constant
WD0721-276,07:23:20.10,110.83375,-27.789333,13.917,14.281,14.771,15.114,15.447,Secondary,DA1,V2.SPSS175.ascii,5612710511362093184,Constant
LTT3218,08:41:32.56,130.38567,-32.943028,12.290,11.883,11.905,12.009,12.176,Primary,DA,V2.SPSS008.ascii,5639391810273308416,Constant
G114-25,08:59:03.37,134.76404,-6.3961639,13.119,12.196,11.743,11.559,11.523,Secondary,F7,V2.SPSS115.ascii,5757389920689415040,Constant
WD0859-039,09:02:17.30,135.57208,-4.1154028,12.807,12.978,13.385,13.705,14.031,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,150.19737,-7.5584722,13.175,13.324,13.755,14.069,14.373,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,158.05667,-35.628278,13.281,12.380,12.037,11.917,11.904,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,158.42817,-11.693986,12.593,12.798,13.220,13.537,13.850,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,159.26587,-0.13869444,12.379,12.903,13.469,13.865,14.222,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,159.90308,43.102569,10.388,10.860,11.391,11.748,12.082,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,166.99979,-5.1571944,13.177,12.959,13.247,13.514,13.795,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,174.51092,57.489969,16.044,15.101,14.989,15.005,15.065,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,176.42883,-64.841517,11.806,11.522,11.477,11.546,11.677,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,181.69679,11.670178,11.190,10.863,11.193,11.468,11.700,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,183.54387,-17.238942,13.004,10.700,9.743,9.379,9.164,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,189.348,25.066631,9.867,10.220,10.730,11.101,11.441,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,190.422,-0.44061111,15.204,13.138,12.345,12.079,11.924,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,191.13942,-0.43102778,13.965,12.804,12.449,12.368,12.367,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,194.25971,22.031256,12.657,13.064,13.574,13.949,14.302,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,195.50658,-2.0892833,14.367,13.183,12.586,12.353,12.232,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,196.76796,20.810706,16.107,13.325,11.843,10.878,10.338,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,200.89692,36.133197,10.933,11.370,11.884,12.271,12.631,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,204.37642,-0.22149167,9.979,8.871,8.730,8.703,8.791,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,204.85042,46.186492,13.690,11.029,9.669,8.820,8.342,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,209.71321,-2.9145333,9.935,10.027,10.422,10.721,11.007,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,212.61229,32.143361,13.897,13.831,14.171,14.462,14.766,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,217.46275,39.473731,16.129,15.013,15.042,15.138,15.231,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,227.44175,-4.7518361,13.305,12.340,11.818,11.621,11.549,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,227.86525,32.071611,14.254,14.013,14.279,14.538,14.807,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,229.411,2.0404444,16.464,14.607,13.817,13.497,13.324,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,233.88146,27.850611,14.911,13.857,13.307,13.102,13.020,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,234.20042,-0.251975,10.391,9.168,8.974,8.943,8.986,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
LTT6248,15:38:59.66,234.74858,-28.593575,12.875,12.014,11.661,11.533,11.512,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,236.53438,39.237889,14.734,13.789,13.324,13.158,13.091,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,236.56117,62.444333,13.905,13.010,12.564,12.401,12.336,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,239.57758,2.0516972,12.141,11.069,10.617,10.450,10.377,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,239.80654,47.611639,15.063,13.754,13.280,13.141,13.116,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,242.0925,42.095333,14.176,13.766,13.962,14.177,14.418,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,244.48025,-15.59775,12.861,13.184,13.650,13.969,14.267,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,245.891,-39.229489,10.675,10.801,11.238,11.551,11.863,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,247.07029,44.6773,12.692,11.632,11.098,10.902,10.810,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
WD1626+368,16:28:25.03,247.10429,36.770944,14.007,13.817,13.857,13.979,14.155,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,263.17346,23.736567,10.274,9.219,8.729,8.539,8.463,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,265.76867,66.917111,14.753,13.569,13.533,13.596,13.663,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,268.81762,66.169917,15.719,13.779,13.009,12.755,12.614,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,269.30521,67.061361,13.084,11.853,11.818,11.893,11.971,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,269.65829,66.781167,17.050,14.579,13.607,13.257,13.051,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
BD+661071,18:02:10.92,270.5455,66.207331,11.752,10.707,10.476,10.447,10.479,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,271.372,64.464444,13.404,12.243,12.373,12.519,12.646,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,273.03987,63.495083,12.978,11.742,11.783,11.896,12.003,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,279.10813,-44.310261,11.629,10.500,10.079,9.932,9.938,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,280.12196,19.601847,15.747,14.493,13.848,13.622,13.498,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,281.91283,1.9598944,12.458,12.715,13.156,13.388,13.418,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,286.77317,20.888047,14.499,11.683,10.165,9.187,8.606,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,286.805,20.877011,14.490,11.681,10.166,9.176,8.592,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,289.68683,-59.776056,14.263,14.215,14.585,14.856,15.181,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,290.14554,-7.6666806,12.249,12.216,12.359,12.524,12.736,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,290.41833,14.678611,13.115,12.885,13.161,13.437,13.737,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,297.95671,5.6127333,12.333,11.096,10.502,10.281,10.174,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,302.27183,-60.428222,12.655,13.068,13.593,13.936,14.302,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,302.73687,-30.218511,12.383,12.128,12.422,12.669,12.962,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,308.59117,25.063811,11.307,11.342,11.722,12.043,12.369,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,309.57017,-53.073722,14.058,14.205,14.521,14.759,15.003,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,310.06708,0.55548333,11.816,10.832,10.408,10.273,10.219,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,311.08946,-68.08925,13.325,13.203,13.499,13.748,14.050,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,312.27788,37.470528,13.215,12.924,13.162,13.404,13.675,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,318.18354,50.104944,12.405,12.776,13.270,13.627,13.969,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,318.30792,-81.817778,14.014,13.669,13.736,13.866,14.046,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,319.73446,54.211458,12.522,12.252,12.528,12.798,13.078,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,324.15125,22.075833,14.426,14.328,14.652,14.935,15.217,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,325.67083,20.999511,13.473,13.248,13.249,13.341,13.473,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,328.10575,2.3887667,12.722,12.621,12.952,13.229,13.532,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,334.95146,-65.488364,14.618,14.493,14.588,14.725,14.912,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,343.17096,-20.592469,13.359,12.352,11.907,11.731,11.731,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,343.79167,-63.174167,14.020,13.964,14.330,14.585,14.881,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,348.09008,10.784514,12.318,12.794,13.322,13.696,14.054,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
Feige110,23:19:58.40,349.99333,-5.1656139,11.103,11.529,12.058,12.412,12.761,Primary,O,V2.SPSS023.ascii,2633603478379307904,Constant
WD2329+407,23:31:35.65,352.89854,41.025194,13.938,13.744,14.041,14.319,14.602,Secondary,DA3,V2.SPSS214.ascii,1923682286712356992,
WD2331-475,23:34:02.20,353.50917,-47.240694,12.692,13.130,13.661,14.008,14.304,Secondary,DA1,V2.SPSS215.ascii,6528109879126984960,
WD2352+401,23:54:56.25,358.73438,40.458361,15.293,14.996,14.915,14.968,15.097,Secondary,DQ6,V2.SPSS281.ascii,1921351390779081600,Constant
