Name,RA_h,RA,DEC,ucam_cb_us,ucam_cb_gs,ucam_cb_rs,ucam_cb_is,ucam_cb_zs,ucam_cb_u,ucam_cb_g,ucam_cb_r,ucam_cb_i,ucam_cb_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
GD50,03:48:50.20,57.209167,-0.97533333,13.367,13.788,14.308,14.681,15.081,13.356,13.807,14.321,14.676,15.079,Primary,DA2,V2.SPSS006.ascii,3251244858154433536,
HZ2,04:12:43.55,63.181458,11.863611,13.706,13.703,14.092,14.407,14.714,13.701,13.713,14.103,14.403,14.713,Primary,DA3,V2.SPSS007.ascii,3304090857318319232,
WD0455-282,04:57:13.90,74.307917,-28.131667,13.237,13.640,14.199,14.578,14.930,13.229,13.662,14.212,14.573,14.930,Secondary,DA1,V2.SPSS168.ascii,4880286371109059712,
WD0501-289,05:03:55.51,75.981292,-28.909603,13.057,13.572,14.141,14.557,14.936,13.047,13.597,14.154,14.550,14.937,Secondary,DO,V2.SPSS170.ascii,4876967941937370368,Constant
G191-B2B,05:05:30.61,76.377542,52.831097,11.031,11.483,12.029,12.423,12.813,11.019,11.505,12.042,12.419,12.812,Pillar,DA0,V2.SPSS001.ascii,266077145295627520,Constant
GD71,05:52:27.63,88.115125,15.887047,12.451,12.775,13.277,13.651,14.034,12.442,12.793,13.289,13.646,14.032,Pillar,DA1,V2.SPSS002.ascii,3348071631670500736,Constant
LTT2415,05:56:24.74,89.103083,-27.858986,13.156,12.354,12.110,12.033,12.053,13.198,12.340,12.106,12.033,12.054,Primary,G,V2.SPSS009.ascii,2910503176753011840,Constant
HD270477,05:59:33.36,89.889,-67.020478,11.528,10.506,10.314,10.306,10.363,11.580,10.493,10.312,10.305,10.362,Secondary,F8,V2.SPSS345.ascii,4659680529922228096,
HD271747,05:59:58.62,89.99425,-66.102475,12.904,11.699,11.294,11.195,11.200,12.934,11.675,11.289,11.195,11.200,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
HD271759,06:00:41.34,90.17225,-66.053897,12.011,10.863,10.881,10.990,11.100,12.094,10.860,10.884,10.988,11.100,Secondary,A2,V2.SPSS347.ascii,5476400477145058816,Constant
HD271783,06:02:11.36,90.547333,-66.583092,13.310,12.157,11.775,11.698,11.761,13.350,12.135,11.770,11.696,11.760,Secondary,F5,V2.SPSS348.ascii,5284204302730217984,
WD0604-203,06:06:13.39,91.555792,-20.352,11.788,11.825,12.285,12.605,12.937,11.793,11.841,12.296,12.601,12.935,Secondary,DA,V2.SPSS109.ascii,2941993086693170176,Constant
WD0621-376,06:23:12.63,95.802625,-37.691114,11.341,11.783,12.343,12.738,13.111,11.331,11.805,12.356,12.734,13.110,Secondary,DA1,V2.SPSS110.ascii,5575007845317435648,Constant
HILT600,06:45:13.37,101.30571,2.1374167,10.820,10.458,10.455,10.535,10.651,10.845,10.455,10.458,10.534,10.651,Primary,B1,V2.SPSS024.ascii,3126052883671520896,Constant
WD0644+375,06:47:37.99,101.90829,37.515853,11.814,11.876,12.275,12.603,12.944,11.808,11.886,12.287,12.599,12.943,Secondary,DA2,V2.SPSS112.ascii,943770757800160384,
WD0646-253,06:48:56.09,102.23371,-25.396389,13.199,13.411,13.881,14.244,14.532,13.193,13.426,13.895,14.239,14.533,Secondary,DA2,V2.SPSS173.ascii,2921786919133198848,Constant
G193-26,07:03:26.29,105.85954,54.868333,14.019,13.232,12.802,12.637,12.575,14.043,13.208,12.796,12.638,12.576,Secondary,G,V2.SPSS174.ascii,987911506794398976,Constant
WD0721-276,07:23:20.10,110.83375,-27.789333,13.949,14.288,14.788,15.145,15.511,13.942,14.307,14.801,15.141,15.510,Secondary,DA1,V2.SPSS175.ascii,5612710511362093184,Constant
LTT3218,08:41:32.56,130.38567,-32.943028,12.274,11.876,11.908,12.023,12.203,12.283,11.870,11.912,12.021,12.202,Primary,DA,V2.SPSS008.ascii,5639391810273308416,Constant
G114-25,08:59:03.37,134.76404,-6.3961639,13.050,12.179,11.730,11.552,11.524,13.077,12.154,11.723,11.552,11.525,Secondary,F7,V2.SPSS115.ascii,5757389920689415040,Constant
WD0859-039,09:02:17.30,135.57208,-4.1154028,12.841,12.979,13.401,13.736,14.096,12.835,12.992,13.413,13.732,14.095,Secondary,DA2,V2.SPSS307.ascii,5762406957886626816,Constant
GD108,10:00:47.37,150.19737,-7.5584722,13.198,13.328,13.772,14.099,14.431,13.199,13.348,13.782,14.095,14.431,Primary,B,V2.SPSS010.ascii,3772994667772794112,Constant
LTT3864,10:32:13.60,158.05667,-35.628278,13.229,12.366,12.027,11.915,11.898,13.263,12.347,12.022,11.915,11.898,Primary,F,V2.SPSS041.ascii,5444093531284061568,Constant
WD1031-114,10:33:42.76,158.42817,-11.693986,12.619,12.801,13.236,13.566,13.910,12.613,12.815,13.248,13.563,13.909,Secondary,DA2,V2.SPSS119.ascii,3754712881779364992,Constant
WD1034+001,10:37:03.81,159.26587,-0.13869444,12.416,12.916,13.490,13.901,14.288,12.404,12.939,13.504,13.896,14.286,Secondary,DOZ1,V2.SPSS308.ascii,3806885288337214848,Constant
Feige34,10:39:36.74,159.90308,43.102569,10.420,10.871,11.411,11.777,12.152,10.410,10.893,11.424,11.773,12.151,Primary,DO,V2.SPSS011.ascii,781164326766404736,Constant
WD1105-048,11:07:59.95,166.99979,-5.1571944,13.193,12.953,13.260,13.541,13.850,13.191,12.957,13.271,13.538,13.849,Secondary,DA3,V2.SPSS121.ascii,3788194488314248832,Constant
SDSS09310,11:38:02.62,174.51092,57.489969,16.003,15.093,14.989,15.011,15.082,16.060,15.084,14.990,15.009,15.082,Secondary,A0/F3,V2.SPSS320.ascii,845789153480087936,Constant
LTT4364,11:45:42.92,176.42883,-64.841517,11.778,11.518,11.479,11.556,11.709,11.789,11.514,11.480,11.554,11.710,Primary,DQ6,V2.SPSS012.ascii,5332606522595645952,Constant
Feige56,12:06:47.23,181.69679,11.670178,11.179,10.867,11.207,11.494,11.741,11.221,10.879,11.216,11.491,11.741,Primary,B5p,V2.SPSS026.ascii,3918811315733520640,Constant
HD106355,12:14:10.53,183.54387,-17.238942,12.858,10.660,9.716,9.358,9.119,12.870,10.603,9.702,9.360,9.119,Secondary,G8IV,V2.SPSS129.ascii,3520997013687539712,Constant
Feige66,12:37:23.52,189.348,25.066631,9.901,10.228,10.750,11.134,11.505,9.892,10.249,10.763,11.130,11.505,Primary,O,V2.SPSS013.ascii,3959631234670040704,Constant
SA104-428,12:41:41.28,190.422,-0.44061111,15.087,13.105,12.324,12.063,11.911,15.105,13.058,12.314,12.065,11.912,Secondary,G8,V2.SPSS314.ascii,3695913095870312576,Constant
SA104-490,12:44:33.46,191.13942,-0.43102778,13.902,12.788,12.441,12.367,12.378,13.941,12.767,12.437,12.367,12.379,Secondary,G3,V2.SPSS315.ascii,3683915053189161728,Constant
GD153,12:57:02.33,194.25971,22.031256,12.692,13.072,13.594,13.984,14.361,12.681,13.091,13.607,13.979,14.359,Pillar,DA1,V2.SPSS003.ascii,3944400490365194368,Constant
G14-24,13:02:01.58,195.50658,-2.0892833,14.275,13.160,12.570,12.339,12.226,14.300,13.127,12.561,12.341,12.227,Secondary,K0,V2.SPSS130.ascii,3685507214745543040,Constant
GJ2097,13:07:04.31,196.76796,20.810706,15.946,13.237,11.822,10.797,10.289,16.001,13.159,11.795,10.803,10.289,Secondary,M1,V2.SPSS334.ascii,3943234217765374336,Constant
HZ44,13:23:35.26,200.89692,36.133197,10.971,11.382,11.904,12.307,12.685,10.961,11.400,11.918,12.302,12.684,Primary,O,V2.SPSS014.ascii,1473687671071803520,Constant
SA105-663,13:37:30.34,204.37642,-0.22149167,9.929,8.861,8.729,8.708,8.799,9.998,8.851,8.728,8.705,8.798,Primary,F2,V2.SPSS028.ascii,3662718736748087424,Constant
GJ521,13:39:24.10,204.85042,46.186492,13.520,10.948,9.645,8.752,8.301,13.589,10.878,9.620,8.757,8.301,Secondary,M2,V2.SPSS336.ascii,1503625448550796032,Constant
HD121968,13:58:51.17,209.71321,-2.9145333,9.950,10.034,10.437,10.752,11.052,9.960,10.050,10.447,10.748,11.051,Primary,B1,V2.SPSS030.ascii,3657546118655166080,Constant
WD1408+323,14:10:26.95,212.61229,32.143361,13.912,13.828,14.185,14.491,14.827,13.907,13.835,14.197,14.487,14.825,Secondary,DA3,V2.SPSS248.ascii,1478363619145920640,
SDSS09626,14:29:51.06,217.46275,39.473731,16.082,15.007,15.047,15.151,15.247,16.168,15.005,15.050,15.148,15.246,Secondary,A0,V2.SPSS324.ascii,1487827631122772992,Constant
G15-10,15:09:46.02,227.44175,-4.7518361,13.232,12.320,11.803,11.610,11.548,13.255,12.292,11.795,11.611,11.549,Secondary,G2,V2.SPSS132.ascii,6335641365117256192,Constant
WD1509+322,15:11:27.66,227.86525,32.071611,14.265,14.005,14.292,14.565,14.860,14.263,14.007,14.303,14.561,14.859,Secondary,DA3,V2.SPSS250.ascii,1276688069644366592,Constant
M5-S1490,15:17:38.64,229.411,2.0404444,16.328,14.575,13.795,13.478,13.308,16.365,14.529,13.783,13.480,13.309,Secondary,,V2.SPSS313.ascii,4421525074384092032,Constant
G167-50,15:35:31.55,233.88146,27.850611,14.829,13.834,13.294,13.092,13.016,14.848,13.805,13.286,13.093,13.016,Secondary,G,V2.SPSS191.ascii,1272306378368710528,Constant
SA107-544,15:36:48.10,234.20042,-0.251975,10.339,9.157,8.970,8.946,8.986,10.408,9.144,8.968,8.944,8.986,Primary,F3,V2.SPSS032.ascii,4416639085227405952,Constant
LTT6248,15:38:59.66,234.74858,-28.593575,12.817,11.999,11.651,11.527,11.523,12.853,11.981,11.646,11.528,11.523,Primary,A,V2.SPSS033.ascii,6210089815971933056,Constant
G179-54,15:46:08.25,236.53438,39.237889,14.668,13.771,13.312,13.150,13.094,14.690,13.745,13.305,13.151,13.095,Secondary,F,V2.SPSS192.ascii,1377578947371340032,Constant
G224-83,15:46:14.68,236.56117,62.444333,13.838,12.993,12.553,12.393,12.339,13.861,12.969,12.546,12.394,12.339,Secondary,K,V2.SPSS133.ascii,1639946061258413312,Constant
G16-20,15:58:18.62,239.57758,2.0516972,12.069,11.051,10.605,10.442,10.380,12.108,11.027,10.598,10.443,10.380,Secondary,K,V2.SPSS134.ascii,4412702764879270656,Constant
P177-D,15:59:13.57,239.80654,47.611639,14.991,13.734,13.270,13.135,13.113,15.012,13.706,13.264,13.135,13.112,Primary,G0,V2.SPSS043.ascii,1399559249961569792,Constant
WD1606+422,16:08:22.20,242.0925,42.095333,14.173,13.756,13.972,14.200,14.465,14.176,13.754,13.982,14.197,14.464,Secondary,DA4,V2.SPSS193.ascii,1384866854036828032,Constant
WD1615-154,16:17:55.26,244.48025,-15.59775,12.896,13.189,13.666,13.999,14.329,12.888,13.206,13.678,13.996,14.329,Secondary,DA2,V2.SPSS135.ascii,4328293291578459392,
EG274,16:23:33.84,245.891,-39.229489,10.699,10.804,11.255,11.580,11.922,10.694,10.816,11.267,11.576,11.922,Primary,DA2,V2.SPSS016.ascii,6018034958869558912,
G180-58,16:28:16.87,247.07029,44.6773,12.611,11.612,11.085,10.891,10.808,12.633,11.582,11.077,10.892,10.809,Secondary,G/K,V2.SPSS136.ascii,1406378695954996352,Constant
WD1626+368,16:28:25.03,247.10429,36.770944,13.993,13.808,13.862,13.994,14.193,13.983,13.809,13.866,13.992,14.191,Secondary,DZA6,V2.SPSS194.ascii,1331106782752978688,Constant
G170-47,17:32:41.63,263.17346,23.736567,10.198,9.201,8.717,8.530,8.459,10.240,9.174,8.710,8.531,8.460,Secondary,G0,V2.SPSS139.ascii,4569481097095820032,Constant
1743045,17:43:04.48,265.76867,66.917111,14.698,13.560,13.535,13.605,13.670,14.779,13.553,13.538,13.604,13.670,Primary,A5,V2.SPSS035.ascii,1634280312200704768,Constant
KF08T3,17:55:16.23,268.81762,66.169917,15.601,13.747,12.989,12.740,12.594,15.614,13.700,12.979,12.742,12.594,Primary,K0,V2.SPSS045.ascii,1633294634388508416,Constant
2MASSJ17571324+6703409,17:57:13.25,269.30521,67.061361,13.022,11.845,11.819,11.905,11.979,13.105,11.838,11.821,11.903,11.978,Secondary,A3,V2.SPSS309.ascii,1633585107317144960,Constant
KF06T2,17:58:37.99,269.65829,66.781167,16.930,14.538,13.579,13.237,13.020,16.957,14.479,13.565,13.239,13.020,Primary,K1,V2.SPSS047.ascii,1633376204407124352,Constant
BD+661071,18:02:10.92,270.5455,66.207331,11.700,10.694,10.472,10.450,10.489,11.745,10.680,10.470,10.450,10.489,Secondary,F5,V2.SPSS311.ascii,2161721571962091136,Constant
1805292,18:05:29.28,271.372,64.464444,13.358,12.236,12.380,12.535,12.654,13.450,12.239,12.385,12.532,12.653,Primary,A6,V2.SPSS036.ascii,2161093682102883712,Constant
1812095,18:12:09.57,273.03987,63.495083,12.929,11.733,11.787,11.911,12.010,13.015,11.731,11.791,11.908,12.009,Primary,A5,V2.SPSS037.ascii,2160839724980689408,Constant
LTT7379,18:36:25.95,279.10813,-44.310261,11.560,10.482,10.069,9.925,9.955,11.587,10.457,10.063,9.925,9.955,Primary,G0,V2.SPSS049.ascii,6709878766312642944,Constant
G184-17,18:40:29.27,280.12196,19.601847,15.661,14.466,13.832,13.609,13.482,15.677,14.427,13.823,13.611,13.482,Secondary,K,V2.SPSS259.ascii,4524670913035545344,Constant
WD1845+019,18:47:39.08,281.91283,1.9598944,12.489,12.719,13.173,13.395,13.426,12.480,12.734,13.184,13.394,13.423,Secondary,DA2,V2.SPSS141.ascii,4279269469712040832,
GJ745A,19:07:05.56,286.77317,20.888047,14.315,11.591,10.145,9.104,8.544,14.372,11.510,10.118,9.111,8.544,Secondary,M2,V2.SPSS339.ascii,4519789321942643072,Constant
GJ745B,19:07:13.20,286.805,20.877011,14.311,11.589,10.146,9.092,8.531,14.365,11.508,10.119,9.098,8.530,Secondary,M2,V2.SPSS340.ascii,4519789081415296128,Constant
WD1914-598,19:18:44.84,289.68683,-59.776056,14.284,14.213,14.598,14.885,15.235,14.280,14.222,14.610,14.881,15.235,Secondary,DA,V2.SPSS262.ascii,6446197877766956800,Constant
EG131,19:20:34.93,290.14554,-7.6666806,12.236,12.218,12.366,12.544,12.779,12.239,12.221,12.371,12.541,12.779,Primary,DBQA5,V2.SPSS050.ascii,4201781696994073472,Constant
WD1919+145,19:21:40.40,290.41833,14.678611,13.123,12.877,13.175,13.467,13.782,13.121,12.879,13.187,13.462,13.781,Secondary,DA3,V2.SPSS144.ascii,4319908862597055232,Constant
G23-14,19:51:49.61,297.95671,5.6127333,12.242,11.071,10.487,10.270,10.161,12.274,11.039,10.478,10.271,10.162,Secondary,G5,V2.SPSS145.ascii,4296558843393685632,Constant
WD2004-605,20:09:05.24,302.27183,-60.428222,12.695,13.077,13.612,13.970,14.363,12.686,13.096,13.625,13.964,14.362,Secondary,DA1,V2.SPSS201.ascii,6443328221136801920,Constant
LTT7987,20:10:56.85,302.73687,-30.218511,12.389,12.122,12.435,12.696,13.011,12.387,12.125,12.446,12.692,13.011,Primary,DA4,V2.SPSS017.ascii,6749419923164242816,Constant
WD2032+248,20:34:21.88,308.59117,25.063811,11.332,11.340,11.739,12.075,12.421,11.326,11.350,11.752,12.070,12.420,Secondary,DA2,V2.SPSS146.ascii,1831553382794173824,
WD2034-532,20:38:16.84,309.57017,-53.073722,14.083,14.212,14.535,14.781,15.045,14.079,14.221,14.543,14.777,15.044,Secondary,DB4,V2.SPSS266.ascii,6471102606408911360,Constant
G24-25,20:40:16.10,310.06708,0.55548333,11.756,10.815,10.398,10.268,10.212,11.786,10.789,10.392,10.268,10.213,Secondary,G0,V2.SPSS147.ascii,4228176122142169600,Constant
WD2039-682,20:44:21.47,311.08946,-68.08925,13.342,13.198,13.511,13.773,14.101,13.337,13.200,13.522,13.770,14.100,Secondary,DA3,V2.SPSS204.ascii,6424566979354709248,Constant
WD2047+372,20:49:06.69,312.27788,37.470528,13.221,12.915,13.175,13.428,13.726,13.221,12.914,13.186,13.424,13.724,Secondary,DA3,V2.SPSS149.ascii,1871118140493076224,Constant
WD2111+498,21:12:44.05,318.18354,50.104944,12.435,12.783,13.289,13.659,14.030,12.426,12.801,13.302,13.654,14.028,Secondary,DA1,V2.SPSS205.ascii,2166111956258599680,
WD2105-820,21:13:13.90,318.30792,-81.817778,14.004,13.659,13.741,13.880,14.084,14.005,13.654,13.747,13.879,14.084,Secondary,DA5,V2.SPSS206.ascii,6348672845649310464,Constant
WD2117+539,21:18:56.27,319.73446,54.211458,12.532,12.245,12.541,12.825,13.123,12.531,12.247,12.553,12.821,13.122,Secondary,DA3,V2.SPSS300.ascii,2176116580055936512,Constant
WD2134+218,21:36:36.30,324.15125,22.075833,14.442,14.324,14.666,14.964,15.265,14.436,14.331,14.678,14.960,15.264,Secondary,DA3,V2.SPSS271.ascii,1793946026371051648,
WD2140+207,21:42:41.00,325.67083,20.999511,13.445,13.247,13.253,13.354,13.499,13.452,13.244,13.255,13.351,13.499,Secondary,DQ6,V2.SPSS211.ascii,1792830060723673472,Constant
G93-48,21:52:25.38,328.10575,2.3887667,12.741,12.618,12.966,13.258,13.589,12.738,12.624,12.978,13.253,13.588,Primary,DA3,V2.SPSS019.ascii,2693940725141960192,
WD2216-657,22:19:48.35,334.95146,-65.488364,14.606,14.485,14.596,14.740,14.940,14.597,14.490,14.601,14.737,14.940,Secondary,DZ5,V2.SPSS276.ascii,6404417771644764160,Constant
LTT9239,22:52:41.03,343.17096,-20.592469,13.292,12.335,11.895,11.726,11.734,13.315,12.309,11.889,11.725,11.734,Primary,F,V2.SPSS021.ascii,2398029465700538880,Constant
WD2251-634,22:55:10.00,343.79167,-63.174167,14.041,13.963,14.343,14.612,14.938,14.039,13.971,14.354,14.608,14.939,Secondary,DA,V2.SPSS279.ascii,6394241555306538240,Constant
WD2309+105,23:12:21.62,348.09008,10.784514,12.356,12.803,13.342,13.731,14.122,12.343,12.825,13.355,13.726,14.120,Secondary,DA1,V2.SPSS305.ascii,2810585920868186240,
Feige110,23:19:58.40,349.99333,-5.1656139,11.140,11.539,12.077,12.443,12.821,11.130,11.561,12.089,12.439,12.820,Primary,O,V2.SPSS023.ascii,2633603478379307904,Constant
WD2329+407,23:31:35.65,352.89854,41.025194,13.948,13.739,14.056,14.345,14.657,13.945,13.744,14.067,14.341,14.655,Secondary,DA3,V2.SPSS214.ascii,1923682286712356992,
WD2331-475,23:34:02.20,353.50917,-47.240694,12.730,13.140,13.680,14.039,14.345,12.719,13.161,13.693,14.035,14.344,Secondary,DA1,V2.SPSS215.ascii,6528109879126984960,
WD2352+401,23:54:56.25,358.73438,40.458361,15.260,14.992,14.917,14.977,15.137,15.271,14.987,14.917,14.975,15.136,Secondary,DQ6,V2.SPSS281.ascii,1921351390779081600,Constant
