Name,RA_h,RA,DEC,ucam_cb_us,ucam_cb_gs,ucam_cb_rs,ucam_cb_is,ucam_cb_zs,ucam_cb_u,ucam_cb_g,ucam_cb_r,ucam_cb_i,ucam_cb_z,Type,SpecType,fname,Gaia_DR3_ID,Variability
WD0004+330,00:07:32.26,1.8844167,33.291,13.125,13.523,14.042,14.424,14.781,13.113,13.543,14.055,14.419,14.779,Secondary,DA1,V2.SPSS156.ascii,2874319284171715968,
WD0018-267,00:21:30.73,5.3780417,-26.436517,15.302,14.094,13.610,13.433,13.385,15.319,14.066,13.603,13.433,13.385,Secondary,DA9,V2.SPSS158.ascii,2323394345824851584,
WD0038+555,00:41:21.99,10.341625,55.835667,14.019,13.980,14.113,14.280,14.471,14.021,13.982,14.118,14.277,14.470,Secondary,DQ5,V2.SPSS217.ascii,418491412783587200,Constant
LTT377,00:41:30.47,10.376958,-33.625564,13.889,11.296,9.948,9.283,9.062,13.928,11.221,9.926,9.285,9.062,Secondary,K9,V2.SPSS350.ascii,5006921282807193856,Constant
WD0046+051,00:49:09.90,12.29125,5.3886139,13.574,12.567,12.298,12.268,12.407,13.573,12.547,12.296,12.266,12.407,Secondary,DZ7,V2.SPSS101.ascii,2552928187080872832,Constant
WD0047-524,00:50:03.68,12.515333,-52.137667,14.171,14.054,14.439,14.738,15.069,14.170,14.063,14.450,14.734,15.069,Secondary,DA2,V2.SPSS218.ascii,4922382445088509312,
WD0050-332,00:53:17.44,13.322667,-32.999056,12.742,13.086,13.607,13.932,14.222,12.733,13.105,13.619,13.928,14.221,Secondary,DA1,V2.SPSS159.ascii,5006486048001153792,
WD0109-264,01:12:11.65,18.048542,-26.224358,12.691,12.875,13.372,13.722,14.058,12.689,12.894,13.384,13.717,14.056,Secondary,DA1,V2.SPSS161.ascii,5033887183435272064,
WD0123-262,01:25:24.45,21.351875,-26.012194,15.580,15.149,15.006,15.013,15.145,15.597,15.138,15.005,15.009,15.146,Secondary,DC,V2.SPSS220.ascii,5037084872486444928,Constant
G245-31,01:38:39.39,24.664125,69.63375,15.953,14.860,14.228,13.985,13.865,15.978,14.826,14.219,13.987,13.866,Secondary,K,V2.SPSS221.ascii,532196686212705536,Constant
GJ70,01:43:20.18,25.834083,4.3216583,14.173,11.834,10.416,9.297,8.761,14.278,11.751,10.386,9.303,8.761,Secondary,M2,V2.SPSS327.ascii,2560771312759450496,Constant
LTT1020,01:54:50.27,28.709458,-27.476594,12.614,11.745,11.353,11.227,11.216,12.641,11.722,11.348,11.226,11.216,Primary,G,V2.SPSS039.ascii,5024640977840398848,Constant
LP885-23,02:07:06.33,31.776375,-30.406361,17.620,14.914,13.515,12.152,11.516,17.676,14.839,13.480,12.159,11.515,Secondary,M0,V2.SPSS352.ascii,5020116556211470848,Constant
EG21,03:10:31.02,47.62925,-68.600942,11.467,11.254,11.578,11.851,12.179,11.466,11.257,11.590,11.847,12.179,Primary,DA3,V2.SPSS005.ascii,4646535078125821568,Constant
HG7-15,03:48:11.86,57.049417,7.1462417,14.134,11.528,10.250,9.716,9.409,14.162,11.456,10.231,9.719,9.409,Secondary,M1,V2.SPSS328.ascii,3277270538903180160,Constant
LTT1788,03:48:22.67,57.094458,-39.143667,14.098,13.334,13.018,12.909,12.908,14.129,13.316,13.013,12.908,12.908,Primary,F,V2.SPSS040.ascii,4855735169813450624,Constant
