site,from_date,to_date,data_family
Akitio at Cadmus Bridge,,,atmospheric_pressure
Lake Horowhenua at Buoy,,,atmospheric_pressure
Lake Horowhenua at Weir,,,atmospheric_pressure
Lake Koitiata,,,atmospheric_pressure
Manawatu at Foxton,,,atmospheric_pressure
Manawatu at Hopelands,,,atmospheric_pressure
Manawatu at Teachers College,,,atmospheric_pressure
Manawatu at Victoria Ave,,,atmospheric_pressure
Manawatu at Weber Road,,,atmospheric_pressure
Mangatainoka at Pahiatua Town Bridge,,,atmospheric_pressure
Oroua at Almadale Slackline,,,atmospheric_pressure
Owahanga at Owahanga Station,,,atmospheric_pressure
Rangitikei at Mangaweka,,,atmospheric_pressure
Rangitikei at McKelvies,,,atmospheric_pressure
Waikawa at ds Manakau Confluence,,,atmospheric_pressure
Wainui at Herbertville Road Br,,,atmospheric_pressure
Whanganui at Te Rewa,,,atmospheric_pressure
Whanganui at Town Bridge,,,atmospheric_pressure
