site,from_date,to_date,data_family,depths
Lake Horowhenua at Buoy,,,water_temperature,500;1000;1500;2000
Lake Koitiata,,,water_temperature,500;2000
Lake William,,,water_temperature,500;1000;1500;2000;2500;3000;3500;4000;4500;5000;5500;6000;6500;7000;7500;8000;8500;9000;9500;10000
Lake Wiritoa,,,water_temperature,500
