site,from_date,to_date,data_family,standard_measurement_name
Hautapu at Mounganui Station,,,soil_temperature,Soil Temperature [Soil Temperature]
Kumeti at Rua Roa,,,soil_temperature,Soil Temperature [Soil Temperature]
Makakahi at Hamua,,,soil_temperature,Soil Temperature [Soil Temperature]
Makino at Cheltenham,,,soil_temperature,Soil Temperature [Soil Temperature]
Makino at Halcombe Road,,,soil_temperature,Soil Temperature [Soil Temperature]
Makino at Reids Line,,,soil_temperature,SM TS [SM TS]
Manawatu at Apiti Track,,,soil_temperature,Soil Temperature [Soil Temperature]
Manawatu at Weber Road,,,soil_temperature,SM TS [SM TS]
Mangahao at Ballance,,,soil_temperature,Soil Temperature [Soil Temperature]
Mangaone at Milson Line,,,soil_temperature,SM TS [SM TS]
Mangaone at Valley Road,,,soil_temperature,Soil Temperature [Soil Temperature]
Mangapapa at Troup Road,,,soil_temperature,SM TS [SM TS]
Matarawa at Matarawa Valley,,,soil_temperature,SM TS [SM TS]
Ohura at Ohura River Road,,,soil_temperature,Soil Temperature [Soil Temperature]
Owahanga at Owahanga Station,,,soil_temperature,SM TS [SM TS]
Raparapawai at Jacksons Road,,,soil_temperature,SM TS [SM TS]
