site,from_date,to_date,data_family,depths
Lake Horowhenua at Buoy,,,dissolved_oxygen,500;2000
Lake Koitiata,,,dissolved_oxygen,500;2000
Lake William,,,dissolved_oxygen,500
Lake Wiritoa,,,dissolved_oxygen,500
