fips,place name,gid,name_1,name_2
1001,Autauga County,USA.1.1_1,Alabama,Autauga
1003,Baldwin County,USA.1.2_1,Alabama,Baldwin
1005,Barbour County,USA.1.3_1,Alabama,Barbour
1007,Bibb County,USA.1.4_1,Alabama,Bibb
1009,Blount County,USA.1.5_1,Alabama,Blount
1011,Bullock County,USA.1.6_1,Alabama,Bullock
1013,Butler County,USA.1.7_1,Alabama,Butler
1015,Calhoun County,USA.1.8_1,Alabama,Calhoun
1017,Chambers County,USA.1.9_1,Alabama,Chambers
1019,Cherokee County,USA.1.10_1,Alabama,Cherokee
1021,Chilton County,USA.1.11_1,Alabama,Chilton
1023,Choctaw County,USA.1.12_1,Alabama,Choctaw
1025,Clarke County,USA.1.13_1,Alabama,Clarke
1027,Clay County,USA.1.14_1,Alabama,Clay
1029,Cleburne County,USA.1.15_1,Alabama,Cleburne
1031,Coffee County,USA.1.16_1,Alabama,Coffee
1033,Colbert County,USA.1.17_1,Alabama,Colbert
1035,Conecuh County,USA.1.18_1,Alabama,Conecuh
1037,Coosa County,USA.1.19_1,Alabama,Coosa
1039,Covington County,USA.1.20_1,Alabama,Covington
1041,Crenshaw County,USA.1.21_1,Alabama,Crenshaw
1043,Cullman County,USA.1.22_1,Alabama,Cullman
1045,Dale County,USA.1.23_1,Alabama,Dale
1047,Dallas County,USA.1.24_1,Alabama,Dallas
1049,DeKalb County,USA.1.25_1,Alabama,De Kalb
1051,Elmore County,USA.1.26_1,Alabama,Elmore
1053,Escambia County,USA.1.27_1,Alabama,Escambia
1055,Etowah County,USA.1.28_1,Alabama,Etowah
1057,Fayette County,USA.1.29_1,Alabama,Fayette
1059,Franklin County,USA.1.30_1,Alabama,Franklin
1061,Geneva County,USA.1.31_1,Alabama,Geneva
1063,Greene County,USA.1.32_1,Alabama,Greene
1065,Hale County,USA.1.33_1,Alabama,Hale
1067,Henry County,USA.1.34_1,Alabama,Henry
1069,Houston County,USA.1.35_1,Alabama,Houston
1071,Jackson County,USA.1.36_1,Alabama,Jackson
1073,Jefferson County,USA.1.37_1,Alabama,Jefferson
1075,Lamar County,USA.1.38_1,Alabama,Lamar
1077,Lauderdale County,USA.1.39_1,Alabama,Lauderdale
1079,Lawrence County,USA.1.40_1,Alabama,Lawrence
1081,Lee County,USA.1.41_1,Alabama,Lee
1083,Limestone County,USA.1.42_1,Alabama,Limestone
1085,Lowndes County,USA.1.43_1,Alabama,Lowndes
1087,Macon County,USA.1.44_1,Alabama,Macon
1089,Madison County,USA.1.45_1,Alabama,Madison
1091,Marengo County,USA.1.46_1,Alabama,Marengo
1093,Marion County,USA.1.47_1,Alabama,Marion
1095,Marshall County,USA.1.48_1,Alabama,Marshall
1097,Mobile County,USA.1.49_1,Alabama,Mobile
1099,Monroe County,USA.1.50_1,Alabama,Monroe
1101,Montgomery County,USA.1.51_1,Alabama,Montgomery
1103,Morgan County,USA.1.52_1,Alabama,Morgan
1105,Perry County,USA.1.53_1,Alabama,Perry
1107,Pickens County,USA.1.54_1,Alabama,Pickens
1109,Pike County,USA.1.55_1,Alabama,Pike
1111,Randolph County,USA.1.56_1,Alabama,Randolph
1113,Russell County,USA.1.57_1,Alabama,Russell
1115,St. Clair County,USA.1.58_1,Alabama,Saint Clair
1117,Shelby County,USA.1.59_1,Alabama,Shelby
1119,Sumter County,USA.1.60_1,Alabama,Sumter
1121,Talladega County,USA.1.61_1,Alabama,Talladega
1123,Tallapoosa County,USA.1.62_1,Alabama,Tallapoosa
1125,Tuscaloosa County,USA.1.63_1,Alabama,Tuscaloosa
1127,Walker County,USA.1.64_1,Alabama,Walker
1129,Washington County,USA.1.65_1,Alabama,Washington
1131,Wilcox County,USA.1.66_1,Alabama,Wilcox
1133,Winston County,USA.1.67_1,Alabama,Winston
2013,Aleutians East Borough,USA.2.1_1,Alaska,Aleutians East
2016,Aleutians West Census Area,USA.2.2_1,Alaska,Aleutians West
2020,Anchorage Borough,USA.2.3_1,Alaska,Anchorage
2050,Bethel Census Area,USA.2.4_1,Alaska,Bethel
2060,Bristol Bay Borough,USA.2.5_1,Alaska,Bristol Bay
2068,Denali Borough (created after 1990),USA.2.6_1,Alaska,Denali
2070,Dillingham Census Area,USA.2.7_1,Alaska,Dillingham
2090,Fairbanks North Star Borough,USA.2.8_1,Alaska,Fairbanks North Star
2100,Haines Borough,USA.2.9_1,Alaska,Haines
2110,Juneau Borough,USA.2.10_1,Alaska,Juneau
2122,Kenai Peninsula Borough,USA.2.11_1,Alaska,Kenai Peninsula
2130,Ketchikan Gateway Borough,USA.2.12_1,Alaska,Ketchikan Gateway
2150,Kodiak Island Borough,USA.2.13_1,Alaska,Kodiak Island
2164,Lake and Peninsula Borough,USA.2.14_1,Alaska,Lake and Peninsula
2170,Matanuska-Susitna Borough,USA.2.15_1,Alaska,Matanuska-Susitna
2180,Nome Census Area,USA.2.16_1,Alaska,Nome
2185,North Slope Borough,USA.2.17_1,Alaska,North Slope
2188,Northwest Arctic Borough,USA.2.18_1,Alaska,Northwest Arctic
2201,Prince of Wales-Outer Ketchikan Census Area,USA.2.19_1,Alaska,Prince of Wales-Outer Ketchi
2220,Sitka Borough,USA.2.20_1,Alaska,Sitka
2231,Skagway-Yakutat-Angoon Census Area (1990 Census Area),USA.2.21_1,Alaska,Skagway-Yakutat-Angoon
2232,Skagway-Hoonah-Angoon Census Area (created after 1990),,,
2240,Southeast Fairbanks Census Area,USA.2.22_1,Alaska,Southeast Fairbanks
2261,Valdez-Cordova Census Area,USA.2.23_1,Alaska,Valdez-Cordova
2270,Wade Hampton Census Area,USA.2.24_1,Alaska,Wade Hampton
2280,Wrangell-Petersburg Census Area,USA.2.25_1,Alaska,Wrangell-Petersburg
2282,Yakutat Borough (created after 1990),,,
2290,Yukon-Koyukuk Census Area,USA.2.26_1,Alaska,Yukon-Koyukuk
4001,Apache County,USA.3.1_1,Arizona,Apache
4003,Cochise County,USA.3.2_1,Arizona,Cochise
4005,Coconino County,USA.3.3_1,Arizona,Coconino
4007,Gila County,USA.3.4_1,Arizona,Gila
4009,Graham County,USA.3.5_1,Arizona,Graham
4011,Greenlee County,USA.3.6_1,Arizona,Greenlee
4012,La Paz County,USA.3.7_1,Arizona,La Paz
4013,Maricopa County,USA.3.8_1,Arizona,Maricopa
4015,Mohave County,USA.3.9_1,Arizona,Mohave
4017,Navajo County,USA.3.10_1,Arizona,Navajo
4019,Pima County,USA.3.11_1,Arizona,Pima
4021,Pinal County,USA.3.12_1,Arizona,Pinal
4023,Santa Cruz County,USA.3.13_1,Arizona,Santa Cruz
4025,Yavapai County,USA.3.14_1,Arizona,Yavapai
4027,Yuma County,USA.3.15_1,Arizona,Yuma
5001,Arkansas County,USA.4.1_1,Arkansas,Arkansas
5003,Ashley County,USA.4.2_1,Arkansas,Ashley
5005,Baxter County,USA.4.3_1,Arkansas,Baxter
5007,Benton County,USA.4.4_1,Arkansas,Benton
5009,Boone County,USA.4.5_1,Arkansas,Boone
5011,Bradley County,USA.4.6_1,Arkansas,Bradley
5013,Calhoun County,USA.4.7_1,Arkansas,Calhoun
5015,Carroll County,USA.4.8_1,Arkansas,Carroll
5017,Chicot County,USA.4.9_1,Arkansas,Chicot
5019,Clark County,USA.4.10_1,Arkansas,Clark
5021,Clay County,USA.4.11_1,Arkansas,Clay
5023,Cleburne County,USA.4.12_1,Arkansas,Cleburne
5025,Cleveland County,USA.4.13_1,Arkansas,Cleveland
5027,Columbia County,USA.4.14_1,Arkansas,Columbia
5029,Conway County,USA.4.15_1,Arkansas,Conway
5031,Craighead County,USA.4.16_1,Arkansas,Craighead
5033,Crawford County,USA.4.17_1,Arkansas,Crawford
5035,Crittenden County,USA.4.18_1,Arkansas,Crittenden
5037,Cross County,USA.4.19_1,Arkansas,Cross
5039,Dallas County,USA.4.20_1,Arkansas,Dallas
5041,Desha County,USA.4.21_1,Arkansas,Desha
5043,Drew County,USA.4.22_1,Arkansas,Drew
5045,Faulkner County,USA.4.23_1,Arkansas,Faulkner
5047,Franklin County,USA.4.24_1,Arkansas,Franklin
5049,Fulton County,USA.4.25_1,Arkansas,Fulton
5051,Garland County,USA.4.26_1,Arkansas,Garland
5053,Grant County,USA.4.27_1,Arkansas,Grant
5055,Greene County,USA.4.28_1,Arkansas,Greene
5057,Hempstead County,USA.4.29_1,Arkansas,Hempstead
5059,Hot Spring County,USA.4.30_1,Arkansas,Hot Spring
5061,Howard County,USA.4.31_1,Arkansas,Howard
5063,Independence County,USA.4.32_1,Arkansas,Independence
5065,Izard County,USA.4.33_1,Arkansas,Izard
5067,Jackson County,USA.4.34_1,Arkansas,Jackson
5069,Jefferson County,USA.4.35_1,Arkansas,Jefferson
5071,Johnson County,USA.4.36_1,Arkansas,Johnson
5073,Lafayette County,USA.4.37_1,Arkansas,Lafayette
5075,Lawrence County,USA.4.38_1,Arkansas,Lawrence
5077,Lee County,USA.4.39_1,Arkansas,Lee
5079,Lincoln County,USA.4.40_1,Arkansas,Lincoln
5081,Little River County,USA.4.41_1,Arkansas,Little River
5083,Logan County,USA.4.42_1,Arkansas,Logan
5085,Lonoke County,USA.4.43_1,Arkansas,Lonoke
5087,Madison County,USA.4.44_1,Arkansas,Madison
5089,Marion County,USA.4.45_1,Arkansas,Marion
5091,Miller County,USA.4.46_1,Arkansas,Miller
5093,Mississippi County,USA.4.47_1,Arkansas,Mississippi
5095,Monroe County,USA.4.48_1,Arkansas,Monroe
5097,Montgomery County,USA.4.49_1,Arkansas,Montgomery
5099,Nevada County,USA.4.50_1,Arkansas,Nevada
5101,Newton County,USA.4.51_1,Arkansas,Newton
5103,Ouachita County,USA.4.52_1,Arkansas,Ouachita
5105,Perry County,USA.4.53_1,Arkansas,Perry
5107,Phillips County,USA.4.54_1,Arkansas,Phillips
5109,Pike County,USA.4.55_1,Arkansas,Pike
5111,Poinsett County,USA.4.56_1,Arkansas,Poinsett
5113,Polk County,USA.4.57_1,Arkansas,Polk
5115,Pope County,USA.4.58_1,Arkansas,Pope
5117,Prairie County,USA.4.59_1,Arkansas,Prairie
5119,Pulaski County,USA.4.60_1,Arkansas,Pulaski
5121,Randolph County,USA.4.61_1,Arkansas,Randolph
5123,St. Francis County,USA.4.62_1,Arkansas,Saint Francis
5125,Saline County,USA.4.63_1,Arkansas,Saline
5127,Scott County,USA.4.64_1,Arkansas,Scott
5129,Searcy County,USA.4.65_1,Arkansas,Searcy
5131,Sebastian County,USA.4.66_1,Arkansas,Sebastian
5133,Sevier County,USA.4.67_1,Arkansas,Sevier
5135,Sharp County,USA.4.68_1,Arkansas,Sharp
5137,Stone County,USA.4.69_1,Arkansas,Stone
5139,Union County,USA.4.70_1,Arkansas,Union
5141,Van Buren County,USA.4.71_1,Arkansas,Van Buren
