# D'Souza+ (2015) Figure 7 extracted
# log10(M_star/h^2), log10(Phi*h^3 / Mpc^3 / log10(Mstar)), y_err
11.95, -7.113, 0.46
11.85, -6.296, 0.21
11.75, -5.642, 0.35
11.65, -5.108, 0.25
11.55, -4.648, 0.05
11.45, -4.223, 0.04
11.35, -3.818, 0.04
11.25, -3.444, 0.04
11.15, -3.115, 0.04
11.05, -2.838, 0.04
10.95, -2.608, 0.04
10.85, -2.418, 0.04
10.75, -2.267, 0.04
10.65, -2.142, 0.04
10.55, -2.041, 0.030
10.45, -1.959, 0.035
10.35, -1.891, 0.052
10.25, -1.836, 0.031
10.15, -1.790, 0.047
10.05, -1.752, 0.045
9.95, -1.720, 0.041
9.85, -1.693, 0.040
9.75, -1.670, 0.037
9.65, -1.649, 0.043
9.55, -1.631, 0.041
# actual:
# log10(mass/h**2) log(psi) error_down_log(psi) error_up_log(psi)
# 9.55 -1.63148509833 0.0431907761002 0.0392813040381
# 9.65 -1.64932243771 0.0455499932489 0.0412228408603
# 9.75 -1.66959248437 0.0379729504245 0.0349180670497
# 9.85 -1.69292334046 0.0427273282263 0.0388976388661
# 9.95 -1.72010415371 0.0436196079777 0.0396356466644
# 10.05 -1.75212573449 0.0470145922178 0.0424185232088
# 10.15 -1.79023092957 0.0501481541262 0.0449523201675
# 10.25 -1.83597670176 0.0325523604809 0.0302816252768
# 10.35 -1.89130988165 0.0563554311825 0.0498753996667
# 10.45 -1.95865811305 0.037038009587 0.0341260096875
# 10.55 -2.04103598213 0.0347093565089 0.0321394641997
# 10.65 -2.14216230778 0.0315334261806 0.0293980094296
# 10.75 -2.26657491454 0.0408557451771 0.0373406032428
# 10.85 -2.41970667765 0.032961119894 0.0306350140198
# 10.95 -2.60783491435 0.0319477238278 0.0297577538066
# 11.05 -2.83770142269 0.0318537057184 0.0296761719027
# 11.15 -3.11537295225 0.0311506743458 0.0290650865163
# 11.25 -3.44362663086 0.0333698418399 0.0309877510857
# 11.35 -3.81765194955 0.0324270136781 0.0301731336567
# 11.45 -4.22319263954 0.0384139442509 0.0352905743146
# 11.55 -4.64863995621 0.0467000807813 0.0421623765714
# 11.65 -5.10813254693 0.322162284836 0.182912866458
# 11.75 -5.64203762462 0.479533072762 0.222329510121
# 11.85 -6.29600661761 0.264548169838 0.163216311257
# 11.95 -7.11267861807 0.464904873237 0.464904873237
