Morphology,N_Atoms,Element,CN,Adsorbate,BoundMetal,PBE_BE_eV,CE_Local_eV,ChemPot_eV,MADS_eV
Cube,172,Ag,3,CH3,Ag,-1.394009943,-2.378249343,-4.9615,-2.103301805
Cube,172,Ag,5,CH3,Ag,-1.108634783,-3.354382602,-4.9615,-2.103301805
Cube,172,Ag,8_1,CH3,Ag,-0.946148367,-4.811100981,-4.9615,-2.103301805
Cube,172,Ag,8_2,CH3,Ag,-0.744213762,-4.596330704,-4.9615,-2.103301805
Cube,172,Ag,8_3,CH3,Ag,-0.798119194,-4.596330704,-4.9615,-2.103301805
Cube,172,Ag,8_4,CH3,Ag,-0.889256184,-5.056934314,-4.9615,-2.103301805
Cuboctahedron,55,Ag,5,CH3,Ag,-0.974708282,-3.437535698,-4.9615,-2.103301805
Cuboctahedron,55,Ag,7,CH3,Ag,-1.088733433,-4.451278999,-4.9615,-2.103301805
Cuboctahedron,55,Ag,8,CH3,Ag,-0.739810138,-4.679483799,-4.9615,-2.103301805
Cuboctahedron,147,Ag,5,CH3,Ag,-1.252313978,-3.437535698,-4.9615,-2.103301805
Cuboctahedron,147,Ag,7,CH3,Ag,-1.177532342,-4.354299518,-4.9615,-2.103301805
Cuboctahedron,147,Ag,8,CH3,Ag,-0.898193477,-4.637907252,-4.9615,-2.103301805
Cuboctahedron,147,Ag,9,CH3,Ag,-1.085546367,-5.22350327,-4.9615,-2.103301805
Icosahedron,55,Ag,6,CH3,Ag,-0.798014331,-3.837213909,-4.9615,-2.103301805
Icosahedron,55,Ag,8,CH3,Ag,-1.030627238,-4.799985705,-4.9615,-2.103301805
Icosahedron,147,Ag,6,CH3,Ag,-1.230441932,-3.837213909,-4.9615,-2.103301805
Icosahedron,147,Ag,8,CH3,Ag,-1.009965789,-4.718969522,-4.9615,-2.103301805
Icosahedron,147,Ag,9,CH3,Ag,-0.803938328,-5.098773626,-4.9615,-2.103301805
Cube,172,Ag,3,CO,Ag,-0.76528839,-2.378249343,-7.67014,-0.401089658
Cube,172,Ag,5,CO,Ag,-0.67587348,-3.354382602,-7.67014,-0.401089658
Cube,172,Ag,8_1,CO,Ag,-0.573750615,-4.811100981,-7.67014,-0.401089658
Cube,172,Ag,8_2,CO,Ag,-0.397878831,-4.596330704,-7.67014,-0.401089658
Cube,172,Ag,8_3,CO,Ag,-0.517195905,-4.596330704,-7.67014,-0.401089658
Cube,172,Ag,8_4,CO,Ag,-0.606029561,-5.056934314,-7.67014,-0.401089658
Cuboctahedron,55,Ag,5,CO,Ag,-0.729092903,-3.437535698,-7.67014,-0.401089658
