# Mowla+ 19 (https://arxiv.org/abs/1808.04379) Fig 9 upper left (z = 0.1-0.5)
# quiescent galaxies only
# M_star [log msun], R_e [kpc]
11.31, 3.02
11.30, 3.91
11.32, 3.77
11.36, 3.67
11.46, 3.12
11.30, 4.42
11.32, 4.33
11.32, 4.68
11.31, 5.05
11.30, 5.33
11.34, 4.33
11.34, 4.54
11.34, 4.78
11.34, 4.97
11.38, 4.46
11.38, 4.75
11.40, 4.17
11.41, 4.46
11.52, 4.88
11.53, 5.94
11.55, 5.26
11.56, 6.25
11.57, 6.29
11.60, 5.97
11.62, 7.56
11.61, 8.58
11.59, 8.41
11.59, 9.24
11.70, 7.93
11.70, 10.01
11.89, 11.96
11.88, 11.68
12.00, 16.97
11.75, 13.31
11.70, 15.28
11.66, 18.21
11.62, 15.60
11.63, 19.86
11.59, 12.75
11.58, 12.32
11.58, 11.47
11.56, 10.89
11.56, 11.37
11.52, 10.96
11.52, 8.58
11.52, 7.63
11.52, 7.35
11.50, 8.10
11.50, 7.24
11.49, 7.14
11.47, 7.61
11.45, 7.12
11.45, 6.90
11.44, 6.24
11.47, 8.86
11.47, 9.82
11.47, 10.65
11.48, 11.57
11.47, 12.73
11.48, 13.29
11.49, 14.86
11.49, 11.44
11.50, 10.83
11.51, 10.31
11.49, 9.66
11.55, 13.36
11.55, 15.20
11.58, 17.40
11.59, 25.14
11.53, 21.16
11.48, 18.55
11.49, 21.78
11.45, 10.50
11.45, 8.91
11.43, 8.25
11.44, 10.87
11.45, 13.02
11.44, 14.91
11.43, 14.24
11.41, 14.57
11.41, 12.16
11.40, 14.91
11.41, 18.71
11.41, 21.73
11.41, 33.74
11.36, 24.31
11.36, 21.12
11.38, 21.00
11.39, 18.13
11.38, 16.12
11.36, 15.98
11.35, 16.07
11.36, 14.08
11.36, 13.22
11.37, 12.81
11.38, 11.75
11.38, 11.09
11.40, 10.84
11.42, 8.76
11.41, 8.89
11.39, 9.15
11.38, 9.15
11.36, 10.38
11.35, 12.66
11.34, 11.06
11.32, 10.94
11.31, 10.03
11.41, 10.03
11.41, 9.63
11.43, 9.41
11.43, 9.91
11.43, 8.94
11.43, 6.37
11.42, 6.55
11.42, 6.08
11.40, 5.71
11.41, 5.51
11.42, 5.42
11.39, 6.63
11.40, 6.70
11.38, 7.10
11.38, 6.71
11.37, 6.29
11.37, 6.15
11.36, 6.28
11.37, 5.56
11.37, 5.68
11.35, 6.33
11.36, 6.69
11.36, 7.00
11.37, 7.57
11.36, 7.81
11.37, 8.06
11.36, 8.37
11.35, 7.79
11.35, 7.06
11.34, 6.88
11.33, 7.02
11.33, 7.46
11.32, 7.27
11.32, 6.57
11.32, 6.05
11.31, 6.14
11.30, 6.75
