# Genzel+ (2014) - Table 4
# Source, z, M* [log msun], Delta_SFMS [linear], SFR (nuclear) [msun/yr], R_HWMW [kpc], Fbroad/FnarrowHa, L_Ha [erg/s]
# vout [km/s], n_e(broad) [1/cm^3], M_broad(HII+He) [Msun], Mdot_out [msun/yr], etaM (ionized) [linear], 
# dPdt_out/rad [lin], dEdt_out/L [lin]
Q1623-BX663 2.43 10.81 0.664 30  1.3 1.1  6.9E+42 1300 80 2.8E+08 288  3.1  62  1.3E-01
U3–25105    2.29 10.85 0.826 32  1.3 0.7  4.6E+42 214  80 1.9E+08 32   0.3  1   3.8E-04
ZC-400528   2.39 11.04 1.768 120 1.3 0.79 2.0E+43 802  80 8.1E+08 513  1.7  17  2.3E-02
D3a-6397    1.50 11.08 5.052 73  1.3 0.6  9.2E+42 520  80 3.7E+08 153  0.3  5   4.7E-03
ZC-400569   2.24 11.08 1.213 92  1.3 0.3  5.8E+42 350  80 2.4E+08 65   0.3  1   7.2E-04
GS3_19791   2.22 11.31 1.649 148 1.3 3.3  1.0E+44 530  80 4.2E+09 1743 5.3  31  2.7E-02
D3a-6004    2.39 11.50 1.446 44  1.3 2.9  2.7E+43 420  80 1.1E+09 365  1.0  17  1.2E-02
J0901+1814  2.26 11.49 2.489 200 1.3 1.1  4.6E+43 323  80 1.9E+09 481  0.8  4   2.1E-03
COS4–13174  2.10 11.03 1.469 90  1.3 0.6  1.1E+43 350  80 4.6E+08 127  0.6  2   1.4E-03
COS4–6963   2.30 10.96 0.059 6.3 1.3 3    4.0E+42 480  80 1.6E+08 61   6.8  23  1.8E-02
GS3–22005   0.95 10.93 0.410 2.1 1.3 0.8  3.6E+41 700  80 1.5E+07 8    0.6  13  1.5E-02
U3–12280    1.03 10.98 0.516 5.7 1.3 1    1.2E+42 350  80 4.8E+07 13   0.6  4   2.4E-03
Q2343-BX610 2.21 11.00 0.548 13  1.3 0.2  5.6E+41 500  80 2.3E+07 9    0.1  2   1.4E-03
D3a-15504   2.38 11.04 0.949 24  1.3 0.7  3.5E+42 475  80 1.4E+08 54   0.3  5   4.2E-03
COS3–644    0.88 11.17 0.484 6.6 1.3 1    1.4E+42 300  80 5.6E+07 13   0.6  3   1.5E-03
U3–23710    2.53 11.03 0.309 18  1.3 1.5  5.8E+42 1300 80 2.4E+08 243  4.5  85  1.8E-01
GS3–28008   2.29 11.36 0.493 108 1.3 1    2.3E+43 300  80 9.2E+08 219  2.0  3   1.5E-03
1030–2026   2.51 11.25 0.033 7.1 1.3 10   1.5E+43 1300 80 6.0E+08 620  87.8 564 1.2E+00
COS43206    2.10 11.40 0.525 44  1.3 1.3  1.2E+43 300  80 4.9E+08 116  1.1  4   2.0E-03
COS4–11363  2.10 11.28 0.447 42  1.3 2    1.7E+43 1240 80 7.1E+08 695  8.4  103 2.1E-01
