Parent Type;Property;codemeta-3.0;codemeta-1.0;codemeta-2.0;Type;Description;Zenodo;ZenodoContributorType;OSSR Requirement Level;Help
schema:CreativeWork;publisher;publisher;publisher;publisher;Organization or Person;The publisher of the creative work.;contributors;Other;;
schema:CreativeWork;sponsor;sponsor;;sponsor;Organization or Person;A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.;contributors;Sponsor;;
schema:CreativeWork;version;version;version;version;Number or Text;The version of the CreativeWork embodied by a specified resource.;version;;;
schema:CreativeWork;isAccessibleForFree;isAccessibleForFree;;isAccessibleForFree;Boolean;A flag to signal that the publication is accessible for free.;;;;
schema:CreativeWork;isPartOf;isPartOf;;isPartOf;CreativeWork;Indicates a CreativeWork that this CreativeWork is (in some sense) part of. Reverse property hasPart;;;;
schema:CreativeWork;hasPart;hasPart;;hasPart;CreativeWork;Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Reverse property isPartOf;;;;
schema:CreativeWork;position;position;;position;Integer or Text;The position of an item in a series or sequence of items. (While schema.org considers this a property of CreativeWork, it is also the way to indicate ordering in any list (e.g. the Authors list).  By default arrays are unordered in JSON-LD;;;;
schema:Thing;description;description;description;description;Text;A description of the item.;description;;required;Description of the software. This should be a few paragraphs that will appear in full on the landing page for the software in the OSSR and wich will be shown (possibly truncated) in search results. Either plain text or HTML.
schema:Thing;identifier;identifier;identifier;identifier;PropertyValue or URL;The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.;;;recommended;The DOI assigned by Zenodo.
schema:Thing;name;name;name;name;Text;The name of the item (software, Organization);title;;required;
schema:Thing;sameAs;sameAs;;sameAs;URL;URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.;;;;
schema:Thing;url;url;URL;url;URL;URL of the item.;;;;
schema:Thing;relatedLink;relatedLink;;relatedLink;URL;A link related to this object, e.g. related web pages;;;;
schema:Person;givenName;givenName;;givenName;Text;Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property;;;;
schema:Person;familyName;familyName;;familyName;Text;Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.;;;;
schema:Person;email;email;email;email;Text;Email address;;;;
schema:Person;affiliation;affiliation;affiliation;affiliation;Text;An organization that this person is affiliated with. For example, a school/university;affiliation;;;
schema:Person;identifier;identifier;identifier;identifier;URL;URL identifer, ideally an ORCID ID for individuals, a FundRef ID for funders;ORCID;;;
schema:Person;name;name;;name;Text;The name of an Organization, or if separate given and family names cannot be resolved for a Person;name;;;
schema:Person;address;address;;address;PostalAddress or Text;Physical address of the item.;;;;
schema;type;;;;Object Type (from context or URI);"The object type (e.g. ""Person"", ""Organization"", ""ScientificArticle"", ""SoftwareApplication"", etc).";;;;
schema;id;;;;URL;Primary identifier for an object. Must be a resolvable URL or a string used to refer to this node elsewhere in the same document;;;;
codemeta:SoftwareSourceCode;softwareSuggestions;softwareSuggestions;suggests;softwareSuggestions;SoftwareSourceCode;Optional dependencies , e.g. for optional features, code development, etc;;;;
codemeta:SoftwareSourceCode;maintainer;maintainer;uploadedBy;maintainer;Person;Individual responsible for maintaining the software (usually includes an email contact address);creators;;required;Maintainer of the software. Should include an email contact address.
codemeta:SoftwareSourceCode;contIntegration;continuousIntegration;contIntegration;contIntegration;URL;link to continuous integration service;;;;
codemeta:SoftwareSourceCode;buildInstructions;buildInstructions;buildInstructions;buildInstructions;URL;link to installation instructions/documentation;;;;
codemeta:SoftwareSourceCode;developmentStatus;developmentStatus;developmentStatus;developmentStatus;Text;Description of development status, e.g. Active, inactive, supsended. See repostatus.org;;;;
codemeta:SoftwareSourceCode;embargoDate;embargoEndDate;embargoDate;embargoDate;Date;Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication);;;;
codemeta:SoftwareSourceCode;funding;funding;funding;funding;Text;Funding source (e.g. specific grant);;;recommended;For EC-funded projects this should be the grant number. For other funding, more details are needed.
codemeta:SoftwareSourceCode;issueTracker;issueTracker;issueTracker;issueTracker;URL;link to software bug reporting or issue tracking system;;;recommended;Link to software bug reporting or issue tracking system.
codemeta:SoftwareSourceCode;referencePublication;referencePublication;relatedPublications;referencePublication;ScholarlyArticle;An academic publication related to the software.;;;;
codemeta:SoftwareSourceCode;readme;readme;readme;readme;URL;link to software Readme file or documentation;related_identifiers;;required;Link to software Readme file.
schema:CreativeWork;creator;creator;agents;creator;Organization or Person;Equivalent to author;creators;;;Equivalent to author.
schema:SoftwareSourceCode;;review;;;;;;;;
schema:Review;;reviewAspect;;;;;;;;
schema:Review;;reviewBody;;;;;;;;
schema:Role;;endDate;;endDate;;;;;;
schema:Role;;roleName;;roleName;;;;;;
schema:Role;;startDate;;startDate;;;;;;
