Parent Type;Property;codemeta-3.0;codemeta-1.0;codemeta-2.0;Type;Description;Zenodo;ZenodoContributorType;OSSR Requirement Level;Help
schema:SoftwareSourceCode;codeRepository;codeRepository;codeRepository;codeRepository;URL;Link to the repository where the un-compiled, human readable code and related code is located (SVN, github, CodePlex).;related_identifiers;;recommended;Link to source code repository (gitlab, github, etc.).
schema:SoftwareSourceCode;programmingLanguage;programmingLanguage;programmingLanguage;programmingLanguage;ComputerLanguage or Text;The computer programming language.;;;;
schema:SoftwareSourceCode;runtimePlatform;runtimePlatform;;runtimePlatform;Text;Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0). Supersedes runtime.;;;;
schema:SoftwareSourceCode;targetProduct;targetProduct;;targetProduct;SoftwareApplication;Target Operating System / Product to which the code applies. If applies to several versions, just the product name can be used.;;;;
schema:SoftwareApplication;applicationCategory;applicationCategory;;applicationCategory;Text or URL;Type of software application, e.g. 'Game, Multimedia'.;communities;;;If corresponds to an existing Zenodo Community, it will be converted as such in the Zenodo schema
schema:SoftwareApplication;applicationSubCategory;applicationSubCategory;;applicationSubCategory;Text or URL;Subcategory of the application, e.g. 'Arcade Game'.;;;;
schema:SoftwareApplication;downloadUrl;downloadUrl;downloadLink;downloadUrl;URL;If the file can be downloaded, URL to download the binary.;;;;
schema:SoftwareApplication;fileSize;fileSize;;fileSize;Text;Size of the application / package (e.g. 18MB). In the absence of a unit (MB, KB etc.), KB will be assumed.;;;;
schema:SoftwareApplication;installUrl;installUrl;;installUrl;URL;URL at which the app may be installed, if different from the URL of the item.;;;;
schema:SoftwareApplication;memoryRequirements;memoryRequirements;;memoryRequirements;Text or URL;Minimum memory requirements.;;;recommended;Estimate of the amount of memory needed to install and use the software.
schema:SoftwareApplication;operatingSystem;operatingSystem;operatingSystems;operatingSystem;Text;Operating systems supported (Windows 7, OSX 10.6, Android 1.6).;;;;
schema:SoftwareApplication;permissions;permissions;;permissions;Text;Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).;;;;
schema:SoftwareApplication;processorRequirements;processorRequirements;;processorRequirements;Text;Processor architecture required to run the application (e.g. IA64).;;;recommended;
schema:SoftwareApplication;releaseNotes;releaseNotes;;releaseNotes;Text or URL;Description of what changed in this version.;;;recommended;
schema:SoftwareApplication;softwareHelp;softwareHelp;;softwareHelp;CreativeWork;Software application help.;;;;
schema:SoftwareApplication;softwareRequirements;softwareRequirements;depends;softwareRequirements;SoftwareSourceCode;Required software dependencies;;;;
schema:SoftwareApplication;softwareVersion;softwareVersion;;softwareVersion;Text;Version of the software instance.;version;;required;Any string will be accepted, but semantically-versioned tag is recommended. See semver.org for more information on semantic versioning.
schema:SoftwareApplication;storageRequirements;storageRequirements;;storageRequirements;Text or URL;Storage requirements (free space required).;;;recommended;Estimate of the amount of storage required to install and use the software.
schema:SoftwareApplication;supportingData;supportingData;;supportingData;DataFeed;Supporting data for a SoftwareApplication.;;;;
schema:CreativeWork;author;author;agents;author;Organization or Person;The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.;creators;;required;Authors of the software. It is recommended to list the natural persons that are the (primary) authors of the software here. If the software was written on behalf of an organization that organization can be added in the provider attribute.
schema:CreativeWork;citation;citation;relatedLink;citation;CreativeWork or URL;A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.;references;;;
schema:CreativeWork;contributor;contributor;;contributor;Organization or Person;A secondary contributor to the CreativeWork or Event.;contributors;Other;;
schema:CreativeWork;copyrightHolder;copyrightHolder;agents [role=copyrightHolder];copyrightHolder;Organization or Person;The party holding the legal copyright to the CreativeWork.;contributors;RightsHolder;recommended;"The party holding the legal copyright of the software. To be provided if different from the authors listed in the author"" field."""
schema:CreativeWork;copyrightYear;copyrightYear;;copyrightYear;Number;The year during which the claimed copyright for the CreativeWork was first asserted.;;;;
schema:CreativeWork;dateCreated;dateCreated;dateCreated;dateCreated;Date or DateTime;The date on which the CreativeWork was created or the item was added to a DataFeed.;;;;
schema:CreativeWork;dateModified;dateModified;dateModified;dateModified;Date or DateTime;The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.;;;;
schema:CreativeWork;datePublished;datePublished;datePublished;datePublished;Date;Date of first broadcast/publication.;publication_date;;required;Release date of the software.
schema:CreativeWork;editor;editor;;editor;Person;Specifies the Person who edited the CreativeWork.;;;;
schema:CreativeWork;encoding;encoding;;encoding;MediaObject;A media object that encodes this CreativeWork. This property is a synonym for associatedMedia. Supersedes encodings.;;;;
schema:CreativeWork;fileFormat;fileFormat;;fileFormat;Text or URL;Media type, typically MIME format (see IANA site) of the content e.g. application/zip of a SoftwareApplication binary. In cases where a CreativeWork has several media type representations, 'encoding' can be used to indicate each MediaObject alongside particular fileFormat information. Unregistered or niche file formats can be indicated instead via the most appropriate URL, e.g. defining Web page or a Wikipedia entry.;;;;
schema:CreativeWork;funder;funder;fundingReference.funderName;funder;Organization or Person;A person or organization that supports (sponsors) something through some kind of financial contribution.;contributors;Sponsor;recommended;
schema:CreativeWork;keywords;keywords;controlledTerms;keywords;Text;Keywords or tags used to describe this content. Multiple entries in a keywords list are typically delimited by commas.;keywords;;recommended;For software provided as part of ESCAPE, indicate the relevant ESFRI by providing one or more keywords from the following list <list>. In addition it is recommended to add keywords from the Universal Astronomy Thesaurus (UAT, https://astrothesaurus.org/) that are relevant to the software.
schema:CreativeWork;license;license;licenseId;license;CreativeWork or URL;A license document that applies to this content, typically indicated by URL.;license;;required;License for this software, preferably as URL to SPDX (see https://spdx.org/licenses/).
schema:CreativeWork;producer;producer;;producer;Organization or Person;The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).;contributors;Producer;;
schema:CreativeWork;provider;provider;;provider;Organization or Person;"The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller. Supersedes carrier.";contributors;Distributor;;For official software provided by an ESFRI this can be used to indicate the organization that provides this software.
