gage_height_ft	SHIFT	discharge_cfs	STOR
16N	16N	16N	1S
0.30	0.09	2.30	
0.31	0.09	2.65	
0.32	0.09	3.01	
0.33	0.09	3.38	
0.34	0.09	3.76	
0.35	0.09	4.15	
0.36	0.09	4.56	
0.37	0.09	4.97	
0.38	0.09	5.39	
0.39	0.09	5.81	*
0.40	0.09	6.25	
0.41	0.09	6.69	
0.42	0.09	7.14	
0.43	0.09	7.60	
0.44	0.09	8.07	
0.45	0.09	8.54	
0.46	0.09	9.02	
0.47	0.09	9.51	
0.48	0.09	10.00	
0.49	0.09	10.65	
0.50	0.09	11.32	
0.51	0.09	12.00	
0.52	0.09	12.69	
0.53	0.09	13.40	
0.54	0.09	14.13	
0.55	0.09	14.87	
0.56	0.09	15.63	
0.57	0.09	16.41	*
0.58	0.09	17.20	
0.59	0.09	18.00	
0.60	0.09	18.87	*
0.61	0.09	19.75	
0.62	0.09	20.65	
0.63	0.09	21.57	
0.64	0.09	22.51	
0.65	0.09	23.47	
0.66	0.09	24.44	
0.67	0.09	25.44	
0.68	0.09	26.45	*
0.69	0.09	27.47	
0.70	0.09	28.52	
0.71	0.09	29.58	
0.72	0.09	30.66	
0.73	0.09	31.76	
0.74	0.09	32.87	
0.75	0.09	34.00	
0.76	0.09	35.22	
0.77	0.09	36.46	
0.78	0.09	37.72	
0.79	0.09	39.01	
0.80	0.09	40.31	
0.81	0.09	41.64	
0.82	0.09	42.98	
0.83	0.09	44.34	
0.84	0.09	45.73	*
0.85	0.09	47.14	
0.86	0.09	48.56	
0.87	0.09	50.01	
0.88	0.09	51.48	
0.89	0.09	52.96	
0.90	0.09	54.47	
0.91	0.09	56.00	
0.92	0.09	57.52	
0.93	0.09	59.06	
0.94	0.09	60.62	
0.95	0.09	62.19	
0.96	0.09	63.79	
0.97	0.09	65.41	
0.98	0.09	67.04	
0.99	0.09	68.69	
1.00	0.09	70.37	*
1.01	0.09	72.06	
1.02	0.09	73.77	
1.03	0.09	75.49	
1.04	0.09	77.24	
1.05	0.09	79.01	
1.06	0.09	80.79	
1.07	0.09	82.60	
1.08	0.09	84.42	
1.09	0.09	86.26	
1.10	0.09	88.12	
1.11	0.09	90.00	
1.12	0.09	91.92	
1.13	0.09	93.86	
1.14	0.09	95.81	
1.15	0.09	97.79	
1.16	0.09	99.78	
1.17	0.09	101.80	
1.18	0.09	103.83	
1.19	0.09	105.88	
1.20	0.09	107.96	*
1.21	0.09	110.05	
1.22	0.09	112.16	
1.23	0.09	114.28	
1.24	0.09	116.43	
1.25	0.09	118.60	
1.26	0.09	120.79	
1.27	0.09	122.99	
1.28	0.09	125.21	
1.29	0.09	127.46	
