Peak energy [keV],Branching ratio
4.29,15.7 % 8
30.625,33.9 % 10
30.973,62.2 % 18
34.92,5.88 % 17
34.987,11.4 % 3
35.818,3.51 % 10
53.1622 6,2.14 % 3
79.6142 12,2.65 % 5
80.9979 11,32.9 % 3
160.6120 16,0.638 % 5
223.2368 13,0.453 % 3
276.3989 12,7.16 % 5
302.8508 5,18.34 % 13
356.0129 7,62.05%
383.8485 12,8.94 % 6
