Peak energy [keV],Branching ratio
11.87,0.6 % 1
13.9,37 % 3
26.3446 2,2.27 % 12
33.196 1,0.126 % 3
42.704 5,0.0055 % 11
43.420 3,0.073 % 8
51.01 3  S,2.6E-5 % 12
55.56 2,0.0181 % 18
59.5409 1,35.9 % 4
64.83 2  S,1.45E-4 % 18
67.45 5,4.2E-4 % 10
69.76 3,0.0029 % 4
75.8 2,5.9E-4 % 6
97.069,0.00114 % 4
98.97 2,0.0203 % 4
101.059,0.00181 % 6
102.98 2,0.0195 % 4
109.70 7,0.00%
113.303,2.27E-4 % 7
114.234,4.30E-4 % 14
117.463,1.68E-4 % 5
120.36 8  ?,0.00%
123.052 7,1.00E-3 % 3
125.30 2,0.00408 % 10
139.44 8,5.3E-6 % 11
146.55 3,4.61E-4 % 12
150.04 3,7.40E-5 % 22
154.27 20,0.00%
159.26 20,1.4E-6 % 5
161.54 10,0.000%
164.69 4,6.67E-5 % 25
165.81 6,2.32E-5 % 11
169.56 3,1.73E-4 % 4
175.07 4,1.82E-5 % 10
191.96 4,2.16E-5 % 10
197.0 2,0.00%
204.06 6,2.90E-6 % 19
208.01 3,7.91E-4 % 19
221.46 3,4.24E-5 % 11
232.81 5,4.6E-6 % 3
234.33,7E-7 % 3
246.73 10,2.4E-6 % 3
249.00 15,0.00%
260.80 15,1.21E-6 % 19
264.89 6,9.0E-6 % 4
267.58 5,2.63E-5 % 8
275.77 8,6.6E-6 % 4
278.04 15,0.00%
291.30 20,3.1E-6 % 3
292.77 6,1.42E-5 % 5
304.21 20,1.01E-6 % 21
309.1 3,0.000%
316.8 2  ?,3E-8 % 3
322.52 3,1.52E-4 % 4
332.35 3,1.49E-4 % 3
335.37 3,4.96E-4 % 11
337.7 2,4.29E-6 % 23
358.25 20,1.20E-6 % 24
368.65 3,2.17E-4 % 5
370.94 3,5.23E-5 % 13
376.65 3,1.38E-4 % 3
383.81 3,2.82E-5 % 8
398.64 15,0.000%
401.3 30,0.00%
406.35 15,1.45E-6 % 22
419.33 4,2.87E-5 % 8
426.47 4,2.46E-5 % 7
446.43 15,0.00%
452.6 2,2.4E-6 % 3
454.66 8,9.7E-6 % 4
459.68 10,3.6E-6 % 3
463.22 20,0.000%
468.12 15,2.88E-6 % 21
487.3 3,0.00%
512.5 3,1.15E-6 % 23
514.0 5,2.6E-6 % 3
522.06 15,1.0E-6 % 3
529.17 20,0.00%
545.4 3,0.00%
563.05 30,0.00%
573.94 20,1.25E-6 % 19
586.59 20,1.31E-6 % 20
590.28 15,2.86E-6 % 21
597.48 8,7.4E-6 % 3
619.01 2,5.94E-5 % 8
627.18 20,5.6E-7 % 17
632.93 15,1.26E-6 % 19
641.47 5,7.1E-6 % 3
653.02 4,3.77E-5 % 12
662.40 2,3.64E-4 % 9
666.5 3,0.00%
669.83 20,3.8E-7 % 12
676.03 30,6.4E-7 % 13
680.10 10,3.13E-6 % 17
688.72 4,3.25E-5 % 9
696.60 5,5.34E-6 % 21
722.01 3,1.96E-4 % 4
729.72 15,1.33E-6 % 14
737.34 5,8.0E-6 % 3
755.90 5,7.6E-6 % 3
767.00 10,5.00E-6 % 19
770.57 10,4.74E-6 % 22
772.4 3,2.66E-6 % 15
786.00 15,0.00%
801.94 20,1.36E-6 % 14
806.26 30,0.00%
828.5,2.4E-7 % 6
860.7 5,8E-8 % 3
862.7 5,5.3E-7 % 6
887.3 3,2.2E-7 % 5
921.5 3,1.9E-7 % 4
