# This file has been generated by: edouard2023/script/fmt_fig7.py
#
# rain: [mm] amount of rain per day
# swb_ZZ: [-] Normalized soil water balance (AW/TAW)
#
year;date;rain;swb_apv;swb_control
2020;2020-03-15;0.000;0.961;0.951
2020;2020-03-16;0.000;0.961;0.946
2020;2020-03-17;0.000;0.954;0.936
2020;2020-03-18;0.000;0.944;0.927
2020;2020-03-19;0.000;0.935;0.917
2020;2020-03-20;0.000;0.925;0.907
2020;2020-03-21;0.000;0.918;0.894
2020;2020-03-22;0.000;0.904;0.882
2020;2020-03-23;0.000;0.887;0.866
2020;2020-03-24;0.000;0.874;0.853
2020;2020-03-25;0.000;0.861;0.840
2020;2020-03-26;0.000;0.849;0.827
2020;2020-03-27;0.000;0.836;0.814
2020;2020-03-28;0.000;0.819;0.798
2020;2020-03-29;0.000;0.806;0.781
2020;2020-03-30;0.000;0.793;0.768
2020;2020-03-31;0.000;0.779;0.755
2020;2020-04-01;0.000;0.771;0.741
2020;2020-04-02;0.000;0.760;0.728
2020;2020-04-03;0.000;0.749;0.713
2020;2020-04-04;0.000;0.739;0.698
2020;2020-04-05;1.709;0.730;0.684
2020;2020-04-06;0.000;0.716;0.669
2020;2020-04-07;0.000;0.701;0.653
2020;2020-04-08;0.000;0.688;0.635
2020;2020-04-09;0.000;0.675;0.617
2020;2020-04-10;0.000;0.657;0.595
2020;2020-04-11;0.000;0.638;0.577
2020;2020-04-12;0.000;0.618;0.559
2020;2020-04-13;0.000;0.603;0.534
2020;2020-04-14;0.000;0.587;0.508
2020;2020-04-15;0.000;0.567;0.481
2020;2020-04-16;0.000;0.557;0.461
2020;2020-04-17;5.107;0.567;0.464
2020;2020-04-18;0.000;0.555;0.454
2020;2020-04-19;0.000;0.533;0.433
2020;2020-04-20;0.000;0.512;0.412
2020;2020-04-21;0.000;0.497;0.391
2020;2020-04-22;0.000;0.481;0.370
2020;2020-04-23;0.000;0.460;0.356
2020;2020-04-24;0.000;0.444;0.342
