time,Prevalence_0_0_0_value,Prevalence_0_0_0_lower,Prevalence_0_0_0_upper,Prevalence_1_0_0_value,Prevalence_1_0_0_lower,Prevalence_1_0_0_upper,Prevalence_2_0_0_value,Prevalence_2_0_0_lower,Prevalence_2_0_0_upper,Prevalence_3_0_0_value,Prevalence_3_0_0_lower,Prevalence_3_0_0_upper,Prevalence_4_0_0_value,Prevalence_4_0_0_lower,Prevalence_4_0_0_upper
99.0,-1.2697288011556718e-01,-2.2718032657634568e-01,4.8956207084979142e-01,4.9144394102875255e-01,-1.3653491726150324e-01,1.4660652093525783e+00,1.3779963693831521e-01,-1.6701801018224782e-01,5.7955683949159731e-01,-3.3791959915107528e-02,-1.5169324320103772e-01,2.3793728385970625e-01,-7.5304490022375381e-03,-2.0569134656736465e-01,3.9671339976989750e-01
98.0,-1.2668450019432065e-01,-2.2671946665362186e-01,4.8764143508013857e-01,4.9415380654256347e-01,-1.3600913420330851e-01,1.4604592987117040e+00,1.3854382155648559e-01,-1.6699361000974045e-01,5.7982621169884663e-01,-3.3108491061523693e-02,-1.5081568514055788e-01,2.4119719232371573e-01,-7.3230717522171362e-03,-2.0559902554707465e-01,3.9215975763528799e-01
97.0,-1.2566172290028466e-01,-2.2620342211226396e-01,4.8665244376664174e-01,4.9703159058110535e-01,-1.3537945304635368e-01,1.4535410183365665e+00,1.3939389259524582e-01,-1.6694829350738138e-01,5.8110145402575819e-01,-3.2292502432089143e-02,-1.4979931578873529e-01,2.4413188949684073e-01,-6.9864188787570614e-03,-2.0545742994176996e-01,3.8722282834171717e-01
96.0,-1.2453106392305546e-01,-2.2568390321378629e-01,4.8577310145686847e-01,4.9996158023710402e-01,-1.3474219524235143e-01,1.4464241022703446e+00,1.4027271617685999e-01,-1.6686761407261952e-01,5.8250306815602126e-01,-3.1451018256134722e-02,-1.4877000012247366e-01,2.4707203117733889e-01,-6.6334353449707395e-03,-2.0535341843903954e-01,3.8221852796539912e-01
95.0,-1.2338660629503373e-01,-2.2504384691925172e-01,4.8488583158092058e-01,5.0292832491680017e-01,-1.3412467095887171e-01,1.4392541329744932e+00,1.4116279142746335e-01,-1.6638237668080458e-01,5.8392060113444377e-01,-3.0599945258093730e-02,-1.4759696501598973e-01,2.5004870383102440e-01,-6.2769032590401785e-03,-2.0545909591912559e-01,3.7718112674424020e-01
94.0,-1.2222803691660533e-01,-2.2439652672999921e-01,4.8398820506479012e-01,5.0593224514558544e-01,-1.3350035559942908e-01,1.4320287885332070e+00,1.4206073001482178e-01,-1.6589174574603205e-01,5.8535741053335011e-01,-2.9739840764645198e-02,-1.4641029534849548e-01,2.5306438795458464e-01,-5.9159255881746642e-03,-2.0556547323978003e-01,3.7210824182184421e-01
93.0,-1.2105648811755076e-01,-2.2374180911584574e-01,4.8308268374039387e-01,5.0897331456216577e-01,-1.3286858664312484e-01,1.4247472355294457e+00,1.4296979491059281e-01,-1.6539558734817805e-01,5.8680714349080865e-01,-2.8869518404903372e-02,-1.4520917050475324e-01,2.5612064843712923e-01,-5.5518380271292189e-03,-2.0567302598114467e-01,3.6700101548570019e-01
92.0,-1.1982552890563891e-01,-2.2307327889771589e-01,4.8224783750867717e-01,5.1211098702936697e-01,-1.3222921865695492e-01,1.4173826289429279e+00,1.4388659247894720e-01,-1.6489563925516559e-01,5.8831896866066069e-01,-2.8000016840646458e-02,-1.4399302127853786e-01,2.5919379344026461e-01,-5.1825513465125761e-03,-2.0577723355161515e-01,3.6182142209672330e-01
91.0,-1.1843408563627045e-01,-2.2238589534526154e-01,4.8153079126124831e-01,5.1553986016132503e-01,-1.3158145619569350e-01,1.4099048607250464e+00,1.4485819132038746e-01,-1.6439251941784938e-01,5.8991801007442435e-01,-2.7128862455344183e-02,-1.4276050438579924e-01,2.6227653673671814e-01,-4.7798890563542917e-03,-2.0587476706289276e-01,3.5654401730896934e-01
90.0,-1.1667829812727137e-01,-2.2169079575248973e-01,4.8082207301706070e-01,5.1983256868822303e-01,-1.3092476122979602e-01,1.4024265082790359e+00,1.4610189797177431e-01,-1.6388322349461881e-01,5.9154744166213802e-01,-2.6183999824674897e-02,-1.4151309717327387e-01,2.6543790275181411e-01,-4.2036287727771349e-03,-2.0596753172656301e-01,3.5127269476041323e-01
89.0,-1.1498129037863780e-01,-2.2083924514820430e-01,4.8027302741276356e-01,5.2426167960813630e-01,-1.3019849280556817e-01,1.3947929814132172e+00,1.4741005862222734e-01,-1.6340262443019682e-01,5.9335427062986668e-01,-2.5168720070509631e-02,-1.4021519713209496e-01,2.6868775527596944e-01,-3.5118252138747197e-03,-2.0617062471210323e-01,3.4606318306018857e-01
88.0,-1.1239338661033405e-01,-2.1975947924288930e-01,4.7921651604224746e-01,5.2951330956093901e-01,-1.2939375308833312e-01,1.3878014745543261e+00,1.4783901029336555e-01,-1.6296503295779063e-01,5.9616807028629903e-01,-2.3707354986568285e-02,-1.3884710425574043e-01,2.7232761275356632e-01,-1.7390239224778226e-03,-2.0662228460489840e-01,3.3974380227184997e-01
87.0,-1.0718322599228292e-01,-2.1866628553422918e-01,4.7815013636334491e-01,5.3640361132249526e-01,-1.2857914538015536e-01,1.3807541764112492e+00,1.4577068160195350e-01,-1.6252233134408756e-01,5.9902077281549149e-01,-2.1474044979435059e-02,-1.3746133144005002e-01,2.7601900418926695e-01,2.2095328824067728e-03,-2.0707891278589996e-01,3.3338299387474413e-01
86.0,-1.0188184278850176e-01,-2.1755867466342260e-01,4.7707103602716061e-01,5.4340505334210354e-01,-1.2775412154638988e-01,1.3736467318342727e+00,1.4368283413821459e-01,-1.6207401081361050e-01,6.0191089309829127e-01,-1.9209771239162343e-02,-1.3605741216854006e-01,2.7976404236892072e-01,6.2196708109671928e-03,-2.0754026300603257e-01,3.2698043877136973e-01
