# Zhu+13 Figure 10 left panel
# dN/dz (EW_0_2796 > EW_min)
# seven min values: 0.2, 0.6, 1.2, 1.8, 2.4, 3.0, 3.6 (all rest-frame Ang)
# each value has twelve contiguous entries below, with
#   column 1: redshift [unitless]
#   column 2: dN/dz [unitless], with typical errorbar of ~1e-3
0.496, 0.845
0.634, 0.863
0.779, 1.00
0.926, 1.10
1.07, 1.17
1.23, 1.08
1.37, 1.16
1.52, 1.21
1.67, 1.44
1.82, 1.45
1.95, 1.22
2.12, 1.43
0.498, 0.349
0.634, 0.393
0.781, 0.437
0.924, 0.478
1.07, 0.503
1.22, 0.535
1.37, 0.582
1.52, 0.607
1.67, 0.612
1.82, 0.699
1.96, 0.666
2.12, 0.643
0.493, 0.111
0.634, 0.141
0.783, 0.167
0.928, 0.189
1.08, 0.212
1.23, 0.232
1.37, 0.246
1.53, 0.265
1.67, 0.262
1.82, 0.293
1.96, 0.271
2.13, 0.269
0.498, 0.0401
0.645, 0.0551
0.781, 0.0670
0.930, 0.0739
1.08, 0.0932
1.23, 0.101
1.38, 0.114
1.53, 0.130
1.67, 0.129
1.82, 0.129
1.96, 0.123
2.14, 0.105
0.504, 0.0130
0.638, 0.0234
0.777, 0.0289
0.933, 0.0310
1.08, 0.0399
1.23, 0.0456
1.38, 0.0492
1.53, 0.0638
1.67, 0.0574
1.82, 0.0616
1.96, 0.0551
2.14, 0.0462
0.491, 0.00263
0.638, 0.00845
0.790, 0.0108
0.928, 0.0117
1.08, 0.0166
1.23, 0.0206
1.38, 0.0209
1.52, 0.0307
1.67, 0.0287
1.80, 0.0265
1.97, 0.0234
2.12, 0.0249
0.513, 0.000760
0.632, 0.00262
0.806, 0.00472
0.908, 0.00407
1.09, 0.00492
1.21, 0.00875
1.39, 0.00863
1.52, 0.0118
1.66, 0.0124
1.83, 0.0126
1.97, 0.0102
2.12, 0.00822
