Data for Z=14, E=0.001-433 keV
                   µ 
    E           Total
   keV            cm-1
5.108469E-03  1.2543E+06
5.184715E-03  1.3058E+06
1.069000E-02  1.6087E+05
1.113003E-02  1.2799E+05
1.130038E-02  1.1755E+05
1.134581E-02  1.1496E+05
1.141396E-02  1.1477E+05
1.142761E-02  1.1404E+05
1.158431E-02  1.0610E+05
1.221612E-02  8.0803E+04
1.305903E-02  5.8814E+04
1.396010E-02  4.4291E+04
1.492335E-02  3.4707E+04
1.595306E-02  2.8411E+04
1.705382E-02  2.4330E+04
1.823053E-02  2.1764E+04
1.948844E-02  2.0251E+04
2.083314E-02  1.9477E+04
2.227063E-02  1.9236E+04
2.380730E-02  1.9359E+04
2.545001E-02  1.9715E+04
2.720606E-02  2.0201E+04
2.908327E-02  2.0738E+04
3.109002E-02  2.1261E+04
3.323523E-02  2.1721E+04
3.552846E-02  2.2078E+04
3.797993E-02  2.2307E+04
4.060054E-02  2.2392E+04
4.340198E-02  2.2326E+04
4.639671E-02  2.2108E+04
4.959809E-02  2.1728E+04
5.302035E-02  2.1201E+04
5.667876E-02  2.0549E+04
6.058959E-02  1.9794E+04
6.477028E-02  1.8959E+04
6.923942E-02  1.8064E+04
7.401695E-02  1.7129E+04
7.912411E-02  1.6169E+04
8.458368E-02  1.5200E+04
9.041995E-02  1.4234E+04
9.665893E-02  1.3236E+04
9.721600E-02  1.3134E+04
9.870400E-02  1.2867E+04
9.910080E-02  1.2796E+04
9.969600E-02  2.5126E+05
1.011840E-01  2.5253E+05
1.033284E-01  2.5434E+05
1.104581E-01  2.6019E+05
1.180797E-01  2.6116E+05
1.262272E-01  2.5529E+05
1.349368E-01  2.4390E+05
1.442475E-01  2.2845E+05
1.457260E-01  2.2582E+05
1.479565E-01  2.2180E+05
1.485513E-01  2.2072E+05
1.494435E-01  2.4209E+05
1.516740E-01  2.3785E+05
1.542005E-01  2.3304E+05
1.648404E-01  2.1295E+05
1.762144E-01  1.9239E+05
1.883732E-01  1.7208E+05
2.013709E-01  1.5262E+05
2.152655E-01  1.3441E+05
2.301188E-01  1.1764E+05
2.459970E-01  1.0244E+05
2.629708E-01  8.8833E+04
2.811158E-01  7.6750E+04
3.005128E-01  6.6108E+04
3.212482E-01  5.6791E+04
3.434143E-01  4.8676E+04
3.671099E-01  4.1635E+04
3.924405E-01  3.5549E+04
4.195189E-01  3.0302E+04
4.484657E-01  2.5782E+04
4.794098E-01  2.1901E+04
5.124891E-01  1.8579E+04
5.478508E-01  1.5741E+04
5.856525E-01  1.3322E+04
6.260625E-01  1.1264E+04
6.692609E-01  9.5150E+03
7.154399E-01  8.0307E+03
7.648052E-01  6.7742E+03
8.175768E-01  5.7114E+03
8.739896E-01  4.8145E+03
9.342948E-01  4.0579E+03
9.987612E-01  3.4206E+03
1.067676E+00  2.8422E+03
1.141345E+00  2.3632E+03
1.220098E+00  1.9669E+03
1.304285E+00  1.6387E+03
1.394281E+00  1.3666E+03
1.490486E+00  1.1410E+03
1.593329E+00  9.5352E+02
1.703269E+00  7.9773E+02
