Data for Z=4, E=0.001-433 keV
                   µ 
    E           Total
   keV            cm-1
8.462100E-03  9.9075E+04
8.588400E-03  1.0317E+05
1.069000E-02  1.7122E+05
1.142761E-02  1.8616E+05
1.221612E-02  1.9655E+05
1.305903E-02  2.0225E+05
1.396010E-02  2.0358E+05
1.492335E-02  2.0101E+05
1.595306E-02  1.9522E+05
1.705382E-02  1.8694E+05
1.823053E-02  1.7685E+05
1.948844E-02  1.6560E+05
2.083314E-02  1.5372E+05
2.227063E-02  1.4164E+05
2.380730E-02  1.2969E+05
2.545001E-02  1.1814E+05
2.720606E-02  1.0713E+05
2.908327E-02  9.6792E+04
3.109002E-02  8.7174E+04
3.323523E-02  7.8300E+04
3.552846E-02  7.0154E+04
3.797993E-02  6.2699E+04
4.060054E-02  5.5913E+04
4.340198E-02  4.9760E+04
4.639671E-02  4.4204E+04
4.959809E-02  3.9201E+04
5.302035E-02  3.4706E+04
5.667876E-02  3.0679E+04
6.058959E-02  2.7077E+04
6.477028E-02  2.3861E+04
6.923942E-02  2.0998E+04
7.401695E-02  1.8448E+04
7.912411E-02  1.6185E+04
8.458368E-02  1.4178E+04
9.041995E-02  1.2402E+04
9.665893E-02  1.0833E+04
1.033284E-01  9.4492E+03
1.087800E-01  8.4966E+03
1.104581E-01  8.2307E+03
1.108890E-01  8.1643E+03
1.115550E-01  3.1455E+05
1.132200E-01  3.0489E+05
1.180797E-01  2.7906E+05
1.262272E-01  2.4234E+05
1.349368E-01  2.0972E+05
1.442475E-01  1.8083E+05
1.542005E-01  1.5538E+05
1.648404E-01  1.3307E+05
1.762144E-01  1.1360E+05
1.883732E-01  9.6719E+04
2.013709E-01  8.2138E+04
2.152655E-01  6.9590E+04
2.301188E-01  5.8832E+04
2.459970E-01  4.9634E+04
2.629708E-01  4.1797E+04
2.811158E-01  3.5132E+04
3.005128E-01  2.9483E+04
3.212482E-01  2.4703E+04
3.434143E-01  2.0668E+04
3.671099E-01  1.7267E+04
3.924405E-01  1.4407E+04
4.195189E-01  1.2005E+04
4.484657E-01  9.9918E+03
4.794098E-01  8.3047E+03
5.124891E-01  6.8937E+03
5.478508E-01  5.7151E+03
5.856525E-01  4.7328E+03
6.260625E-01  3.9153E+03
6.692609E-01  3.2361E+03
7.154399E-01  2.6727E+03
7.648052E-01  2.2055E+03
8.175768E-01  1.8190E+03
8.739896E-01  1.4993E+03
9.342948E-01  1.2352E+03
9.987612E-01  1.0172E+03
1.067676E+00  8.3180E+02
1.141345E+00  6.8012E+02
1.220098E+00  5.5614E+02
1.304285E+00  4.5476E+02
1.394281E+00  3.7192E+02
1.490486E+00  3.0417E+02
1.593329E+00  2.4880E+02
1.703269E+00  2.0354E+02
1.820795E+00  1.6652E+02
1.946430E+00  1.3627E+02
2.080733E+00  1.1153E+02
2.224304E+00  9.0709E+01
2.377781E+00  7.3783E+01
2.541848E+00  6.0038E+01
2.717235E+00  4.8872E+01
2.904724E+00  3.9804E+01
3.105150E+00  3.2321E+01
3.319406E+00  2.6177E+01
3.548445E+00  2.1221E+01
3.793288E+00  1.7219E+01
4.055024E+00  1.3987E+01
4.334821E+00  1.1377E+01
4.633924E+00  9.2700E+00
4.953664E+00  7.5680E+00
5.295467E+00  6.1927E+00
5.660855E+00  5.0811E+00
6.051453E+00  4.1822E+00
6.469004E+00  3.4551E+00
6.915365E+00  2.8666E+00
7.392525E+00  2.3896E+00
7.902609E+00  2.0033E+00
8.447890E+00  1.6899E+00
9.030794E+00  1.4343E+00
9.653919E+00  1.2233E+00
1.032004E+01  1.0526E+00
1.103212E+01  9.1442E-01
1.179334E+01  8.0237E-01
1.260708E+01  7.1141E-01
1.347697E+01  6.3743E-01
1.440688E+01  5.7712E-01
1.540095E+01  5.2787E-01
1.646362E+01  4.8754E-01
1.759961E+01  4.5444E-01
1.881398E+01  4.2714E-01
2.011215E+01  4.0455E-01
2.149988E+01  3.8579E-01
2.298338E+01  3.7009E-01
2.456923E+01  3.5686E-01
2.626450E+01  3.4568E-01
2.807676E+01  3.3605E-01
3.001405E+01  3.2771E-01
3.208502E+01  3.2046E-01
3.429889E+01  3.1402E-01
3.666551E+01  3.0826E-01
3.919543E+01  3.0302E-01
4.189992E+01  2.9821E-01
4.479101E+01  2.9369E-01
4.788159E+01  2.8941E-01
5.118542E+01  2.8531E-01
5.471721E+01  2.8133E-01
5.849270E+01  2.7741E-01
6.252870E+01  2.7358E-01
6.684318E+01  2.6972E-01
7.145536E+01  2.6592E-01
7.638578E+01  2.6206E-01
8.165640E+01  2.5819E-01
8.729069E+01  2.5428E-01
9.331374E+01  2.5031E-01
9.975239E+01  2.4631E-01
1.066353E+02  2.4227E-01
1.139931E+02  2.3815E-01
1.218587E+02  2.3400E-01
1.302669E+02  2.2981E-01
1.392553E+02  2.2557E-01
1.488640E+02  2.2129E-01
1.591356E+02  2.1697E-01
1.701159E+02  2.1264E-01
1.818539E+02  2.0826E-01
1.944018E+02  2.0387E-01
2.078156E+02  1.9948E-01
2.221548E+02  1.9505E-01
2.374835E+02  1.9064E-01
2.538699E+02  1.8623E-01
2.713869E+02  1.8182E-01
2.901126E+02  1.7743E-01
3.101304E+02  1.7306E-01
3.315294E+02  1.6871E-01
3.544049E+02  1.6439E-01
3.788588E+02  1.6011E-01
4.050001E+02  1.5586E-01
4.329451E+02  1.5165E-01
