# This file has been generated by fmt_tab1.py
#
# period: name of period
# steering: type of steering AT (Anti-Tracking) – ST (Solar-Tracking)
#
period;steering
2020_C1;fix
2020_C2;fix
2020_C3;ST
2021_C1;AT
2021_C2;AT30%ST70%
2021_C3;ST
