# This file has been generated by fmt_fig6.py
#
#
# irr: [kWh.m-2] Cumulated radiation
#
year;season;zone;pos;irr
2020;spring;ref;;341.2
2020;spring;north;-4.5;226.9
2020;spring;north;-3.5;208.2
2020;spring;north;-2.5;198.3
2020;spring;north;2.5;185.4
2020;spring;north;3.5;207.5
2020;spring;north;4.5;220.4
2020;spring;south;-4.5;231.8
2020;spring;south;-3.5;220.1
2020;spring;south;-2.5;204.6
2020;spring;south;2.5;202.5
2020;spring;south;3.5;214.3
2020;spring;south;4.5;224.5
2020;summer;ref;;623.3
2020;summer;north;-4.5;403.2
2020;summer;north;-3.5;378.3
2020;summer;north;-2.5;335.2
2020;summer;north;2.5;324.4
2020;summer;north;3.5;365.1
2020;summer;north;4.5;394.6
2020;summer;south;-4.5;404.0
2020;summer;south;-3.5;396.4
2020;summer;south;-2.5;385.1
2020;summer;south;2.5;395.4
2020;summer;south;3.5;392.7
2020;summer;south;4.5;400.9
2021;spring;ref;;304.2
2021;spring;north;-4.5;214.9
2021;spring;north;-3.5;210.8
2021;spring;north;-2.5;194.5
2021;spring;north;2.5;201.4
2021;spring;north;3.5;211.6
2021;spring;north;4.5;217.3
2021;spring;south;-4.5;217.8
2021;spring;south;-3.5;211.8
2021;spring;south;-2.5;213.0
2021;spring;south;2.5;210.0
2021;spring;south;3.5;207.6
2021;spring;south;4.5;221.2
2021;summer;ref;;554.8
2021;summer;north;-4.5;355.5
2021;summer;north;-3.5;336.8
2021;summer;north;-2.5;299.9
2021;summer;north;2.5;299.5
2021;summer;north;3.5;336.1
2021;summer;north;4.5;359.4
2021;summer;south;-4.5;368.7
2021;summer;south;-3.5;346.6
2021;summer;south;-2.5;322.9
2021;summer;south;2.5;322.8
2021;summer;south;3.5;340.9
2021;summer;south;4.5;367.7
