# This file has been generated by fmt_fig8.py
#
#
# dm: [g.m-2] dry matter
#
year;season;zone;pos;dm
2020;spring;ref;;553.0
2020;spring;north;-4.5;307.7
2020;spring;north;-3.5;239.5
2020;spring;north;-2.5;243.7
2020;spring;north;2.5;294.0
2020;spring;north;3.5;279.1
2020;spring;north;4.5;337.8
2020;spring;south;-4.5;295.3
2020;spring;south;-3.5;235.2
2020;spring;south;-2.5;233.7
2020;spring;south;2.5;315.2
2020;spring;south;3.5;314.2
2020;spring;south;4.5;331.0
2020;summer;ref;;229.6
2020;summer;north;-4.5;358.7
2020;summer;north;-3.5;368.8
2020;summer;north;-2.5;393.4
2020;summer;north;2.5;413.1
2020;summer;north;3.5;354.0
2020;summer;north;4.5;378.6
2020;summer;south;-4.5;380.4
2020;summer;south;-3.5;313.4
2020;summer;south;-2.5;417.5
2020;summer;south;2.5;427.6
2020;summer;south;3.5;392.5
2020;summer;south;4.5;378.6
2021;spring;ref;;365.8
2021;spring;north;-4.5;474.3
2021;spring;north;-3.5;516.8
2021;spring;north;-2.5;620.0
2021;spring;north;2.5;616.0
2021;spring;north;3.5;479.4
2021;spring;north;4.5;509.9
2021;spring;south;-4.5;399.8
2021;spring;south;-3.5;490.3
2021;spring;south;-2.5;547.0
2021;spring;south;2.5;580.8
2021;spring;south;3.5;505.4
2021;spring;south;4.5;432.2
2021;summer;ref;;539.4
2021;summer;north;-4.5;631.0
2021;summer;north;-3.5;661.5
2021;summer;north;-2.5;938.0
2021;summer;north;2.5;893.0
2021;summer;north;3.5;602.5
2021;summer;north;4.5;589.7
2021;summer;south;-4.5;669.7
2021;summer;south;-3.5;745.7
2021;summer;south;-2.5;836.1
2021;summer;south;2.5;812.2
2021;summer;south;3.5;589.9
2021;summer;south;4.5;562.4
