# This file has been generated by fmt_tab2.py
#
# depth_up: [mm] depth of upper boundary of layer
# depth_low: [mm] depth of lower boundary of layer
# density: bulk density
# wc_fc: [mm.mm-1] water content at field capacity
# wc_wp: [mm.mm-1] water content at wilting point
# nitrogen: [%] fraction of organic nitrogen
#
depth_up;depth_low;density;wc_fc;wc_wp;nitrogen
0;20;1.30;0.35;0.14;2.15
20;40;1.40;0.30;0.12;
40;50;1.50;0.29;0.12;
