EPIC	P	P_err
211388204	31.8	1.6
211394185	30.4	1.8
211395620	30.7	3.6
211397319	25.1	1.3
211397512	34.5	2.2
211398025	28.8	1.6
211398541	30.3	6.8
211399458	30.2	1.9
211399819	28.4	2.0
211400500	26.9	1.5
211406596	26.9	2.2
211410757	18.9	0.8
211411477	31.2	1.9
211411621	30.5	1.0
211413212	24.4	2.5
211413961	31.4	1.5
211423010	24.9	1.9
211428580	26.9	2.3
211430274	31.1	2.7
