,Star_name,Sp_T,G,V,B_V,Name,Model,STIS,Var_(%),RA_J2000,Decl_J2000,Vr,PM_RA,PM_Decl,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,Alt_Star_name,source_id,HD_name
0,109 VIR,A0III,,3.73,-0.01,109vir,_mod_005,_stis_005,,14 46 14.925,+01 53 34.38,-6.1,-114.03,-22.13,HD130109,,* 109 VIR,,3655377057091401856,HD130109
1,10 LAC,O9V,,4.88,-0.21,10lac,_mod_006,_stis_008,<0.23,22 39 15.679,+39 03 00.97,-10.0,-0.32,-5.46,,,*  10 LAC,,1908095850396090880,HD214680
2,16 CYG B,G3V,,6.20,0.66,16cygb,_mod_005,_stis_005,<0.21,19 41 51.973,+50 31 03.09,-27.7,-134.79,-162.49,HD186427,,*  16 CYG B,,2135550755683407232,HD186427
3,18 SCO,G2V,,5.50,0.65,18sco,_mod_006,_stis_006,,16 15 37.270,-08 22 09.98,11.9,232.16,-495.37,HD146233,,*  18 SCO,,4345775217221821312,HD146233
4,1732526,A4V,,12.53,0.12,1732526,_mod_007,_stisnic_009,1.40,17 32 52.630,+71 04 43.12,,0.22,-2.71,2MASS J17325264+7104431,TYC 4424-1286-1,TYC 4424-1286-1,,1651137131123978112,
5,1740346,A6V,,12.48,0.20,1740346,,_stisnic_005,,17 40 34.679,+65 27 14.77,,-5.72,-3.44,2MASS J17403468+6527148,TYC 4207-219-1,TYC 4207-219-1,,1633143932573832448,
6,1743045,A8III,,13.52,0.28,1743045,_mod_007,_stisnic_009,<1.32,17 43 04.486,+66 55 01.66,,1.1,-2.79,2MASS J17430448+6655015,,2MASS J17430448+6655015,,1634280312200704768,
7,1757132,A3V,,12.01,-0.10,1757132,_mod_007,_stiswfc_006,<0.37,17 57 13.233,+67 03 40.77,,0.41,-14.03,2MASS J17571324+6703409,TYC 4212-455-1,TYC 4212-455-1,,1633585107317144960,
8,1802271,A2V,,11.53,0.02,1802271,_mod_007,_stiswfcnic_006,<0.82,18 02 27.163,+60 43 35.54,,5.4,2.17,2MASS J18022716+6043356,TYC 4201-1542-12,BPS BS 17447-0067,,2158745262705810304,
9,1805292,A4V,,12.28,0.14,1805292,_mod_006,_stisnic_008,<0.49,18 05 29.275,+64 27 52.13,,-1.64,10.06,2MASS J18052927+6427520,TYC 4209-1396-1,TYC 4209-1396-1,,2161093682102883712,
10,1808347,A3V,,11.69,0.49,1808347,_mod_007,_stiswfc_006,1.65,18 08 34.736,+69 27 28.72,,4.43,8.52,2MASS J18083474+6927286,TYC 4433-1800-1,TYC 4433-1800-1,,2260019315938461952,
