Source Name,Nuclide,Radius Active Area Source [mm],Reference Activity [Bq],Reference Activity Uncertainty [Bq],Reference Date,Reference Time,Half Life,Half Life Uncertainty,Source embedded in Plastic {True/False},Thickness Plastic Photon have to cross [mm],Thickness Uncertainty [mm]
133Ba-source1,133Ba,1.5,369700,11091,01.04.2025,21:00:00,10.551 y,0.011 y,False,-,-
241Am-source1,241Am,0.5,332000,22000,12.06.2025,12:00:00,432.6 y,0.6 y,True,0.4,0.2
