# Chen+ (2018) - COS-LRG sample
# Table 1
# QSO_ID,          z_QSO, FUV_QSO, LRG_ID,                  z_LRG, theta", d_kpc, (u-g)rest, (u-g)err, Mr,     Mr_err, Mstar_logMsun
SDSSJ0946+512339.9 0.741  18.4     SDSSJ094632.40+512335.9  0.4076 7.7     41.7   1.71       0.12      -22.42  0.06    11.2
SDSSJ1406+250921.0 0.867  18.3     SDSSJ140625.97+250923.2  0.4004 8.8     47.3   1.77       0.11      -22.36  0.04    11.1
SDSSJ1111+554726.1 0.766  17.5     SDSSJ111132.33+554712.8  0.4629 13.2    77.1   1.60       0.08      -23.15  0.07    11.4
SDSSJ0803+433258.3 0.449  18.4     SDSSJ080357.74+433309.9b 0.2535 19.9    78.5   1.69       0.04      -22.36  0.02    11.1
SDSSJ0925+400414.1 0.471  18.2     SDSSJ092554.18+400353.4b 0.2475 21.6    83.7   1.82       0.04      -22.28  0.02    11.1
SDSSJ0950+483129.2 0.590  17.9     SDSSJ095000.86+483102.2b 0.2119 27.1    93.7   1.64       0.03      -22.27  0.02    11.0
SDSSJ1127+115427.1 0.509  18.1     SDSSJ112755.83+115438.3  0.4237 17.7    98.7   1.93       0.16      -22.45  0.06    11.2
SDSSJ1243+353907.1 0.547  18.4     SDSSJ124307.36+353926.3  0.3896 19.3    102.2  1.90       0.11      -22.81  0.04    11.3
SDSSJ1550+400144.9 0.497  18.1     SDSSJ155047.70+400122.6b 0.3125 23.3    106.7  1.54       0.05      -22.51  0.02    11.2
SDSSJ0246-005930.9 0.468  18.0     SDSSJ024651.20-005914.1  0.4105 19.9    108.6  1.75       0.07      -23.02  0.03    11.4
SDSSJ1357+043541.4 1.233  19.2     SDSSJ135727.27+043603.3  0.3296 26.5    125.9  1.77       0.07      -22.71  0.03    11.3
SDSSJ0910+101413.5 0.463  18.5     SDSSJ091027.70+101357.2b 0.2641 34.4    140.1  1.77       0.04      -22.69  0.02    11.2
SDSSJ1413+092011.2 0.460  17.5     SDSSJ141307.39+091956.7  0.3584 29.8    149.2  1.70       0.05      -23.83  0.02    11.7
SDSSJ1553+354828.6 0.721  17.7     SDSSJ155304.32+354853.9  0.4736 26.3    155.9  1.54       0.11      -22.15  0.11    11.0
SDSSJ1259+413055.8 0.745  18.4     SDSSJ125859.98+413128.2  0.2790 37.6    159.1  1.71       0.03      -23.49  0.02    11.6
SDSSJ1244+172104.6 1.282  18.4     SDSSJ124409.17+172111.9  0.5591 24.8    160.1  1.73       0.06      -23.35  0.09    11.5
