# Mowla+ 19 (https://arxiv.org/abs/1808.04379) Fig 9 upper left (z = 0.1-0.5)
# star-forming galaxies only
# M_star [log msun], R_e [kpc]
11.32, 7.04
11.41, 10.14
11.43, 9.74
11.55, 10.62
11.57, 16.11
11.38, 12.94
11.36, 13.70
11.33, 13.78
11.33, 10.86
11.37, 19.57
11.32, 18.96
11.33, 27.54
11.37, 23.12
11.39, 23.25
11.45, 32.09
11.44, 50.23
