Barcode;Code;Name;ALT_Barcode
024200038113;;Purex 2 Laundry Bleach, 29 Ounce ;
024200009816;;Purex 2 Laundry Colorsafe Bleach 66oz ;02498126
024200038496;;Purex Crystals In-Wash Fragrance and Scent Booster, Aromatherapy Tahitian Breeze, 15.5 Ounce ;
024200038526;;Purex Crystals In-Wash Fragrance and Scent Booster, Aromatherapy Well Being, 15.5 Ounce ;
024200038557;;Purex Crystals In-Wash Fragrance and Scent Booster, Cherry Blossom & Ginger, 15.5 Ounce ;
024200038588;;Purex Crystals In-Wash Fragrance and Scent Booster, Cherry Blossom & Ginger, 21 Ounce ;
024200038168;;Purex Crystals In-Wash Fragrance and Scent Booster, Fabulously Fresh, 15.5 Ounce ;
024200038137;;Purex Crystals In-Wash Fragrance and Scent Booster, Fabulously Fresh, 21 Ounce ;
024200038670;;Purex Crystals In-Wash Fragrance and Scent Booster, Fabulously Fresh, 39 Ounce ;
024200038229;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Mountain Breeze, 15.5 Ounce ;
024200038199;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Mountain Breeze, 21 Ounce ;
024200038250;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Spring Waters, 15.5 Ounce ;
024200038281;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Spring Waters, 21 Ounce ;
024200038618;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Spring Waters, 39 Ounce ;
024200042141;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Vibes, 15.5 Ounce ;
024200043056;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Vibes, 21 Ounce ;
024200043087;;Purex Crystals In-Wash Fragrance and Scent Booster, Fresh Vibes, 39 Ounce ;
024200038311;;Purex Crystals In-Wash Fragrance and Scent Booster, Lavender Blossom, 15.5 Ounce ;
024200038342;;Purex Crystals In-Wash Fragrance and Scent Booster, Lavender Blossom, 21 Ounce ;
024200038649;;Purex Crystals In-Wash Fragrance and Scent Booster, Lavender Blossom, 39 Ounce ;
024200039325;;Purex Crystals In-Wash Fragrance and Scent Booster, Magnolia Dream, 15.5 Ounce ;
024200038403;;Purex Crystals In-Wash Fragrance and Scent Booster, Oh So Chic, 15.5 Ounce ;
024200091170;;Purex ExtendFresh Liquid Fabric Softener, Mountain Breeze, 100 Ounce, 118 Loads ;
024200104344;;Purex ExtendFresh Liquid Fabric Softener, Mountain Breeze, 44 Ounce, 52 Loads ;
024200089931;;Purex Fabric Softener Dryer Sheets, Mountain Breeze, 40 Ct ;
024200089870;;Purex Fabric Softener Dryer Sheets, Sweet Lavender, 40 Ct ;
024200043032;;Purex Fels-Naptha Laundry Bar ;
024200096502;;Purex Powder Laundry Detergent with Bleach Alternative, Fresh Mountain Breeze, 22 Ounces ;
024200096441;;Purex Powder Laundry Detergent with Bleach Alternative, Fresh Mountain Breeze, 50 Ounces ;
024200096472;;Purex Powder Laundry Detergent with Bleach Alternative, Fresh Mountain Breeze, 70 Ounces ;
024200096410;;Purex Powder Laundry Detergent with Bleach Alternative, Lavender Blossom, 50 Ounces ;
024200098087;;Purex Powder Laundry Detergent, Fabulously Fresh, 50 Ounces ;
024200098056;;Purex Powder Laundry Detergent, Fabulously Fresh, 70 Ounces ;
024200102456;;Purex Ultra Multipurpose Powder Detergent with Crystals Fragrance, 1.4oz Vend Pack ;
024200042646;;Purex® 4-in-1 + Clorox 2® Laundry Detergent Pacs, 15 ct ;
024200042707;;Purex® 4-in-1 + Clorox 2® Laundry Detergent Pacs, 22 ct ;
024200042769;;Purex® 4-in-1 + Clorox 2® Laundry Detergent Pacs, 45 ct ;
024200042677;;Purex® 4-in-1 + OXI Laundry Detergent Pacs, 15 ct ;
024200042738;;Purex® 4-in-1 + OXI Laundry Detergent Pacs, 22 ct ;
024200042790;;Purex® 4-in-1 + OXI Laundry Detergent Pacs, 45 ct ;
024200061197;;Purex® After the Rain® Liquid Laundry Detergent, 150 FL. OZ. ;
024200047894;;Purex® After the Rain® Liquid Laundry Detergent, 50 fl. Oz. ;
024200023508;;Purex® After the Rain® Liquid Laundry Detergent, 75 fl. Oz. ;
024200046767;;Purex® Coldwater Laundry Detergent, 312 FL. OZ. ;
024200049294;;Purex® for Baby 2x Concentrated Laundry Detergent, 82.5 FL. OZ. ;
024200003005;;Purex® for Baby Laundry Detergent, 50 FL. OZ. ;02430025
024200004620;;Purex® for Baby Laundry Detergent, 75 FL. OZ. ;02446220
024200050207;;Purex® Free & Clear Laundry Detergent, 150 FL. OZ ;
024200047887;;Purex® Free & Clear Laundry Detergent, 50 FL. OZ ;
024200060404;;Purex® Free & Clear Laundry Detergent, 75 FL. OZ ;
024200098179;;Purex® Fresh Bluebonnet Laundry Detergent, 150 FL. OZ. ;
024200060961;;Purex® Liquid Fabric Softener, Sweet Lavender, 100 FL. OZ. ;
024200060978;;Purex® Liquid Fabric Softener, Tropical Escape, 100 FL. OZ. ;
024200042400;;Purex® Mountain Breeze 4-in-1 Laundry Detergent Pacs, 19 ct ;
024200042554;;Purex® Mountain Breeze 4-in-1 Laundry Detergent Pacs, 58 ct ;
024200042493;;Purex® Mountain Breeze 4-in-1 Laundry DetergentPacs, 29 ct ;
