site,from_date,to_date,data_family,standard_measurement_name
Kumeti at Rua Roa,,,soil_moisture,Soil Moisture [Soil Moisture]
Makakahi at Hamua,,,soil_moisture,Soil Moisture [Soil Moisture]
Makino at Halcombe Road,,,soil_moisture,Soil Moisture [Soil Moisture]
Manawatu at Apiti Track,,,soil_moisture,Soil Moisture [Soil Moisture]
Mangahao at Ballance,,,soil_moisture,Soil Moisture [Soil Moisture]
Mangaone at Valley Road,,,soil_moisture,Soil Moisture [Soil Moisture]
Mangapapa at Troup Rd,,,soil_moisture,Soil Moisture [Soil Moisture]
Makino at Cheltenham,,,soil_moisture,SM VWC [SM VWC]
Makino at Reids Line,,,soil_moisture,SM VWC [SM VWC]
Manawatu at Weber Road,,,soil_moisture,SM VWC [SM VWC]
Mangaone at Milson Line,,,soil_moisture,SM VWC [SM VWC]
Matarawa at Matarawa Valley,,,soil_moisture,SM VWC [SM VWC]
Ohura at Ohura River Road,,,soil_moisture,SM VWC [SM VWC]
Owahanga at Owahanga Station,,,soil_moisture,SM VWC [SM VWC]
Raparapawai at Jackson Road,,,soil_moisture,SM VWC [SM VWC]
