site_name,list_of_measurements,from_date,to_date,frequency
Forest Rd Drain at Drop Structure,Rainfall [SCADA Rainfall],2/06/2020 12:18,6/08/2021 11:00,
Kumeti at Rua Roa,Rainfall [SCADA Rainfall],11/06/2020 13:12,21/07/2021 11:18,
Manawatu at Apiti Track,Rainfall [SCADA Rainfall],19/07/2022 10:48,20/09/2022 10:36,
Manawatu at Moutoa,Rainfall [SCADA Rainfall],10/08/2021 11:24,20/07/2022 12:06,
Mangahao at Kakariki,Rainfall [SCADA Rainfall],30/06/2021 12:30,9/12/2021 11:30,
Mangatainoka at Hillwood Hukanui,Rainfall [SCADA Rainfall],25/07/2023 12:36,20/03/2024 13:42,
Mangawhero at Raupiu Road,Rainfall [SCADA Rainfall],4/07/2017 12:30,27/06/2018 16:42,
Ngahere Park Climate Station,Rainfall [SCADA Rainfall],8/07/2019 10:42,27/08/2019 10:42,
Ngaruroro Catchment at Ngamatea,Rainfall [SCADA Rainfall],8/06/2016 13:48,12/04/2018 14:18,
Oroua at Rangiwahia,Rainfall [SCADA Rainfall],21/11/2019 11:36,1/05/2020 11:30,
Pohangina at Makawakawa Divide,Rainfall [SCADA Rainfall],17/04/2018 13:00,19/03/2019 10:30,
Pohangina at Range View Farm,Rainfall [SCADA Rainfall],15/08/2023 10:24,16/01/2024 9:36,
Rangitikei at Erewhon Station,Rainfall [SCADA Rainfall],15/06/2021 11:18,16/02/2022 11:30,
Tapuae at Waituna West,Rainfall [SCADA Rainfall],13/10/2020 8:18,7/04/2021 9:30,
Tiraumea at Alfredton,Rainfall [SCADA Rainfall],21/09/2021 13:30,9/12/2021 9:42,
Tiraumea at Ngaturi,Rainfall [SCADA Rainfall],2/11/2018 12:36,5/03/2019 9:42,
Turakina at Otairi,Rainfall [SCADA Rainfall],13/05/2021 10:00,21/07/2021 9:42,
Whangaehu at Kowhai St Mangamahu,Rainfall [SCADA Rainfall],8/07/2020 12:30,7/12/2020 11:54,
Whangaehu at Titoki,Rainfall [SCADA Rainfall],6/07/2021 10:18,8/12/2021 13:42,
Whangamomona at Bridge to Somewhere,Rainfall [SCADA Rainfall],19/10/2021 10:48,22/02/2022 10:48,
