site_name,list_of_measurements,from_date,to_date,frequency
Ahuahu at Te Tuhi Junction,Rainfall,,,
Akitio at Cadmus Bridge,Rainfall,,,
Akitio at Toi Flat,Rainfall,,,
Akitio at Weber Intersection,Rainfall,,,
Arawhata Drain at Kane Farm,Rainfall,,,
Forest Rd Drain at Drop Structure,Rainfall,,,
Hautapu at Alabasters,Rainfall,,,
Hautapu at Mounganui Station,Rainfall,,,
HDC Stormwater at Fairfield Rd,Rainfall,,,
Kahuterawa at Scotts Road,Rainfall,,,
Kawhatau Catchment at Upper Kawhatau,Rainfall,,,
Kumeti at Rua Roa,Rainfall,,,
Lower Retaruke,Rainfall,,,
Makino at Cheltenham,Rainfall,,,
Makino at Halcombe Road,Rainfall,,,
Makohine at Zohs Road,Rainfall,,,
Makuri at Bee 4 Trig,Rainfall,,,
Manawatu at Apiti Track,Rainfall,,,
Manawatu at Moutoa,Rainfall,,,
Mangaetoroa at Scarrows,Rainfall,,,
Mangahao at Kakariki,Rainfall,,,
Mangaone at Milson Line,Rainfall,,,
Mangaone at Valley Road,Rainfall,,,
Mangatainoka at Hillwood Hukanui,Rainfall,,,
Mangatainoka at Pahiatua Dairy Factory,Rainfall,,,
Mangawhero at Aberfeldy,Rainfall,,,
Mangawhero at Bangonie,Rainfall,,,
Mangawhero at Raupiu Road,Rainfall,,,
Matarawa at Matarawa Valley,Rainfall,,,
Ngahere Park Climate Station,Rainfall,,,
Ngaruroro Catchment at Ngamatea,Rainfall,,,
Ohau at Makahika,Rainfall,,,
Ohura at Ohura River Road,Rainfall,,,
Ohura at Waikaka,Rainfall,,,
Ohura at Waitewhena Airstrip,Rainfall,,,
Oroua at Rangiwahia,Rainfall,,,
Owahanga at Owahanga Station,Rainfall,,,
Pakihikura at Pakihikura Airstrip,Rainfall,,,
Pohangina at Alphabet Hut,Rainfall,,,
Pohangina at Delaware Ridge,Rainfall,,,
Pohangina at Makawakawa Divide,Rainfall,,,
Pohangina at Range View Farm,Rainfall,,,
Pongaroa at Town,Rainfall,,,
Porewa Catchment at Tututotara,Rainfall,,,
Rangitikei at Erewhon Station,Rainfall,,,
Raumai Climate Station,Rainfall,,,
Ruatiti at Ruatiti Station,Rainfall,,,
Sluggish Creek at Greenaway Rd,Rainfall,,,
Tamaki at Tamaki Reserve,Rainfall,,,
Tapuae at Waituna West,Rainfall,,,
Tiraumea at Alfredton,Rainfall,,,
Tiraumea at Ngaturi,Rainfall,,,
Turakina at Koeke Airstrip,Rainfall,,,
Turakina at ONeills Bridge,Rainfall,,,
Turakina at Otairi,Rainfall,,,
Turakina at Ruanui,Rainfall,,,
Turoa at Repeater,Rainfall,,,
Tutaenui at Ribby Farm,Rainfall,,,
Upper Mangahao at No.1 Dam,Rainfall,,,
Waiharuru at S.H.49,Rainfall,,,
Wainui at Wimbledon,Rainfall,,,
Whangaehu at Aranui,Rainfall,,,
Whangaehu at Kauangaroa,Rainfall,,,
Whangaehu at Kowhai St Mangamahu,Rainfall,,,
Whangaehu at Titoki,Rainfall,,,
Whangaehu at Tukino Repeater,Rainfall,,,
Whangamomona at Bridge to Somewhere,Rainfall,,,
Whangamomona at Marco Road,Rainfall,,,
Whanganui at Mataimona Trig,Rainfall,,,
Whanganui at Pipiriki,Rainfall,,,
Whanganui at Te Porere,Rainfall,,,
Whanganui at Te Rewa,Rainfall,,,
