site_name,list_of_measurements,from_date,to_date,frequency
Akitio at Cadmus Bridge,Water Temperature DO,,,
Arawhata Drain at Dairy Track Bridge,Water Temperature DO,,,
Arawhata Drain at Hokio Beach Road,Water Temperature,,,
Hokio at Lake Horowhenua,Water Temperature DO,,,
Kai Iwi at Handley Road,Water Temperature,,,
Lake Horowhenua at Buoy,Water Temperature (-500 mm);Water Temperature (-1000 mm);Water Temperature (-1500 mm);Water Temperature (-2000 mm),,,
Lake Koitiata,Water Temperature (-500 mm);Water Temperature (-2000 mm),,,
Makuri at Tuscan Hills,Water Temperature DO,2022-02-28 13:00:00,,
Manawatu at Foxton,Water Temperature,,,
Manawatu at Hopelands,Water Temperature DO,,,
Manawatu at Moutoa,Water Temperature,,,
Manawatu at Teachers College,Water Temperature DO,,,
Manawatu at Weber Road,Water Temperature DO,,,
Mangatainoka at Pahiatua Town Bridge,Water Temperature DO,,,
Ohau at Haines Ford,Water Temperature,,,
Oroua at Almadale Slackline,Water Temperature DO,,,
Owahanga at Owahanga Station,Water Temperature DO,,,
Pohangina at Mais Reach,Water Temperature,,,
Rangitikei at Mangaweka,Water Temperature DO,,,
Rangitikei at McKelvies,Water Temperature DO,,,
Turakina at Waipu,Water Temperature,,,
Waikawa at ds Manakau Confluence,Water Temperature,,,
Wainui at Herbertville Road Br,Water Temperature DO,,,
Whangaehu at Kauangaroa,Water Temperature,,,
Whanganui at Te Rewa,Water Temperature DO,,,
