#Celine - 18/08/02
#
#- when C1 and C2 duplicate, prefere C1
#- added two Q J1009+0731 and Q0454+039
#
# -- Q0824+1302 is redundant with data from Poudel+ (2016).
# -- J0307-4945 is redundant with data from Berg+ (2016)
#
#ID z NHI NHI_err [Fe/H]tot FeH_err [Zn/Fe]exp delta_Zn delta_Si delta_Fe [X/Fe] XFe_err
#
# J1237+0647 	2.690 	20.00   0.15 	0.77   0.17 	1.30 	-0.35 	-0.84 	-1.64 	1.30   0.02
# Q0824+1302 	4.809 	20.10   0.15 	-2.12   0.28 	-0.24 	0.00 	0.00 	0.00 	0.14   0.22
# J0307−4945 	4.466 	20.67   0.09 	-1.36   0.22 	0.35 	-0.09 	-0.25 	-0.44 	0.43   0.18
#
B0105−008 	1.371 	21.70   0.15 	-1.35   0.17 	0.18 	-0.05 	-0.15 	-0.24 	0.18   0.05
B1036-2257	2.778 	20.93   0.05 	-1.28   0.09 	0.26 	-0.07 	-0.19 	-0.33 	0.45   0.02
B2314−409 	1.857 	20.90   0.10 	-0.92   0.19 	0.28 	-0.08 	-0.21 	-0.37 	0.28   0.14
B2355−106 	1.172 	21.00   0.10 	-0.72   0.23 	0.53 	-0.14 	-0.36 	-0.67 	0.53   0.20
BR0951−04 	3.857 	20.60   0.10 	-1.18   0.14 	0.59 	-0.16 	-0.40 	-0.75 	0.55   0.07
BR1108-0747	3.608 	20.37   0.07 	-1.57   0.10 	0.16 	-0.04 	-0.13 	-0.21 	0.34   0.01
BR1117-1329	3.350 	20.84   0.12 	-1.13   0.15 	0.27 	-0.07 	-0.20 	-0.35 	0.27   0.04
BR1202−0725 	4.383 	20.55   0.03 	-1.44   0.14 	0.43 	-0.12 	-0.30 	-0.55 	0.47   0.12
BRI1013+0035 	3.104 	21.10   0.10 	-0.11   0.13 	0.99 	-0.27 	-0.65 	-1.26 	0.99   0.05
CTQ418 		2.429 	20.68   0.07 	-1.72   0.11 	0.23 	-0.06 	-0.17 	-0.29 	0.37   0.06
CTQ418 		2.514 	20.50   0.07 	-1.38   0.11 	0.31 	-0.08 	-0.22 	-0.39 	0.41   0.04
FJ0812+32 	2.626 	21.35   0.10 	-0.58   0.14 	0.90 	-0.24 	-0.60 	-1.15 	0.90   0.07
FJ0812+32 	2.067 	21.00   0.10 	-1.37   0.13 	0.16 	-0.04 	-0.13 	-0.21 	0.16   0.03
FJ2334−0908 	3.057 	20.48   0.05 	-0.81   0.09 	0.58 	-0.16 	-0.40 	-0.74 	0.58   0.04
HE0515−4414 	1.150 	20.45   0.15 	-0.79   0.26 	0.64 	-0.17 	-0.43 	-0.82 	0.64   0.20
HE1104−1805 	1.662 	20.85   0.01 	-0.84   0.07 	0.55 	-0.15 	-0.38 	-0.71 	0.55   0.02
HE1122−1649 	0.680 	20.45   0.05 	-0.24   0.15 	1.04 	-0.28 	-0.68 	-1.32 	0.77   0.12
HE2243-6031	2.330 	20.67   0.02 	-1.03   0.08 	0.14 	-0.04 	-0.12 	-0.19 	0.14   0.03
HS0741+4741 	3.017 	20.48   0.10 	-1.68   0.12 	0.00 	-0.00 	-0.03 	-0.01 	0.26   0.01
HS1132+2243 	2.783 	21.00   0.07 	-1.77   0.16 	0.35 	-0.09 	-0.25 	-0.44 	0.43   0.12
J0000+0048 	2.525 	20.95   0.10 	1.02    0.47 	1.79 	-0.49 	-1.15 	-2.27 	1.79   0.45
J0008−0958 	1.768 	20.85   0.15 	-0.00   0.18 	0.53 	-0.14 	-0.36 	-0.68 	0.53   0.07
