Coordinates (in mm) in engineering system:
(x is right, y is up looking from center
of mirror dish, in park position)

pix. id      x            y
------------------------------
4112      0.0000       0.0000
4113     32.7327      37.7964
4114    -16.3663      47.2456
4115    -49.0990       9.4491
4116    -32.7327     -37.7964
4117     16.3663     -47.2456
4118     49.0990      -9.4491
4120     65.4654      75.5929
4121     16.3663      85.0420
4122    -32.7327      94.4911
4123    -65.4654      56.6947
4124    -98.1981      18.8982
4125    -81.8317     -28.3473
4126    -65.4654     -75.5929
4128    -16.3663     -85.0420
4129     32.7327     -94.4911
4130     65.4654     -56.6947
4131     98.1981     -18.8982
4132     81.8317      28.3473
4133     98.1981     113.3893
4134     49.0990     122.8385
4136      0.0000     132.2876
4137    -49.0990     141.7367
4138    -81.8317     103.9402
4139   -114.5644      66.1438
4140   -147.2971      28.3473
4141   -130.9307     -18.8982
4142   -114.5644     -66.1438
4144    -98.1981    -113.3893
4145    -49.0990    -122.8385
4146      0.0000    -132.2876
4147     49.0990    -141.7367
4148     81.8317    -103.9402
4149    114.5644     -66.1438
4150    147.2971     -28.3473
4152    130.9307      18.8982
4153    114.5644      66.1438
4154    130.9307     151.1858
4155     81.8317     160.6349
4156     32.7327     170.0840
4157    -16.3663     179.5331
4158    -65.4654     188.9822
4160    -98.1981     151.1858
4161   -130.9307     113.3893
4162   -163.6634      75.5929
4163   -196.3961      37.7964
4164   -180.0298      -9.4491
4165   -163.6634     -56.6947
4166   -147.2971    -103.9402
4176   -130.9307    -151.1858
4177    -81.8317    -160.6349
4178    -32.7327    -170.0840
4179     16.3663    -179.5331
4180     65.4654    -188.9822
4181     98.1981    -151.1858
4182    130.9307    -113.3893
4192    163.6634     -75.5929
4193    196.3961     -37.7964
4194    180.0298       9.4491
4195    163.6634      56.6947
4196    147.2971     103.9402
4197    163.6634     188.9822
4198    114.5644     198.4313
4200     65.4654     207.8805
4201     16.3663     217.3296
4202    -32.7327     226.7787
4203    -81.8317     236.2278
4204   -114.5644     198.4313
4205   -147.2971     160.6349
4206   -180.0298     122.8385
4208   -212.7624      85.0420
4209   -245.4951      47.2456
4210   -229.1288       0.0000
4211   -212.7624     -47.2456
4212   -196.3961     -94.4911
4213   -180.0298    -141.7367
4214   -163.6634    -188.9822
4216   -114.5644    -198.4313
4217    -65.4654    -207.8805
4218    -16.3663    -217.3296
4219     32.7327    -226.7787
4220     81.8317    -236.2278
4221    114.5644    -198.4313
4222    147.2971    -160.6349
4224    180.0298    -122.8385
4225    212.7624     -85.0420
4226    245.4951     -47.2456
4227    229.1288       0.0000
4228    212.7624      47.2456
4229    196.3961      94.4911
4230    180.0298     141.7367
4232    196.3961     226.7787
4233    147.2971     236.2278
4234     98.1980     245.6769
4235     49.0990     255.1260
4236      0.0000     264.5751
4237    -49.0990     274.0242
4238    -98.1981     283.4734
4240   -130.9307     245.6769
4241   -163.6634     207.8805
4242   -196.3961     170.0840
4243   -229.1288     132.2876
4244   -261.8615      94.4911
4245   -294.5942      56.6947
4246   -278.2278       9.4491
4248   -261.8615     -37.7964
4249   -245.4951     -85.0420
4250   -229.1288    -132.2876
4251   -212.7624    -179.5331
4252   -196.3961    -226.7787
4253   -147.2971    -236.2278
4254    -98.1980    -245.6769
4256    -49.0990    -255.1260
4257      0.0000    -264.5751
4258     49.0990    -274.0242
4259     98.1981    -283.4734
4260    130.9307    -245.6769
4261    163.6634    -207.8805
4262    196.3961    -170.0840
4272    229.1288    -132.2876
4273    261.8615     -94.4911
4274    294.5942     -56.6947
4275    278.2278      -9.4491
4276    261.8615      37.7964
4277    245.4951      85.0420
4278    229.1288     132.2876
4280    212.7624     179.5331
4281    229.1288     264.5751
4282    180.0298     274.0242
4283    130.9307     283.4734
4284     81.8317     292.9225
4285     32.7327     302.3716
4286    -16.3663     311.8207
4288    -65.4654     321.2698
4289   -114.5644     330.7189
4290   -147.2971     292.9225
4291   -180.0298     255.1260
4292   -212.7624     217.3296
4293   -245.4951     179.5331
4294   -278.2278     141.7367
4296   -310.9605     103.9402
4297   -343.6932      66.1438
4298   -327.3268      18.8982
4299   -310.9605     -28.3473
4300   -294.5942     -75.5929
4301   -278.2278    -122.8385
4302   -261.8615    -170.0840
4304   -245.4951    -217.3296
4305   -229.1288    -264.5751
4306   -180.0298    -274.0242
4307   -130.9307    -283.4734
4308    -81.8317    -292.9225
4309    -32.7327    -302.3716
4310     16.3663    -311.8207
4312     65.4654    -321.2698
4313    114.5644    -330.7189
4314    147.2971    -292.9225
4315    180.0298    -255.1260
4316    212.7624    -217.3296
4317    245.4951    -179.5331
4318    278.2278    -141.7367
4320    310.9605    -103.9402
4321    343.6932     -66.1438
4322    327.3268     -18.8982
4323    310.9605      28.3473
4324    294.5942      75.5929
4325    278.2278     122.8385
4326    261.8615     170.0840
4264    245.4951     217.3296
4265    261.8615     302.3716
4266    212.7624     311.8207
4267    163.6634     321.2698
4268    114.5644     330.7189
4269     65.4654     340.1680
4270     16.3663     349.6171
4168    -32.7327     359.0662
4169    -81.8317     368.5154
4170   -130.9307     377.9645
4171   -163.6634     340.1680
4172   -196.3961     302.3716
4173   -229.1288     264.5751
4174   -261.8615     226.7787
4328   -294.5942     188.9822
4329   -327.3268     151.1858
4330   -360.0595     113.3893
4331   -392.7922      75.5929
4332   -376.4259      28.3473
4333   -360.0595     -18.8982
4334   -343.6932     -66.1438
4336   -327.3268    -113.3893
4337   -310.9605    -160.6349
4338   -294.5942    -207.8805
4339   -278.2278    -255.1260
4340   -261.8615    -302.3716
4341   -212.7624    -311.8207
