E [keV], efficiency level 00, efficiency level 01, efficiency level 02, efficiency level 03, efficiency level 04, efficiency level 05, efficiency level 06, efficiency level 07, efficiency level 08, efficiency level 09, efficiency level 10, efficiency level 11, efficiency level 12, efficiency level 13, efficiency level 14
1, 0.00803681, 0.000147208, 2.59374e-06, 4.53666e-08, 7.9144e-10, 1.37903e-11, 2.40129e-13, 4.17965e-15, 7.27316e-17, 1.2654e-18, 2.2013e-20, 3.82902e-22, 6.65986e-24, 1.15829e-25, 2.01443e-27
1.03069, 0.011006, 0.00025298, 5.60825e-06, 1.23478e-07, 2.71203e-09, 5.94985e-11, 1.30451e-12, 2.85909e-14, 6.2647e-16, 1.37246e-17, 3.00641e-19, 6.58503e-21, 1.44224e-22, 3.1586e-24, 6.91724e-26
1.06233, 0.0149195, 0.000429679, 1.1965e-05, 3.31058e-07, 9.13915e-09, 2.52026e-10, 6.94598e-12, 1.91368e-13, 5.27113e-15, 1.45168e-16, 3.99751e-18, 1.10071e-19, 3.03058e-21, 8.34369e-23, 2.29707e-24
1.09494, 0.0199932, 0.000719918, 2.51251e-05, 8.7165e-07, 3.01756e-08, 1.04361e-09, 3.60733e-11, 1.24649e-12, 4.30627e-14, 1.48747e-15, 5.13749e-17, 1.77427e-18, 6.12719e-20, 2.11584e-21, 7.30615e-23
1.12854, 0.0264729, 0.00118852, 5.18357e-05, 2.24825e-06, 9.73203e-08, 4.20883e-09, 1.81928e-10, 7.86151e-12, 3.39645e-13, 1.46718e-14, 6.33726e-16, 2.73707e-17, 1.18208e-18, 5.10493e-20, 2.20454e-21
1.16318, 0.0346909, 0.00193511, 0.000105089, 5.67786e-06, 3.06208e-07, 1.64997e-08, 8.88652e-10, 4.7848e-11, 2.57582e-12, 1.38648e-13, 7.46226e-15, 4.01604e-16, 2.16124e-17, 1.16303e-18, 6.25843e-20
1.19888, 0.0449493, 0.00310205, 0.000208852, 1.3995e-05, 9.36205e-07, 6.25786e-08, 4.18112e-09, 2.79283e-10, 1.86519e-11, 1.24552e-12, 8.3165e-14, 5.55269e-15, 3.7072e-16, 2.47498e-17, 1.65229e-18
1.23568, 0.0576295, 0.00489543, 0.000406501, 3.36077e-05, 2.77421e-06, 2.28836e-07, 1.88684e-08, 1.55539e-09, 1.28197e-10, 1.05649e-11, 8.7061e-13, 7.17389e-14, 5.91108e-15, 4.87039e-16, 4.01282e-17
1.27361, 0.0730389, 0.00759139, 0.000772729, 7.83422e-05, 7.93129e-06, 8.0242e-07, 8.11521e-08, 8.20544e-09, 8.29546e-10, 8.38564e-11, 8.47619e-12, 8.56727e-13, 8.65898e-14, 8.75139e-15, 8.84457e-16
1.3127, 0.0915324, 0.0115595, 0.00143223, 0.000176806, 2.1798e-05, 2.68577e-06, 3.30808e-07, 4.07376e-08, 5.01599e-09, 6.17559e-10, 7.60278e-11, 9.35934e-12, 1.15213e-12, 1.41823e-13, 1.74574e-14
1.35299, 0.11333, 0.0172514, 0.00258074, 0.000384783, 5.73023e-05, 8.52877e-06, 1.26902e-06, 1.88786e-07, 2.80814e-08, 4.17668e-09, 6.21182e-10, 9.23819e-11, 1.37385e-11, 2.04307e-12, 3.0382e-13
1.39452, 0.138588, 0.0251972, 0.00450925, 0.000804528, 0.000143387, 2.55422e-05, 4.5487e-06, 8.09923e-07, 1.44196e-07, 2.56701e-08, 4.56963e-09, 8.13422e-10, 1.4479e-10, 2.57721e-11, 4.58726e-12
1.43732, 0.167278, 0.0359512, 0.00761642, 0.00160916, 0.000339643, 7.16552e-05, 1.51135e-05, 3.18725e-06, 6.72086e-07, 1.41711e-07, 2.98787e-08, 6.29946e-09, 1.32811e-09, 2.79998e-10, 5.90294e-11
1.48144, 0.1991, 0.0499946, 0.0123916, 0.0030638, 0.000756851, 0.000186888, 4.61375e-05, 1.13885e-05, 2.81088e-06, 6.9373e-07, 1.71206e-07, 4.22509e-08, 1.04265e-08, 2.57298e-09, 6.3493e-10
1.52691, 0.233534, 0.0676229, 0.0193524, 0.00552593, 0.00157664, 0.000449675, 0.000128226, 3.65596e-05, 1.0423e-05, 2.97138e-06, 8.47047e-07, 2.4146e-07, 6.8829e-08, 1.96196e-08, 5.59248e-09
1.57378, 0.269586, 0.0887128, 0.0288842, 0.0093856, 0.00304757, 0.000989236, 0.000321046, 0.000104181, 3.38046e-05, 1.09684e-05, 3.55872e-06, 1.15461e-06, 3.74599e-07, 1.21532e-07, 3.94285e-08
1.62208, 0.306069, 0.112614, 0.0410381, 0.0149277, 0.00542649, 0.00197203, 0.000716536, 0.000260327, 9.4574e-05, 3.43562e-05, 1.24803e-05, 4.5335e-06, 1.64678e-06, 5.98179e-07, 2.17281e-07
1.67187, 0.341181, 0.137853, 0.0552137, 0.022078, 0.00882308, 0.00352502, 0.00140811, 0.000562439, 0.00022464, 8.97185e-05, 3.58314e-05, 1.43099e-05, 5.71481e-06, 2.28224e-06, 9.11418e-07
1.72319, 0.372805, 0.162153, 0.069965, 0.0301424, 0.012979, 0.00558725, 0.00240489, 0.00103504, 0.000445443, 0.000191696, 8.2494e-05, 3.54996e-05, 1.52763e-05, 6.57365e-06, 2.82873e-06
1.77608, 0.399647, 0.183557, 0.0836818, 0.038096, 0.0173345, 0.00788571, 0.00358687, 0.00163138, 0.000741952, 0.000337427, 0.000153452, 6.97845e-05, 3.1735e-05, 1.44316e-05, 6.56273e-06
1.83059, 0.427194, 0.20641, 0.0990483, 0.0474675, 0.0227376, 0.0108892, 0.00521434, 0.00249672, 0.00119542, 0.000572343, 0.00027402, 0.00013119, 6.2808e-05, 3.00693e-05, 1.43956e-05
1.88678, 0.417021, 0.212009, 0.106988, 0.053918, 0.02716, 0.0136783, 0.00688784, 0.0034682, 0.00174625, 0.000879213, 0.000442662, 0.000222866, 0.000112204, 5.649e-05, 2.844e-05
1.94469, 0.43745, 0.233453, 0.12371, 0.0654726, 0.0346357, 0.018319, 0.00968791, 0.00512308, 0.00270903, 0.00143246, 0.000757432, 0.000400496, 0.000211761, 0.000111968, 5.92017e-05
2.00438, 0.460622, 0.25763, 0.14314, 0.0794343, 0.0440633, 0.0244379, 0.0135521, 0.00751491, 0.004167, 0.00231052, 0.00128112, 0.000710334, 0.00039385, 0.000218371, 0.000121076
2.0659, 0.493848, 0.288899, 0.16799, 0.0975781, 0.0566575, 0.0328918, 0.0190931, 0.0110826, 0.00643268, 0.00373363, 0.00216702, 0.00125773, 0.000729976, 0.000423669, 0.000245891
2.12931, 0.524849, 0.320525, 0.194673, 0.118119, 0.0716452, 0.0434494, 0.0263478, 0.0159765, 0.00968734, 0.00587378, 0.00356143, 0.00215936, 0.00130925, 0.000793809, 0.000481291
2.19467, 0.553073, 0.351834, 0.22269, 0.140821, 0.0890225, 0.0562688, 0.0355633, 0.0224758, 0.0142042, 0.0089765, 0.00567273, 0.00358486, 0.00226542, 0.0014316, 0.000904677
2.26203, 0.581057, 0.384051, 0.252667, 0.166091, 0.109148, 0.0717186, 0.047121, 0.0309584, 0.0203391, 0.0133621, 0.00877834, 0.00576695, 0.00378858, 0.00248888, 0.00163504
2.33146, 0.608675, 0.416792, 0.284193, 0.193632, 0.131894, 0.0898302, 0.0611773, 0.041662, 0.0283713, 0.0193202, 0.0131564, 0.008959, 0.00610069, 0.00415428, 0.00282885
2.40302, 0.635014, 0.449041, 0.316305, 0.22265, 0.156688, 0.110255, 0.0775778, 0.0545833, 0.0384036, 0.0270195, 0.0190098, 0.0133744, 0.00940951, 0.00662001, 0.00465745
2.47678, 0.659394, 0.479803, 0.347886, 0.252078, 0.182615, 0.132279, 0.0958131, 0.0693974, 0.0502634, 0.0364045, 0.0263665, 0.0190962, 0.0138306, 0.0100168, 0.00725468
2.5528, 0.682032, 0.509028, 0.37867, 0.281531, 0.209267, 0.155538, 0.115598, 0.0859113, 0.0638472, 0.047449, 0.0352621, 0.0262052, 0.0194743, 0.0144723, 0.010755
2.63115, 0.704011, 0.538278, 0.410331, 0.312628, 0.238144, 0.181391, 0.138156, 0.105223, 0.0801395, 0.0610346, 0.0464838, 0.0354017, 0.0269615, 0.0205335, 0.015638
