Date,OBS_LGDP,OBS_DLGDP,OBS_PIE,OBS_UNR,OBS_CAPU,OBS_R1Y,OBS_R10Y,OBS_GROWTH
1/1/1980,877.19,2.56,12.66,7.18,78.72,12.05,11.46,-0.25
1/1/1981,879.75,-1.93,9.87,7.62,76.94,14.78,13.91,2.59
1/1/1982,877.82,4.53,5.98,9.71,70.89,12.28,13,-1.91
1/1/1983,882.35,7.01,3.11,9.6,73.46,9.57,11.11,4.63
1/1/1984,889.36,4.15,4.28,7.51,79.32,10.89,12.44,7.26
1/1/1985,893.51,3.45,3.47,7.19,78.11,8.43,10.62,4.24
1/1/1986,896.96,3.4,1.93,7,78.4,6.46,7.68,3.51
1/1/1987,900.36,4.12,3.52,6.18,80.97,6.76,8.38,3.46
1/1/1988,904.48,3.61,4.02,5.49,84.03,7.65,8.85,4.2
1/1/1989,908.1,1.9,4.68,5.26,83.3,8.54,8.5,3.68
1/1/1990,910,-0.07,5.28,5.62,81.64,7.88,8.55,1.92
1/1/1991,909.92,3.49,4.13,6.85,78.55,5.86,7.86,-0.07
1/1/1992,913.42,2.71,3,7.49,79.53,3.89,7.01,3.56
1/1/1993,916.13,3.96,2.93,6.91,80.41,3.43,5.87,2.75
1/1/1994,920.08,2.68,2.56,6.1,82.73,5.31,7.08,4.04
1/1/1995,922.77,3.73,2.77,5.59,83.13,5.95,6.58,2.72
1/1/1996,926.49,4.39,2.89,5.41,82.11,5.51,6.44,3.8
1/1/1997,930.88,4.35,2.31,4.94,82.99,5.63,6.35,4.49
1/1/1998,935.24,4.58,1.54,4.5,81.5,5.05,5.26,4.45
1/1/1999,939.81,4.01,2.17,4.22,80.43,5.08,5.64,4.68
1/1/2000,943.82,0.97,3.31,3.97,79.67,6.11,6.03,4.09
1/1/2001,944.8,1.77,2.78,4.74,73.76,3.48,5.02,0.98
1/1/2002,946.57,2.77,1.58,5.78,73.06,2,4.61,1.79
1/1/2003,949.33,3.72,2.27,5.99,73.98,1.24,4.02,2.81
1/1/2004,953.05,3.29,2.63,5.54,76.4,1.89,4.27,3.79
1/1/2005,956.34,2.63,3.31,5.08,78.31,3.62,4.29,3.35
1/1/2006,958.97,1.76,3.17,4.61,78.6,4.93,4.79,2.67
1/1/2007,960.74,-0.29,2.83,4.62,78.82,4.52,4.63,1.78
1/1/2008,960.44,-2.81,3.74,5.8,74.67,1.82,3.67,-0.29
1/1/2009,957.63,2.5,-0.32,9.28,65.54,0.47,3.26,-2.78
1/1/2010,960.13,1.59,1.62,9.61,70.72,0.32,3.21,2.53
1/1/2011,961.72,2.2,3.09,8.93,73.66,0.18,2.79,1.6
1/1/2012,963.92,1.66,2.05,8.08,74.85,0.18,1.8,2.32
1/1/2013,965.58,2.54,1.46,7.36,74.68,0.13,2.35,2.22
1/1/2014,968.12,2.82,1.6,6.18,75.4,0.12,2.54,2.1
1/1/2015,970.94,1.47,0.12,5.27,75.53,0.32,2.14,2.7
1/1/2016,972.41,2.25,1.26,4.87,75.11,0.61,1.84,
1/1/2017,974.66,2.25,2.12,4.35,75.11,1.2,2.33,
